,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
2,"['absolutely', 'pre', 'plan', 'murderits', 'suicide']",2020-06-15T19:42:18Z,0.2
84,"['sushantsinghrajput', 'om', 'shanti', 'boycoatkaranjohar', 'boycoatsalmankhan']",2020-06-15T19:44:43Z,0.0
47,"['aditya', 'chopra', 'another', 'elephant', 'room']",2020-06-15T19:55:52Z,0.0
61,"['time', 'karan', 'great', 'actress', 'sridevi', 'bollywood', 'great', 'time', 'karan', 'come', 'ruin', 'bollywood', 'industry']",2020-06-15T19:56:09Z,0.8
0,"['kangana', 'ranaut', 'gut', 'speak', 'truth']",2020-06-15T20:32:35Z,0.0
31,"['dare', 'komal', 'nahta', 'justify', 'nepotism', 'height', 'know', 'everything', 'industry']",2020-06-15T20:44:31Z,0.0
5,"['need', 'actor', 'like', 'kangana', 'expose', 'elite']",2020-06-15T21:33:09Z,0.0
67,"['u', 'responsible', 'watch', 'khan', 'starkids', 'karan', 'johar', 'bullshit', 'truly', 'responsible']",2020-06-15T22:54:46Z,0.2
43,"['think', 'marry', 'family', 'wouldnt', 'think', 'kill']",2020-06-16T00:13:08Z,0.0
12,"['damn', 'right', 'murder', 'sushant', 'talent', 'drive', 'loser', 'bollywood', 'elite', 'intelligent', 'talented', 'care', 'human', 'dont', 'understand', 'always', 'good', 'one', 'die', 'young']",2020-06-16T01:06:36Z,0.430952380952381
4,"['murder', 'bollywood', 'kill', 'brilliant', 'actor', 'shame']",2020-06-16T01:16:47Z,0.9
69,"['hello', 'everyone', 'deepest', 'condolence', 'family', 'friend', 'wont', 'support', 'anybody', 'committ', 'suicide', 'cost', 'please', 'educate', 'people', 'dont', 'like', 'shit', 'bharat', 'matha', 'ki', 'jai', 'jai', 'hind']",2020-06-16T02:35:39Z,-0.2
24,"['disturb', 'incident', 'cant']",2020-06-16T03:33:23Z,0.0
28,"['search', 'library', 'fish', 'market']",2020-06-16T04:35:37Z,0.0
17,"['need', 'change', 'need', 'promote', 'support', 'guy', 'like', 'sushant', 'call', 'long', 'time', 'actor', 'miss', 'excellent', 'actor', 'rip']",2020-06-16T04:48:52Z,0.475
37,"['people', 'able', 'feel', 'guilty', 'dna']",2020-06-16T04:51:10Z,0.0
80,"['thank', 'time', 'courage', 'expose', 'truth']",2020-06-16T05:05:06Z,0.0
36,"['promote', 'tiger', 'shroff', 'look', 'like', 'girland', 'endorse', 'outsider']",2020-06-16T05:14:01Z,0.0
40,"['strongly', 'doubt', 'suicide', 'might', 'conspiracy', 'murder', 'talented', 'actor', 'sushant', 'singh', 'rajput']",2020-06-16T05:18:23Z,0.5666666666666667
9,"['people', 'criminally', 'chargedor', 'bully', 'never', 'stopsushant', 'get', 'justice']",2020-06-16T09:26:12Z,-0.4
30,"['komal', 'nahta', 'pay', 'pr', 'say', 'whatever', 'father', 'want']",2020-06-16T10:56:07Z,0.0
21,"['justice', 'sushant', 'sir']",2020-06-16T12:18:05Z,0.0
82,"['initially', 'think', 'kangana', 'react', 'nepotism', 'gangster', 'know', 'dangerous', 'suppress', 'talented', 'actor', 'destroy', 'career', 'bring', 'pakistani', 'actor', 'singer', 'replace', 'indian', 'talent', 'promote', 'muslim', 'religion', 'guise', 'sufi', 'song', 'muslim', 'protagonist', 'story', 'underworld', 'fund', 'insult', 'hindu', 'cinemaetc', 'etc']",2020-06-16T12:26:24Z,-0.02500000000000001
13,"['shushant', 'singh', 'rajput', 'sharp', 'real', 'innocent', 'bihari', 'full', 'talent', 'whether', 'academic', 'art', 'science', 'movie', 'wonder', 'choose', 'entertainment', 'industry', 'mean', 'thing', 'bigger', 'n', 'brighter', 'cheap', 'bollywood', 'industry', 'kill', 'young', 'innocent', 'gentleman']",2020-06-16T12:28:51Z,0.18472222222222223
1,"['sushant', 'singh', 'bhais', 'death', 'suicide', 'murder', 'loss', 'make', 'feel', 'like', 'lose', 'half', 'soul']",2020-06-16T13:59:53Z,-0.16666666666666666
41,"['love', 'kangana', 'always', 'proud', 'stand', 'sushantsinghrajput']",2020-06-16T15:42:55Z,0.65
56,"['sad', 'someone', 'positive', 'act', 'like', 'something', 'happen', 'definitly', 'brilliant', 'career', 'even', 'depress', 'ability', 'see', 'best', 'doctor', 'successful', 'star', 'know', 'world', 'rich', 'suddenly', 'decide', 'hang', 'logic', 'think', 'could', 'calculate', 'murder', 'human', 'accept', 'suicide', 'always', 'kind', 'death', 'bollywood', 'actor', 'actress', 'like', 'jia', 'khan', 'pratyusha', 'banerjy', 'jayalaxmi', 'reddy', 'nafisa', 'joseph', 'archana', 'pandey', 'kushal', 'punjabi', 'many', 'hang', 'ceiling', 'fan', 'kind', 'suicide', 'cause', 'cremation', 'do', 'fast', 'strange']",2020-06-16T17:37:35Z,0.3239718614718615
8,"['lose', 'rounder', 'prince', 'india', 'uncountable', 'knowledge', 'intellectual', 'power', 'cruel', 'people', 'finish']",2020-06-16T18:05:12Z,-0.35
