,snippet.topLevelComment.snippet.textDisplay,snippet.topLevelComment.snippet.publishedAt,sentiment
39,"['dont', 'know', 'doesnt', 'look', 'like', 'suicide', 'day', 'ago', 'former', 'manager', 'rajput', 'suicide', 'something', 'right', 'way', 'rip', 'world', 'already', 'miss']",2020-06-14T16:19:49Z,0.14285714285714285
124,"['really', 'shock', 'u', 'dear']",2020-06-14T16:26:04Z,0.2
5,"['wan', 'na', 'request', 'medium', 'please', 'go', 'depth', 'news', 'inspiration', 'million']",2020-06-14T16:27:18Z,-0.2
73,"['really', 'mysterious', 'circumstance', 'clear', 'case', 'murder']",2020-06-14T16:28:00Z,0.05000000000000001
57,"['whysir', 'im', 'shock', 'news', 'dearest', 'peace', 'r', 'p', 'god', 'guid', 'always', 'love', 'miss']",2020-06-14T16:33:41Z,0.5
20,"['god', 'bless']",2020-06-14T16:38:02Z,0.0
17,"['money', 'cant', 'buy', 'happiness']",2020-06-14T16:44:53Z,0.7
53,"['depressedi', 'cant', 'tolerate']",2020-06-14T16:47:35Z,0.0
35,"['suicide', 'murdercant', 'believe', 'go']",2020-06-14T16:54:24Z,0.0
125,['murder'],2020-06-14T16:55:06Z,0.0
26,"['zindagi', 'kxh', 'nheasal', 'haqeeqat', 'akhrt', 'hy']",2020-06-14T16:58:43Z,0.0
87,['good'],2020-06-14T16:59:03Z,0.7
16,"['rip', 'short', 'life']",2020-06-14T16:59:48Z,0.0
36,['unbelievable'],2020-06-14T17:00:31Z,-0.25
121,"['im', 'sad', 'becouse', 'shushant', 'deth']",2020-06-14T17:00:50Z,-0.5
89,"['really', 'sad', 'dayjust', 'happy', 'like', 'smile', 'likebut', 'bur', 'insidesoo', 'every', 'one', 'suffer', 'anybut', 'sooo', 'sad', 'dissmesselrip', 'sirwe', 'lose', 'one', 'one', 'suicied', 'cant', 'digest', 'still', 'death', 'death', 'finally']",2020-06-14T17:06:46Z,0.020000000000000018
97,"['rajput', 'commit', 'suicide', 'almost', 'surreal', 'rajput', 'strong', 'brave']",2020-06-14T17:11:26Z,0.49444444444444446
102,['sad'],2020-06-14T17:12:19Z,-0.5
10,"['young', 'beautiful', 'person', 'die', 'young', 'rest', 'peace', 'start', 'watch', 'first', 'drama']",2020-06-14T17:12:36Z,0.325
114,"['maut', 'ka', 'dream', 'banaliya', 'finish', 'selfish', 'doesnt', 'care', 'anyone']",2020-06-14T17:29:52Z,-0.5
128,"['yar', 'yakin', 'nahi', 'ho', 'raha']",2020-06-14T17:30:36Z,0.0
66,"['suicide', 'murder']",2020-06-14T17:36:46Z,0.0
41,"['sorry', 'sushant', 'always', 'miss', 'u']",2020-06-14T17:40:08Z,-0.5
71,"['rip', 'suicide']",2020-06-14T17:51:30Z,0.0
56,"['rest', 'peace', 'peace', 'importantplease', 'kindonly', 'mentally', 'unhealthy', 'unhappy', 'people', 'rude', 'unfortunate', 'scenario']",2020-06-14T17:56:23Z,-0.45
49,"['rajput', 'never', 'commit', 'suicide', 'force', 'commit', 'suicide']",2020-06-14T18:10:31Z,0.0
32,"['itz', 'difficult', 'survive', 'small', 'physical', 'injury', 'itz', 'depression', 'stage', 'person', 'take', 'big', 'decision', 'kill', 'himselfwithout', 'second', 'think', 'abt', 'pain']",2020-06-14T18:18:47Z,-0.15
44,"['medium', 'stay', 'away', 'police', 'investigation']",2020-06-14T18:25:25Z,0.0
25,"['may', 'peace']",2020-06-14T18:37:10Z,0.0
63,"['shock', 'seriously', 'feel', 'disturb', 'listen', 'death']",2020-06-14T19:21:56Z,-0.3333333333333333
107,"['every', 'body', 'depression', 'anyways', 'due', 'th', 'lockdown', 'virus']",2020-06-14T19:27:03Z,-0.125
104,"['friend', 'kaha', 'hai', 'jo', 'nite', 'sathme', 'tha', 'unse', 'kuch', 'pucho']",2020-06-14T19:53:12Z,0.0
6,"['im', 'heartbroken', 'great', 'actor', 'rest', 'peace', 'hurt', 'believe']",2020-06-14T19:58:10Z,0.8
96,"['bad', 'year', 'bollywood', 'lose', 'v', 'talented', 'actor']",2020-06-14T20:28:01Z,5.551115123125783e-17
65,"['anything', 'relate', 'manager', 'commute', 'suicide', 'week', 'back']",2020-06-14T21:49:19Z,0.0
51,"['bollywood', 'cruel', 'place', 'wonder', 'go']",2020-06-14T22:21:34Z,-1.0
4,"['feel', 'lockdown', 'play', 'part']",2020-06-14T22:21:41Z,0.0
24,"['many', 'ppl', 'one', 'appartement', 'come', 'nobody', 'hear', 'noice', 'c', 'someone', 'hunging', 'themself', 'u', 'dont', 'die', 'sec', 'really', 'somethink', 'wrong', 'hope', 'time', 'give', 'justice', 'c', 'sush', 'miss']",2020-06-14T22:32:15Z,0.025000000000000022
31,"['soo', 'sad', 'wonder', 'kirti', 'sanon', 'say']",2020-06-14T22:40:09Z,-0.5
46,"['shock', 'news', 'plz', 'accept', 'condolence', 'pakistan']",2020-06-15T00:43:58Z,0.0
76,"['chithi', 'na', 'koi', 'sandesh', 'jane', 'vo', 'koun', 'sa', 'desh', 'jaha', 'tum', 'chale', 'gaye', 'miss', 'sushant']",2020-06-15T02:05:58Z,0.0
42,['miss'],2020-06-15T03:53:38Z,0.0
61,"['middle', 'class', 'people', 'strong', 'mentally', 'physically', 'rich', 'people']",2020-06-15T04:38:08Z,0.26944444444444443
28,"['ripsushanth', 'age', 'die', 'always', 'remember', 'smile', 'deep', 'shock']",2020-06-15T04:52:53Z,0.15
14,"['im', 'devasted', 'welli', 'dont', 'know', 'personally', 'anything', 'one', 'hit', 'hard', 'feel', 'like', 'lose', 'somethingjesus', 'kind', 'thing', 'happen']",2020-06-15T05:08:37Z,0.10277777777777776
92,"['suicide', 'one', 'kill']",2020-06-15T05:08:48Z,0.0
43,"['really', 'sadlost', 'smile', 'soul']",2020-06-15T05:25:10Z,0.25
82,"['always', 'family', 'go', 'search', 'friend', 'say', 'get', 'real', 'true', 'friend', 'think', 'people', 'r', 'even', 'place', 'live', 'food', 'eat', 'think', 'woman', 'face', 'soooo', 'much', 'problem']",2020-06-15T06:48:04Z,0.2871212121212121
19,"['investigation', 'must', 'go', 'deep']",2020-06-15T07:03:38Z,0.0
18,"['rip', 'rest', 'peace']",2020-06-15T07:44:24Z,0.0
117,"['funny', 'india', 'person', 'dy', 'fool', 'come', 'great', 'concern', 'n', 'support']",2020-06-15T09:15:04Z,0.525
116,['true'],2020-06-15T10:44:24Z,0.35
15,"['one', 'untold', 'story', 'leave', 'story', 'untold', 'sad']",2020-06-15T17:08:46Z,-0.5
21,"['word', 'express', 'heart', 'break', 'im']",2020-06-15T20:25:56Z,0.0
50,"['initially', 'say', 'maid', 'find', 'body', 'say', 'friend', 'know', 'really', 'happen', 'behind', 'close', 'door', 'worse', 'part', 'someone', 'else', 'hand', 'never', 'get', 'catch', 'look', 'case', 'pratyusha', 'ziya', 'khan', 'divya', 'bharti', 'etc', 'sad', 'hope', 'get', 'justice']",2020-06-15T23:05:58Z,-0.22000000000000003
80,"['murder', 'bollywood', 'call', 'god']",2020-06-15T23:42:09Z,0.0
64,"['prof', 'outsider', 'get', 'film', 'industry', 'ever', 'tollywood', 'bollywood']",2020-06-16T00:22:29Z,0.0
85,"['depression', 'make', 'bollywood', 'groupie']",2020-06-16T02:53:08Z,0.0
30,"['must', 'something', 'happen', 'could', 'there', 'reason', 'make', 'hang', 'dont', 'believe', 'hang', 'like', 'without', 'reason']",2020-06-16T04:27:18Z,0.0
108,"['miss', 'u', 'dear']",2020-06-16T04:31:26Z,0.0
106,"['miss', 'u', 'sushantbht', 'bura', 'lag', 'raha', 'haii', 'wish', 'ki', 'koi', 'mjhe', 'bole', 'ye', 'movie', 'khatam', 'ho', 'gya', 'haior', 'tum', 'stil', 'jinda', 'hogod', 'tumko', 'apne', 'pas', 'ache', 'se', 'rakhekhus', 'rakhebht', 'bht', 'miss', 'krungiki', 'tumhra', 'koi', 'movie', 'songnhi', 'dekhne', 'ko', 'milegabut', 'kbhi', 'v', 'koi', 'v', 'tumhra', 'jo', 'wo', 'jagha', 'hai', 'fevrt', 'actor', 'wala', 'replc', 'nhi', 'kregarip']",2020-06-16T05:25:34Z,0.0
59,"['secretary', 'mysteriously', 'die', 'investigation', 'must', 'conduct', 'death', 'unbelievable', 'seriously']",2020-06-16T07:36:57Z,-0.19444444444444442
