Name,Comment,tone
Orce Tata,"I ask one question for each person at the age of 84 what agriculture can that person do or at the age of 74 or 75 what agriculture can that person do? So I ask one question the fish came to they sell their drugs more than so many people bring from pakistan to sell drugs why don&#39;t you speak the truth why are they up to the single question why are they afraid of the truth they have to learn to tell the truth each person has to learn to tell the truth in society, so I have to respect every person that they don&#39;t want this emoji then, and it&#39;s good that I&#39;m not going to give in to any murderer who has leaked drugs among them to sell does not admit that he is trying to sell drugs why and why I do not know what is agriculture in India But not every case I saw on the satellite anyway It&#39;s a lot of work. But what I saw on the satellite is that there are some people who bring drugs to India. The question mark for me is more than that. You have to understand anyway we will send these documents to the prosecutor and the police and the court more than that anyway we will not leave them at home because they want to meet the police each person that they have to speak in court for everything they have done for drug trafficking and arms trafficking","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I ask one question for each person at the age of 84 what agriculture can that person do or at the age of 74 or 75 what agriculture can that person do?', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'So I ask one question the fish came to they sell their drugs more than so many people bring from pakistan to sell drugs why don&#39;t you speak the truth why are they up to the single question why are they afraid of the truth they have to learn to tell the truth each person has to learn to tell the truth in society, so I have to respect every person that they don&#39;t want this emoji then, and it&#39;s good that I&#39;m not going to give in to any murderer who has leaked drugs among them to sell does not admit that he is trying to sell drugs why and why I do not know what is agriculture in India But not every case I saw on the satellite anyway It&#39;s a lot of work.', 'tones': [{'score': 0.612867, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'But what I saw on the satellite is that there are some people who bring drugs to India.', 'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'The question mark for me is more than that.', 'tones': [{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'You have to understand anyway we will send these documents to the prosecutor and the police and the court more than that anyway we will not leave them at home because they want to meet the police each person that they have to speak in court for everything they have done for drug trafficking and arms trafficking', 'tones': []}]}"
Monu Khatik,9917112008,{'document_tone': {'tones': []}}
Doosra95,"Khalistan Zindabad ... Framers long live , no to corporate, NO TO GMO Products. Modi Murdabad. BJP KI ghand fard do!!!!","{'document_tone': {'tones': [{'score': 0.61954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Khalistan Zindabad ... Framers long live , no to corporate, NO TO GMO Products.', 'tones': [{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Modi Murdabad.', 'tones': []}, {'sentence_id': 2, 'text': 'BJP KI ghand fard do!!!!', 'tones': []}]}"
Asif Ansari,Ravish Kumar ji,{'document_tone': {'tones': []}}
Anis Khan,...,{'document_tone': {'tones': []}}
Modern Jatt,Tab Tractor aur kisan note par tha<br>Aaj tractor Aur kisan Road par Hain 😥,{'document_tone': {'tones': []}}
Md amir,10p0b1000ck,{'document_tone': {'tones': []}}
Takhi Geeta,hun bjp sarkar di ultti ginti suru,"{'document_tone': {'tones': [{'score': 0.51621, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
Vaseem Baig,T,{'document_tone': {'tones': []}}
Sanjay Mishra,बिहार की हार से बिलबिलाया हुआ है😊😊😊,"{'document_tone': {'tones': [{'score': 0.843207, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sanjay Mishra,गद्दारों की पूरी जमात कैसा फड़फड़ा रही है😊😊😊,"{'document_tone': {'tones': [{'score': 0.843207, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sanjay Mishra,वामपंथी दलाल न हों  तो शांतिपूर्ण ही रहेगा......,{'document_tone': {'tones': []}}
Jitendra Solanki,Jabardast si jabardast,{'document_tone': {'tones': []}}
mian manazir,ABI MOQA HA. ALG CUNTRY BNA LO SINGH BRO PLEASE YH CHANCE PHIR NHI MILY GA,"{'document_tone': {'tones': [{'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'ABI MOQA HA.', 'tones': [{'score': 0.587378, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'ALG CUNTRY BNA LO SINGH BRO PLEASE YH CHANCE PHIR NHI MILY GA', 'tones': [{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
sameer chauhan,one of the best trusted channel ndtv,"{'document_tone': {'tones': [{'score': 0.86648, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
