Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Sagar Anand,🚜Kisan ko sarkaren pareshan kar rahihai phirbhi Kisanoke rashtr ke bete aur betiya desh ko medals larahehai. Abto Kisan ki mangi purekaro netaon. 😭 🚜,2021-08-07T14:13:01Z,0,0,,,,
I'M OKAY WITH MY LIFE,❤️❤️❤️,2021-08-07T14:13:00Z,0,0,,,,
Mafidul Ali,Ab ayega Godi and sab footage kha jayega bhai ka dekhna.,2021-08-07T14:12:57Z,0,1,,,,
,,,,,Kaushik Jh,Har jagah apna baap kyu yaad aata hai. Itni kyu fatti hai usse. Kuch nahi karega darr mat.,2021-08-08T13:22:37Z,2021-08-08T13:22:37Z
Mafidul Ali,Finally ❤ National 🇮🇳 Anthem payed in the Tokyo stadium. 😊❤😊,2021-08-07T14:12:23Z,0,0,,,,
Mandit Banthia,"Ek mahine baad IPL aur sab bhul jayenge, India rates no other sports as big as Cricket Abhi bhi bohot log cricket hi dekh rahe hai Maine disney hotstar pe views dekhi h. Kuch nhi India me iss bar 7 medal aa gya 127 log gaye the by the way. Strike rate 2012 ka hi acha h abhi bhi. INDIA only admires Cricket the most. Dissapointing but true!",2021-08-07T14:09:40Z,0,0,,,,
Ajinkya Jagtap,Thumbnail Was Misleading<br><br>I Thought You Got Interview.,2021-08-07T14:09:21Z,0,0,,,,
Zaffar Sultan,Historic  moments for Indian Athletes n Atheletcs  !!,2021-08-07T14:08:20Z,0,0,,,,
अभिमन्यु सिंह,Jab Bharat Mata ki Jai ka naara goonja Tokyo mein to main yehi soch raha tha ki aaj to NDTV ki jali hogi buri tarah se,2021-08-07T14:01:29Z,0,0,,,,
shahab khan,Wow Gold for us Thanks Neeraj..,2021-08-07T13:59:01Z,0,0,,,,
Prince yadav bholu,Congratulations,2021-08-07T13:58:49Z,1,0,,,,
neerajism,Love you neeraj🥰 😍😘,2021-08-07T13:58:30Z,0,0,,,,
Kamlesh singh,Burnol for libranduo,2021-08-07T13:57:20Z,2,0,,,,
Akram Ahmad,Proud of you..bro,2021-08-07T13:55:49Z,0,0,,,,
Harini Yadav,We are proud of you sir,2021-08-07T13:55:37Z,1,0,,,,
Deep Malya,"No credit to govt our sports success only belongs to the players and the people who guided him...... We should increase our sports budget and introduce sports to kids at every school without corruption then only we can compete with china, Japan, korea",2021-08-07T13:51:37Z,2,0,,,,
Cait Albuquerque,Congratulations to Mr N Chopra / you made India proud.,2021-08-07T13:51:13Z,5,0,,,,
R B India,Randitv may matam 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,2021-08-07T13:50:45Z,0,0,,,,
Short Life Long Travel,"Finally wait is over, Gold 🥇 is here, thanks Neeraj Chopra ❤️❤️❤️",2021-08-07T13:49:55Z,2,0,,,,
KODURI JAGANNATH,"He will be given BHARATH Ratna great athlete . Neeraj ji hope govt of India will give you that great honour.jai BHARATH.congratulations for your awesome achievement.congrats to your PE teachers,coaches helped you apart from your awesome talent,hard work, dedication jai BHARATH.",2021-08-07T13:49:13Z,5,0,,,,
Rk Lalremsanga,"Congratulation our hero, big celebrated from Mizoram. Jai hind",2021-08-07T13:48:49Z,7,0,,,,
DIVYA PRAKASH,Modi ne Gold Medal jeet liya... Hurrreeeee😂<br> Gujrat se bhala bheka aur japan me jaa ke gira,2021-08-07T13:48:45Z,0,0,,,,
LONG LIVE REVOLUTION,कमाल कर दिया नीरज❤️🇮🇳,2021-08-07T13:48:28Z,1,0,,,,
asok kumar,"Kudos, well done  Neeraj",2021-08-07T13:47:56Z,0,0,,,,
Anis Pathan,Punjabi always Rocks 🎉 Congratulations to all Indians.,2021-08-07T13:47:30Z,0,0,,,,
The Wander Boy Jitin Raj,"Everyone knew this was coming, we knew he would get gold .!! Congrats Champ..!!",2021-08-07T13:46:00Z,0,0,,,,
Aaron dsouza,Rip corona,2021-08-07T13:44:40Z,0,0,,,,
Zaffar Sultan,Thou art the brightest morn of a much brighter day  !!,2021-08-07T13:44:23Z,2,0,,,,
Zaffar Sultan,Many CHEERS  Chopra  @@ U won Gold n a real bliss for US !!,2021-08-07T13:42:28Z,1,0,,,,
K,After the throw he didn&#39;t even see the Javelin and started celebrating that shows he is an epitome of confidence and will power 💪.,2021-08-07T13:41:59Z,3,0,,,,
Mohnish 067,Neeraj pure gold.,2021-08-07T13:41:19Z,0,0,,,,
Sumer Chougule,Congratulations,2021-08-07T13:38:55Z,1,0,,,,
GamingYT,G❤️LD,2021-08-07T13:38:34Z,0,0,,,,
Ashis Dutta Gupta,"SUBEDAR SHAAB(NEERAJ CHOPRA) YOU SCRIPTED HISTORY IN TOKYO<br>AND LIKE YOUR JAVELIN YOU THRU YOUR ACHIEVEMENTS GOT SETTLED <br>IN THE HEARTS OF 1.3BILLION INDIANS<br>ALONG WITH OTHER ACHIEVERS STARTING FROM CHANU TILL YOU.<br>I SALUTE YOU SUBEDAR SAAB ON <br>BEHALF OF ALL THE COUNTRYMEN. <br>THANK YOU FOR MAKING US PROUD<br>ONCE AGAIN , REPEAT OF THIS MOMENT IN OTHER UPCOMING EVENTS IS AWAITED EAGERLY.",2021-08-07T13:38:08Z,0,0,,,,
Kumar Ankit,Country basking in success of athletes they never supported and who achieved these without any institutional help or fans,2021-08-07T13:37:27Z,2,1,,,,
,,,,,Anirudh,Bro pls everything was provided. Where do u live ?,2021-08-07T13:42:19Z,2021-08-07T13:42:19Z
MKH,Excellent! Congratulations body!!💐,2021-08-07T13:37:25Z,0,0,,,,
Maze Runner,Hurray god bless u and all the indian participants who take part in this Olympic,2021-08-07T13:34:35Z,3,0,,,,
Naresh Raghuwanshi,For me this is biggest indian sport achievement till date,2021-08-07T13:31:05Z,3,0,,,,
Satwhik .T,Congratulations👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,2021-08-07T13:30:41Z,1,0,,,,
K Ashutosh,Yesss........,2021-08-07T13:30:17Z,0,0,,,,
Shiva,Second tym liked ndtv in my life..only for Neeraj chopra..,2021-08-07T13:30:12Z,5,1,,,,
,,,,,tech of India,Because you are andhbhakt 🤣😂,2021-08-07T15:44:23Z,2021-08-07T15:44:23Z
Samuel Chacko,Congratulations <br>We got a gold too,2021-08-07T13:26:23Z,0,0,,,,
Mohan Das,Yay👏👏👏,2021-08-07T13:25:51Z,0,0,,,,
Islam Ansari,Congratulations,2021-08-07T13:25:14Z,1,0,,,,
Shamshad Alam,Congratulations Niraj,2021-08-07T13:25:06Z,0,0,,,,
abdul aleem,Gold ka saara credit modi ko jaata hai🤣😂😛😜🤪,2021-08-07T13:24:32Z,1,1,,,,
,,,,,The Phenomenal,Grow up,2021-08-07T13:33:15Z,2021-08-07T13:33:15Z
Venisri Melpati,Congratulations neeraj chopra..finally wait is over..we are proud of you..,2021-08-07T13:24:18Z,6,0,,,,
Rajneesh Jammu,Proud moment for all indians.........Best f luck brthr...........and heartiest cngratulations for your remarkable throw.......,2021-08-07T13:24:03Z,0,0,,,,
InDo Studio ,"congratulations Neeraj Chopra scripts history, wins first gold for India in track and field at Tokyo Olympics 🏅🏅 He did it ✊",2021-08-07T13:22:55Z,0,0,,,,
Swami Paripurnananda Giri,Congratulations.<br>Country is proud of you .<br>Neeraj  chopra .,2021-08-07T13:22:35Z,3,0,,,,
Kowsalya G,🔥🔥🔥NEERAJ அவர்களுக்கு வாழ்த்துக்கள்🔥🔥🔥,2021-08-07T13:22:10Z,8,1,,,,
,,,,,the Bond Villain,தமிழ் 🔥🔥,2021-08-07T14:10:59Z,2021-08-07T14:10:59Z
a,Likh leta hu. Yeh pakka upsc mein aayega😍😍,2021-08-07T13:22:06Z,9,1,,,,
,,,,,Pranit Patil,upsc quiz quiz khelta h ky,2021-08-07T14:10:17Z,2021-08-07T14:10:17Z
Aditya Gupta,"Tears in my eyes , My country is changing 😍.Whole country is celebrating a single person&#39;s win 🥳🥳 this is really great feeling .Thank u Neeraj Chopra ❤️",2021-08-07T13:21:36Z,11,1,,,,
,,,,,Sj 24,How do you know that the whole country is celebrating...??,2021-08-07T13:47:09Z,2021-08-07T13:47:09Z
Wasim Akaram,Many many congratulations Dear...🇮🇳,2021-08-07T13:20:57Z,0,0,,,,
ningthou ningthoujam,"We really need to improve infrastructure develop PE, sports science and sports psychology. Neeraj, Mirabai and Sindhu played with champion mentality. But lot of our athelete choke in semi finals. We need to mentally toughen them up with good sports psychologist .",2021-08-07T13:20:47Z,5,0,,,,
