,id,message,tone
31,244,"o my god ,, can't believe ,,, very very sad demise,, ","{'document_tone': {'tones': [{'score': 0.845699, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.70123, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
32,245,o noooooo whyy???,{'document_tone': {'tones': []}}
33,246,Why so...suicide is not the solution,"{'document_tone': {'tones': [{'score': 0.883079, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
34,247,Shocking...Sad...Amazing Talent...RIP...🙏,"{'document_tone': {'tones': [{'score': 0.840981, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
35,248,Shanky Chalany Rakesh Hans ,{'document_tone': {'tones': []}}
36,249,Please don’t make fun of any one u guys were enjoying on afridi ,"{'document_tone': {'tones': [{'score': 0.883193, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
37,250,Manoj Narwal,{'document_tone': {'tones': []}}
38,251,OMG!!! Rip🙏,{'document_tone': {'tones': []}}
39,252,Mushaim Azhan yes ,{'document_tone': {'tones': []}}
40,253,Shocked!! He was so good .. I really liked him as MS Dhoni !! 💔,"{'document_tone': {'tones': [{'score': 0.504191, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shocked!!', 'tones': [{'score': 0.857143, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': 'He was so good .. I really liked him as MS Dhoni !! 💔', 'tones': [{'score': 0.550815, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
41,254,I can’t believe it,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
42,255,Sarfaraz dokha de gaya ...Rip,"{'document_tone': {'tones': [{'score': 0.863394, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
43,256,I can't believe this,"{'document_tone': {'tones': [{'score': 0.984352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
44,257,Parveen,{'document_tone': {'tones': []}}
45,258,Extremely shocked 😱😱😱,"{'document_tone': {'tones': [{'score': 0.669761, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
46,259,How is this even possible. What is happening. A amazing talent. RIP.,"{'document_tone': {'tones': [{'score': 0.537943, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.994704, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'How is this even possible.', 'tones': [{'score': 0.997314, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'What is happening.', 'tones': []}, {'sentence_id': 2, 'text': 'A amazing talent.', 'tones': [{'score': 0.925462, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'RIP.', 'tones': []}]}"
47,260,Really???,"{'document_tone': {'tones': [{'score': 0.997482, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
48,261,Srinivas N Oh God ,{'document_tone': {'tones': []}}
49,262,Feeling very bad..it's not good time for celebrities ...RIP,"{'document_tone': {'tones': [{'score': 0.857902, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
50,265,"Really sad, may his soul rest in peace. Strength to the family. Such a fine actor.","{'document_tone': {'tones': [{'score': 0.875049, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.936899, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.750021, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Really sad, may his soul rest in peace.', 'tones': [{'score': 0.897773, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.803567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Strength to the family.', 'tones': [{'score': 0.741561, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': 'Such a fine actor.', 'tones': []}]}"
51,266,It's disgusting why people resort to these kind of suicides. There is a solution for everything.  Sad to hear the news.,"{'document_tone': {'tones': [{'score': 0.844745, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.673826, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""It's disgusting why people resort to these kind of suicides."", 'tones': [{'score': 0.550443, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'There is a solution for everything.', 'tones': [{'score': 0.669267, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Sad to hear the news.', 'tones': [{'score': 0.841843, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
52,267,Anii Of Chichoray Is No More,{'document_tone': {'tones': []}}
53,268,So sad😢,"{'document_tone': {'tones': [{'score': 0.956451, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
54,269,Whats wrong? Why? Gone too soon.  RIP.,"{'document_tone': {'tones': [{'score': 0.694642, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Whats wrong?', 'tones': [{'score': 0.586306, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Why? Gone too soon.', 'tones': []}, {'sentence_id': 2, 'text': 'RIP.', 'tones': []}]}"
55,270,"Man, you are a hero, why did you end your life😥😥","{'document_tone': {'tones': [{'score': 0.55782, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
56,271,RIP Sushant Singh Rajput,"{'document_tone': {'tones': [{'score': 0.75583, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
57,272,Omg... saddest news from Bollywood after Irfan and Rishi sir...,"{'document_tone': {'tones': [{'score': 0.854583, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
58,273,RIP 💐,"{'document_tone': {'tones': [{'score': 0.735446, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
59,274,Is tht true news,"{'document_tone': {'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
60,275,Gevarghese kV: right not during this 15 minutes I read 5-6  news articles where I found a lot of links of doubt.,"{'document_tone': {'tones': [{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
61,276,Very much Shocking .. 🌹 RIP 🌹,"{'document_tone': {'tones': [{'score': 0.508523, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
62,277,Film industry is very Dark,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
63,278,Rip,{'document_tone': {'tones': []}}
64,279,WHAT!!!!!! Oh my God.,{'document_tone': {'tones': []}}
