id,snippet.topLevelComment.snippet.textDisplay,tone
56,Komal Nahta is talking as if he is on the pay check of those Bollywood cliques. He still doesnt get it or pretends not to get it. Shameful.,"{'document_tone': {'tones': [{'score': 0.96741, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.84639, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Komal Nahta is talking as if he is on the pay check of those Bollywood cliques.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'He still doesnt get it or pretends not to get it.', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Shameful.', 'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
57,"Waste to watch bollywood movies today, such a fact of bollywood","{'document_tone': {'tones': [{'score': 0.862286, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
58,"This is very sad, someone who is so positive! how can he did an act like this? something happen definitly, I have a brilliant career even if I am depress I have the ability to see the best of doctor, I am successful, I am a star who are known over the world, I am rich and suddenly I decide to hang myself!. There are no logic in this, I think it could be a calculated murder. No human can accept this as a suicide. It is always the same kind of death for the bollywood actors and actress like Jia Khan, Pratyusha Banerjy, Jayalaxmi Reddy, Nafisa Joseph, Archana Pandey, kushal punjabi, all these and many more hanging from ceiling fan and all are the same kind of suicide with no cause and cremation are done very fast. very strange!","{'document_tone': {'tones': [{'score': 0.684921, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.695854, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.7157, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This is very sad, someone who is so positive!', 'tones': [{'score': 0.900355, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'how can he did an act like this? something happen definitly, I have a brilliant career even if I am depress I have the ability to see the best of doctor, I am successful, I am a star who are known over the world, I am rich and suddenly I decide to hang myself!.', 'tones': [{'score': 0.509127, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.666746, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'There are no logic in this, I think it could be a calculated murder.', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.821444, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 3, 'text': 'No human can accept this as a suicide.', 'tones': [{'score': 0.881966, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 4, 'text': 'It is always the same kind of death for the bollywood actors and actress like Jia Khan, Pratyusha Banerjy, Jayalaxmi Reddy, Nafisa Joseph, Archana Pandey, kushal punjabi, all these and many more hanging from ceiling fan and all are the same kind of suicide with no cause and cremation are done very fast.', 'tones': [{'score': 0.548352, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 5, 'text': 'very strange!', 'tones': [{'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
59,"It's a murder,sir!",{'document_tone': {'tones': []}}
60,"Yes we saw this bullying of talented actors during recent BigBoss also, I mean how articles were written, false allegations were made blaming Siddharth Shukla being a drug addict & having undergone treatment & what not.......we are glad that ppl didn't let him down & voted for the right talent who entertained us & not chelas of Bollywood's shameless dadagiri wala egoistic bhai, who can finish off any actors carrier if they mess with him. Dangerous D gang cabal indeed­čÖä","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Yes we saw this bullying of talented actors during recent BigBoss also, I mean how articles were written, false allegations were made blaming Siddharth Shukla being a drug addict & having undergone treatment & what not.......we are glad that ppl didn't let him down & voted for the right talent who entertained us & not chelas of Bollywood's shameless dadagiri wala egoistic bhai, who can finish off any actors carrier if they mess with him."", 'tones': []}, {'sentence_id': 1, 'text': 'Dangerous D gang cabal indeed\xadčÖä', 'tones': [{'score': 0.738445, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
61,There must be a privileged club in Times Now as an organization also. The anchor is a part of that club.,"{'document_tone': {'tones': [{'score': 0.818552, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'There must be a privileged club in Times Now as an organization also.', 'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'The anchor is a part of that club.', 'tones': []}]}"
62,How sad what a SAD STORY. ­čśóGOD IS WATCHING,"{'document_tone': {'tones': [{'score': 0.888555, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'How sad what a SAD STORY.', 'tones': [{'score': 0.906009, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': '\xadčśóGOD IS WATCHING', 'tones': [{'score': 0.588935, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
63,there was a time before karan when we had a great actress sridevi and bollywood was great at that time but then karan came and ruined the bollywood industry,"{'document_tone': {'tones': [{'score': 0.671296, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
64,someone care to spend a moment to think of the soldiers on the border putting their lives on line to protect us?,"{'document_tone': {'tones': [{'score': 0.501963, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
65,I admire him as my hero. I wanted to see his movies till I die....,"{'document_tone': {'tones': [{'score': 0.563817, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I admire him as my hero.', 'tones': [{'score': 0.718544, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'I wanted to see his movies till I die....', 'tones': [{'score': 0.714544, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
