id,snippet.topLevelComment.snippet.textDisplay,tone
2,Only Kangana Ranaut has guts to speak the truth ­čĹŹ,"{'document_tone': {'tones': [{'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
3,sushant singh bhai's death is not a suicide its a murder .His loss makes me feel like i have lost half of my soul,"{'document_tone': {'tones': [{'score': 0.854252, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.523822, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
4,"This is absolutely pre plan murder,it's not suicide ­čśş","{'document_tone': {'tones': [{'score': 0.928569, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
5,"I honestly never liked any Bollywood actors no matter how big they were. I never liked their movies either because it was simply not my type at all. I only had respect for Irrfan Khan and Sushant Singh and now both of them are gone living us poorer. Believe me when I say this, the Indian film industry has suffered a great great loss, they'll think that there are many actors but no one will be as good as these late actors.  I really hope that Rajkumar Rao will survive and become big in Bollywood because in my opinion, he is the only one left who can save this failing film industry. Rest in peace Sushant Singh, so deeply loved and missed.","{'document_tone': {'tones': [{'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.731445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.651028, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I honestly never liked any Bollywood actors no matter how big they were.', 'tones': [{'score': 0.507547, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'I never liked their movies either because it was simply not my type at all.', 'tones': [{'score': 0.595102, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'I only had respect for Irrfan Khan and Sushant Singh and now both of them are gone living us poorer.', 'tones': [{'score': 0.618141, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': ""Believe me when I say this, the Indian film industry has suffered a great great loss, they'll think that there are many actors but no one will be as good as these late actors."", 'tones': [{'score': 0.715835, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'I really hope that Rajkumar Rao will survive and become big in Bollywood because in my opinion, he is the only one left who can save this failing film industry.', 'tones': [{'score': 0.529075, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.779898, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 5, 'text': 'Rest in peace Sushant Singh, so deeply loved and missed.', 'tones': [{'score': 0.83096, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
6,It's a murder. Bollywood killed a brilliant actor. It's a shame!!!!,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': ""It's a murder."", 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Bollywood killed a brilliant actor.', 'tones': []}, {'sentence_id': 2, 'text': ""It's a shame!!!!"", 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
7,We need actors like Kangana to expose these elites,"{'document_tone': {'tones': [{'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
8,He has been killed by Bollywood. We people liked him and wanted him happy and living. People stop watching B'wood movies and punish the industry for this murder,"{'document_tone': {'tones': [{'score': 0.592674, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'He has been killed by Bollywood.', 'tones': []}, {'sentence_id': 1, 'text': 'We people liked him and wanted him happy and living.', 'tones': [{'score': 0.841619, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 2, 'text': ""People stop watching B'wood movies and punish the industry for this murder"", 'tones': [{'score': 0.599897, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
9,"When my sister first told me he died and didnÔÇÖt leave a suicide note, I KNEW this has got to be a murder. After seeing most of his interviews and hearing about his dreams, I think my suspicion is confirmed. Also it doesnÔÇÖt look like he hanged himself, it looks like someone strangled him. The lines on his neck are in the middle and not near the jaw where they would be if he were hanging from the ceiling. Look into this matter properly.","{'document_tone': {'tones': [{'score': 0.576017, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.796763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.830474, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'When my sister first told me he died and didnÔÇÖt leave a suicide note, I KNEW this has got to be a murder.', 'tones': [{'score': 0.763201, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'After seeing most of his interviews and hearing about his dreams, I think my suspicion is confirmed.', 'tones': [{'score': 0.855572, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Also it doesnÔÇÖt look like he hanged himself, it looks like someone strangled him.', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'The lines on his neck are in the middle and not near the jaw where they would be if he were hanging from the ceiling.', 'tones': [{'score': 0.501764, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 4, 'text': 'Look into this matter properly.', 'tones': [{'score': 0.972214, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
10,We lost all rounder prince of India. He had uncountable knowledge and intellectual power. But cruel people finished him  ­čś×­čśş­čśş,"{'document_tone': {'tones': [{'score': 0.699402, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.922197, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.551743, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We lost all rounder prince of India.', 'tones': [{'score': 0.753283, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'He had uncountable knowledge and intellectual power.', 'tones': [{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'But cruel people finished him  \xadčś×\xadčśş\xadčśş', 'tones': [{'score': 0.57585, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
11,"These people should be criminally charged,or bullying will never stop.Sushant should get Justice ­čÖĆ","{'document_tone': {'tones': [{'score': 0.529251, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
12,"Yes, he was a threat to them as he really was a talented and genuine actor. He had a mesmerizing smile.","{'document_tone': {'tones': [{'score': 0.733548, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.573521, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.818552, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Yes, he was a threat to them as he really was a talented and genuine actor.', 'tones': [{'score': 0.588628, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'He had a mesmerizing smile.', 'tones': [{'score': 0.995826, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
13,"I remember a interview of Sushant when he said "" I feel awkward when I dont get award for MS Dhoni"" so sad a talent left","{'document_tone': {'tones': [{'score': 0.82324, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
14,"Damn right it was murder. Sushant had more talent and drive than most of these loser bollywood elites. He was a intelligent, talented and caring human being. I don't understand why it's always the good ones that die young.","{'document_tone': {'tones': [{'score': 0.511212, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.6633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Damn right it was murder.', 'tones': [{'score': 0.722526, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'Sushant had more talent and drive than most of these loser bollywood elites.', 'tones': []}, {'sentence_id': 2, 'text': 'He was a intelligent, talented and caring human being.', 'tones': []}, {'sentence_id': 3, 'text': ""I don't understand why it's always the good ones that die young."", 'tones': [{'score': 0.574528, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
15,shushant singh rajput was so sharp .... a real innocent BIHARI .... he was full of talent whether academics .... arts science  movies or any other ... i wonder why he chose the entertainment industry .... he was meant for the things bigger n brighter ... not the cheap ... bollywood .... this industry killed a young  innocent gentleman ...,"{'document_tone': {'tones': [{'score': 0.607483, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
16,It is a murder! Someone killed him! We want justice ÔťŐ­čĆ╗,"{'document_tone': {'tones': [{'score': 0.556803, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.966403, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'It is a murder!', 'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': 'Someone killed him!', 'tones': [{'score': 0.577009, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.994446, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'We want justice ÔťŐ\xadčĆ╗', 'tones': [{'score': 0.659684, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
17,He Will Never Commit Suicide.. He's A Great Actor,"{'document_tone': {'tones': [{'score': 0.837148, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
18,"He is much more talented and clever than most Bollywood actors, even  compared to  Salman and Sharuk this actor is a raw talent. Really a big loss. Shame on those who belittled him.","{'document_tone': {'tones': [{'score': 0.702196, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.890302, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.915571, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'He is much more talented and clever than most Bollywood actors, even  compared to  Salman and Sharuk this actor is a raw talent.', 'tones': [{'score': 0.659112, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.802462, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Really a big loss.', 'tones': [{'score': 0.823031, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Shame on those who belittled him.', 'tones': [{'score': 0.527756, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
19,"We need to change. We need to promote and support guys like Sushant, not the so called A long time actors.  We will miss this excellent Actor. RIP","{'document_tone': {'tones': [{'score': 0.705914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.586281, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'We need to change.', 'tones': []}, {'sentence_id': 1, 'text': 'We need to promote and support guys like Sushant, not the so called A long time actors.', 'tones': []}, {'sentence_id': 2, 'text': 'We will miss this excellent Actor.', 'tones': [{'score': 0.732768, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'RIP', 'tones': []}]}"
20,Good intelligent skilled people are always pulled down....The jealousy fear and hatredness  kills them badly,"{'document_tone': {'tones': [{'score': 0.82706, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
21,"Hypocrite, Horrible, shameful, disgraceful people who have put him in this situation­čś¬",{'document_tone': {'tones': []}}
22,After this guy's deaths things will never change in Bollywood.  Some of the top level want to rule,"{'document_tone': {'tones': [{'score': 0.639732, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.695095, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""After this guy's deaths things will never change in Bollywood."", 'tones': [{'score': 0.703972, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'Some of the top level want to rule', 'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.868364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
23,­čÖĆ­čĆ╗­čĽ»´ŞĆ­čĽ»´ŞĆJUSTICE For Sushant Sir... ­čÖĆ­čĆ╗­čĽ»´ŞĆ­čĽ»´ŞĆ,{'document_tone': {'tones': []}}
24,I swear to God I Will never enter a theater to watch a movie of these products of nepotism hell with all these Varun alia Karan tiger ..hell with them all.sushant didn't deserve this never seen such a brilliant actor with such a genius mind,"{'document_tone': {'tones': [{'score': 0.524959, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.955886, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I swear to God I Will never enter a theater to watch a movie of these products of nepotism hell with all these Varun alia Karan tiger ..hell with them all.sushant', 'tones': [{'score': 0.757798, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.780589, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': ""didn't deserve this never seen such a brilliant actor with such a genius mind"", 'tones': [{'score': 0.776897, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
25,I agree Bollywood sucks  Ban nepotism.,"{'document_tone': {'tones': [{'score': 0.610649, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
26,Such a disturbing incident this is. Can't be out of it.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Such a disturbing incident this is.', 'tones': []}, {'sentence_id': 1, 'text': ""Can't be out of it."", 'tones': []}]}"
27,There is still some mystery with his girlfriend. He already had many movies in hand and a fantastic talent.,"{'document_tone': {'tones': [{'score': 0.714297, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.96195, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'There is still some mystery with his girlfriend.', 'tones': [{'score': 0.961411, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'He already had many movies in hand and a fantastic talent.', 'tones': [{'score': 0.802122, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
28,If you see any event s/parties of Bollywood... Sushant always remained unseen.. because no one invited him,"{'document_tone': {'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
29,It's a murder 100percent,"{'document_tone': {'tones': [{'score': 0.595413, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
30,"""Searching for library in a fish market"". ­čĹŹ","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': '""Searching for library in a fish market"".', 'tones': []}, {'sentence_id': 1, 'text': '\xadčĹŹ', 'tones': []}]}"
31,"Look at this sceaming, sniving puppet of Karan Johar, Komal nahta trying to defend his master","{'document_tone': {'tones': [{'score': 0.891685, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
32,Komal nahta is a paid pr so he will say whatever his fathers want.,{'document_tone': {'tones': []}}
33,How dare Komal Nahta can justify Nepotism ??? It's heights .. he knows everything about the industry !!!,"{'document_tone': {'tones': [{'score': 0.664276, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
34,"Bollywood failed to understand and use Sushanth's Caliber. He was a real gem, all-rounder and a good human being. May God give his father and other family members to bear their greatest loss.","{'document_tone': {'tones': [{'score': 0.541611, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.51835, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Bollywood failed to understand and use Sushanth's Caliber."", 'tones': [{'score': 0.57221, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'He was a real gem, all-rounder and a good human being.', 'tones': [{'score': 0.751946, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'May God give his father and other family members to bear their greatest loss.', 'tones': [{'score': 0.533102, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
35,Sushant was a huge threat to other actors. They made him feel left out. Why did you make them win Sushanth...why.... That is what they wanted... For you to disappear. And you left us. Why....,"{'document_tone': {'tones': [{'score': 0.607197, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.654023, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.609297, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Sushant was a huge threat to other actors.', 'tones': [{'score': 0.830834, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 1, 'text': 'They made him feel left out.', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Why did you make them win Sushanth...why....', 'tones': [{'score': 0.842824, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'That is what they wanted...', 'tones': [{'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'For you to disappear.', 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 5, 'text': 'And you left us.', 'tones': [{'score': 0.676482, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 6, 'text': 'Why....', 'tones': []}]}"
36,"boycott starkids from today onwards, then we can say we as a society achieved something, debates are for only remembering him for 2 days.","{'document_tone': {'tones': [{'score': 0.702145, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
