,id,snippet.topLevelComment.snippet.textDisplay,tone
32,34,why suddenly white chudidhar...I don't understand this? costume change,"{'document_tone': {'tones': [{'score': 0.550088, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
33,35,See..jab sushant ki manager ki death hui thi to yeh kaha gaya tha ki vo pregnant thi or vo child kisi superstar ka hai....to may b vo baat ssr ko pata hogi..... After manager 's death ssr was afraid tht may b he gets killed.....  Now there r 3 things.... 1. Rhea will b d reason. 2. Udhav thackrey's son will b d reason.....kya pata raat ko party me inki ladai hui ho...or galti se ladai me SSR Ki death ho gyi ho....or baad me ise suicide keh diya ho... 3. Usi superstar ne marwa diya ho....  And yes....ye teeno hi points eksaath work kr sakte hai...kya pata teeno ne hi planning se maara ho......  Uss party ki cctv recordings dekho....sab saamne aajayega.... N ya murder 13th June ko hua tha....14th ko nahi.,"{'document_tone': {'tones': [{'score': 0.598837, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.580127, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.823467, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'See..jab sushant ki manager ki death hui thi to yeh kaha gaya tha ki vo pregnant thi or vo child kisi superstar ka hai....to may b vo baat ssr ko pata hogi.....', 'tones': [{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': ""After manager 's death ssr was afraid tht may b he gets killed.....  Now there r 3 things.... 1. Rhea will b d reason."", 'tones': [{'score': 0.777229, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 2, 'text': ""2. Udhav thackrey's son will b d reason.....kya pata raat ko party me inki ladai hui ho...or galti se ladai me SSR Ki death ho gyi ho....or baad me ise suicide keh diya ho... 3. Usi superstar ne marwa diya ho...."", 'tones': [{'score': 0.679402, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'And yes....ye teeno hi points eksaath work kr sakte hai...kya pata teeno ne hi planning se maara ho......  Uss party ki cctv recordings dekho....sab saamne aajayega.... N ya murder 13th June ko hua tha....14th ko nahi.', 'tones': []}]}"
34,36,why public cannot be involved. A father has lost his son and this man is taking it lightly about the death of Sushant and texting himself screaming his head out.  We will shout even louder on behalf of all those who were murdered in the name of suicide,"{'document_tone': {'tones': [{'score': 0.646383, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'why public cannot be involved.', 'tones': []}, {'sentence_id': 1, 'text': 'A father has lost his son and this man is taking it lightly about the death of Sushant and texting himself screaming his head out.', 'tones': [{'score': 0.68521, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'We will shout even louder on behalf of all those who were murdered in the name of suicide', 'tones': [{'score': 0.560261, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
35,37,Family took a good decision to file the FIR in Patna. Why mumbai police did not take any measure when SSR family on 24 feb 20/20 registered a complain that SSR life was in danger.With what audacity did the Mumbai police declare the death of SSR as sucide within 1/2 hour of visit to the crime scene . They did not see the body hanging and there was no sucide note.??????As per CA If everything is fine why ED has filed FIR on reah Chakraborty..????? How can reah Chakraborty the VISHKANYA afford one of the most expensive lawyer in India whose fees is nearly 15 - 20 lacks...,"{'document_tone': {'tones': [{'score': 0.657149, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.66156, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Family took a good decision to file the FIR in Patna.', 'tones': [{'score': 0.610614, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Why mumbai police did not take any measure when SSR family on 24 feb 20/20 registered a complain that SSR life was in danger.With what audacity did the Mumbai police declare the death of SSR as sucide within 1/2 hour of visit to the crime scene .', 'tones': []}, {'sentence_id': 2, 'text': 'They did not see the body hanging and there was no sucide note.??????As per CA If everything is fine why ED has filed FIR on reah Chakraborty..????? How can reah Chakraborty the VISHKANYA afford one of the most expensive lawyer in India whose fees is nearly 15 - 20 lacks...', 'tones': []}]}"
36,38,"Mumbai Police is working according  to  Maharashtra Politicians as well  bollywood mafia ( both are deeply involved) Hence   Only Judiciary Inquiry only Under CBI is required.  FIR is not even lodged by Mumbai police. Yes, that why Indians are demanding for CBI Probe. Mumbai Police senior officials is incompetent and could be deeply involved in  this offence.","{'document_tone': {'tones': [{'score': 0.960528, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.836844, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Mumbai Police is working according  to  Maharashtra Politicians as well  bollywood mafia ( both are deeply involved) Hence   Only Judiciary Inquiry only Under CBI is required.', 'tones': [{'score': 0.972298, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'FIR is not even lodged by Mumbai police.', 'tones': [{'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Yes, that why Indians are demanding for CBI Probe.', 'tones': [{'score': 0.539991, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Mumbai Police senior officials is incompetent and could be deeply involved in  this offence.', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
37,39,Ghtiya ldki π­π­π­π­sab kuchh kha gyi insan or paisa dono ππ,"{'document_tone': {'tones': [{'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
38,40,The lines are so well reharsed.. U are not even a good actress Rhea. Shame..,"{'document_tone': {'tones': [{'score': 0.76518, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.944845, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The lines are so well reharsed.. U are not even a good actress Rhea.', 'tones': [{'score': 0.558315, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Shame..', 'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 1.0, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
39,41,Thief,"{'document_tone': {'tones': [{'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.916667, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
40,42,So basically times now is advocating for rhea chakroborty...bought journalism atleast arnab might be loud and irritating he stayed true to his journalism,{'document_tone': {'tones': []}}
41,43,What a great pretender.......Rhea,"{'document_tone': {'tones': [{'score': 0.957561, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
42,44,why did you do it to him?..cant get over the grief,"{'document_tone': {'tones': [{'score': 0.849807, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
43,45,The truth comes out sure .wait you are going to jail with all culprits,"{'document_tone': {'tones': [{'score': 0.993781, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The truth comes out sure .wait', 'tones': [{'score': 0.97759, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'you are going to jail with all culprits', 'tones': [{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
44,46,Ghatiya Ladki...,{'document_tone': {'tones': []}}
45,47,Crook,"{'document_tone': {'tones': [{'score': 0.751756, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.78291, 'tone_id': 'fear', 'tone_name': 'Fear'}]}}"
46,48,CA smart khel raha h.. CA ko agar dhoyenge to poora sach nikal k aaayega. CA is trying to  be smart... benchod,"{'document_tone': {'tones': [{'score': 0.68097, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'CA smart khel raha h.. CA ko agar dhoyenge to poora sach nikal k aaayega.', 'tones': []}, {'sentence_id': 1, 'text': 'CA is trying to  be smart... benchod', 'tones': [{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
47,49,Iska kitna re-take huwa,{'document_tone': {'tones': []}}
48,50,"why isnt she wearing the cloths she bought off from SSR account and why is she looking so simple she should be well dressed up and should be wearing great makeup   actress h woh b bekar types her crying voice isnt going to help her case people know , Justice or no justice you and your group will be punished by the people.   You killers are all going to be finished by Karma and it will be a real  ....Har har Mahadeva!","{'document_tone': {'tones': [{'score': 0.508342, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'why isnt she wearing the cloths she bought off from SSR account and why is she looking so simple she should be well dressed up and should be wearing great makeup   actress h woh b bekar types her crying voice isnt going to help her case people know , Justice or no justice you and your group will be punished by the people.', 'tones': [{'score': 0.590455, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'You killers are all going to be finished by Karma and it will be a real  ....Har har Mahadeva!', 'tones': [{'score': 0.783854, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
49,51,Why is she and how is she hiring in a Bollywood actor's house...if it is Farhan akhtar he needs to be investigated too. What is she so scared of ...why hire an expensive criminal lawyer ...her fear and these tailored drama is speaking louder than anything. Stop this drama,"{'document_tone': {'tones': [{'score': 0.925803, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.631794, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': ""Why is she and how is she hiring in a Bollywood actor's house...if it is Farhan akhtar he needs to be investigated too."", 'tones': []}, {'sentence_id': 1, 'text': 'What is she so scared of ...why hire an expensive criminal lawyer ...her fear and these tailored drama is speaking louder than anything.', 'tones': [{'score': 0.947714, 'tone_id': 'fear', 'tone_name': 'Fear'}]}, {'sentence_id': 2, 'text': 'Stop this drama', 'tones': [{'score': 0.760996, 'tone_id': 'anger', 'tone_name': 'Anger'}]}]}"
50,52,"*""Rhea is a Chameleon because She is doing a Drama to show the world that she is Innocent""*",{'document_tone': {'tones': []}}
