id,snippet.topLevelComment.snippet.authorDisplayName,snippet.topLevelComment.snippet.textDisplay,tone
234,Jaikishan Gianani,Red fort is the symbol of secularism. No religious symbol allowed on it. Shame on fake secularism spread by NDTV.   Protestors were not given permission to come to red fort. They have violated the permissions.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Red fort is the symbol of secularism.', 'tones': []}, {'sentence_id': 1, 'text': 'No religious symbol allowed on it.', 'tones': [{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'Shame on fake secularism spread by NDTV.', 'tones': [{'score': 0.597022, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 3, 'text': 'Protestors were not given permission to come to red fort.', 'tones': []}, {'sentence_id': 4, 'text': 'They have violated the permissions.', 'tones': []}]}"
235,Binod Verma,"Everyone knew that the pseudo-kisaan protest, librandu and tukde-tukde goons will do. They were violent from the very beginning.   Your narrative have completely failed dalals.","{'document_tone': {'tones': [{'score': 0.638851, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.968979, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Everyone knew that the pseudo-kisaan protest, librandu and tukde-tukde goons will do.', 'tones': [{'score': 0.515958, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'They were violent from the very beginning.', 'tones': [{'score': 0.610067, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 2, 'text': 'Your narrative have completely failed dalals.', 'tones': [{'score': 0.722302, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
236,Ravindra Pandey,Kya sab jisan aur unke neta itne bevakuf hain ki unhe apne beech Khalistanio ka pata hi nhi!!!,{'document_tone': {'tones': []}}
237,Human Beings R Thinking Beings,"Mind Begs the Question: If a PM/Govt Will only give Speeches,Monologues Will not give Answers Sign of - Democracy,Dictatorship?","{'document_tone': {'tones': [{'score': 0.51921, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.927528, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
238,Sourav Malakar,"This is farmers anger, and it is natural , government  should  realize  that 2 months when farmers  sleep on road in winter season","{'document_tone': {'tones': [{'score': 0.645469, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
239,Nirmala Purohit,Very nice coverage of kisan andolan by NDTV both journalist done good job,"{'document_tone': {'tones': [{'score': 0.8262, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
240,Ghost Purpp,I feel bad for the farmers who were protesting peacefully. Just because of few disruptors whole farmer community has started to lose their credibility.,"{'document_tone': {'tones': [{'score': 0.830168, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.942233, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.930272, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I feel bad for the farmers who were protesting peacefully.', 'tones': [{'score': 0.784962, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Just because of few disruptors whole farmer community has started to lose their credibility.', 'tones': [{'score': 0.789548, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
241,Viren Mule,Ye admi kitna jhut bol raha hai yaar...... Police ne koyi goli chalayi nahi hai... Ek kisan ki tractor ke ludkne se maut huyi hai goli se nahi,{'document_tone': {'tones': []}}
242,Viren Mule,Agar masla kisano ka hai to... Religion ka flag kyo lagaya..... Kya ye sikho ka masla tha.... Sham on you.... They are not would be farmers,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Agar masla kisano ka hai to... Religion ka flag kyo lagaya..... Kya ye sikho ka masla tha.... Sham on you....', 'tones': []}, {'sentence_id': 1, 'text': 'They are not would be farmers', 'tones': [{'score': 0.582078, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
243,Kailash Mondol,Ñ‚Ð¨Ð­Ð�Ð¯ÐŸâ•›Ñ‚Ð¨Ð­Ð�Ð¯ÐŸâ•›Ñ‚Ð­ÐžÑ‚Ð­ÐžÑ‚Ð­Ðž,{'document_tone': {'tones': []}}
244,ash ley,Kya bakchodi hai sale live dekha hai barricade todke aaye hai ye... Kon si purani video... Sale female reporters ko tak nahi chora Kya yahi hai khalsa ki seekh,{'document_tone': {'tones': []}}
245,Keep Calm,Really shameful maro in atankwadiyo ko...desh inke baap ka nhi pure desh ko sharmsaar kar diya. Shame farmer shame is there responsibility.,"{'document_tone': {'tones': [{'score': 0.79901, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.530786, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Really shameful maro in atankwadiyo ko...desh inke baap ka nhi pure desh ko sharmsaar kar diya.', 'tones': []}, {'sentence_id': 1, 'text': 'Shame farmer shame is there responsibility.', 'tones': [{'score': 0.752103, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
246,Rakesh Kumar,Good journalism...asking valid question..,"{'document_tone': {'tones': [{'score': 0.524698, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.970179, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
247,ravi vagh,I support farmers always Ñ‚Ð©Ðµ,"{'document_tone': {'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
248,minthang HK,We stand with India farmers,{'document_tone': {'tones': []}}
249,speak truth,When other idiology comes in democracy. This wll happen,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'When other idiology comes in democracy.', 'tones': []}, {'sentence_id': 1, 'text': 'This wll happen', 'tones': [{'score': 0.503128, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
250,Tanveer Missi,I Sports protest Jai kisaan jai jawaan,{'document_tone': {'tones': []}}
251,akash Gaur,Propoganda karne aa gye pappu bhakt Ð�Ð¯Ð¨Ð’Ð�Ð¯Ð¨Ð’Ð�Ð¯Ð¨Ð’Ð�Ð¯Ð¨Ð’ ab sari galti govt ki bta denge Ð�Ð¯Ð´Ð³Ð�Ð¯Ð´Ð³,{'document_tone': {'tones': []}}
252,speak truth,This is big slap to bjp & Modi,{'document_tone': {'tones': []}}
253,Tanveer Missi,Very good protest Jai kisaan,"{'document_tone': {'tones': [{'score': 0.961633, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
254,Dalbeer Kaur,Sleep Modi sleep,{'document_tone': {'tones': []}}
255,manish kumar,The thing is that it is very difficult to control everyone....when there are thousand or lakhs of protesters....government should take the decision as soon as possible.....or may be govt...wants farmers to make such mistakes so that they can blame farmers for wrong agitations,"{'document_tone': {'tones': [{'score': 0.7874, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.716804, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
256,AMAR SINGH,Hindustan zindabad,{'document_tone': {'tones': []}}
257,Mix Videos Pak 150,Pakistan zindabad,{'document_tone': {'tones': []}}
