Name,Comment,tone
Bharat,ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚ ðŸ˜‚,{'document_tone': {'tones': []}}
jack11guri,Modi sale dubb krr marja,{'document_tone': {'tones': []}}
tarachand b,Kissano ne Tractor rally  ki sharte todi hai... barricade par tractor chadhane ki kya jarurat thi...,{'document_tone': {'tones': []}}
Piyush Mehra,One down how many left? Lol,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'One down how many left?', 'tones': [{'score': 0.507515, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Lol', 'tones': [{'score': 1.0, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
siddharthkesharwani7,Khud mara h accident m koi ni mara h,{'document_tone': {'tones': []}}
Murlidhar dairy farm,police ne goli mari thi lody sach batao godi media lodi media,{'document_tone': {'tones': []}}
unknown,fake media he got shooted,{'document_tone': {'tones': []}}
ANINDITA ROY CHOWDHURY,Shame on higher authorities same on policeðŸ˜¡,"{'document_tone': {'tones': [{'score': 0.528564, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
IT guy,"First i thought he is out of breath, then i understood he is panic stricken as well","{'document_tone': {'tones': [{'score': 0.847783, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.926173, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Dalbir Singh,Modi is responsible for it,{'document_tone': {'tones': []}}
Dalbir Singh,Shame on Government,"{'document_tone': {'tones': [{'score': 0.50807, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Webi Rajpoot,Shame on BJP,"{'document_tone': {'tones': [{'score': 0.512083, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Shekath,Media manipulation started against Farmers,"{'document_tone': {'tones': [{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Mohit bharti,Some body saying gilo mari sir mai,"{'document_tone': {'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
prasoon sachan,"à¤•à¥‡à¤¨à¥�à¤¦à¥�à¤° à¤®à¥‡à¤‚ à¤•à¤¾à¤‚à¤—à¥�à¤°à¥‡à¤¸ à¤•à¥€ à¤¸à¤°à¤•à¤¾à¤° à¤¨à¤¹à¥€à¤‚ à¤¹à¥ˆ à¤œà¥‹ à¤¸à¤¿à¤•à¥�à¤–à¥‹à¤‚ à¤•à¥‹ à¤®à¤°à¤µà¤¾ à¤¦à¥‡à¤¤à¥€, à¤–à¥ˆà¤° ... à¤®à¤‚à¤¡à¥€ à¤¦à¤²à¤¾à¤²à¥‹à¤‚, à¤•à¤¾à¤¯à¤° à¤œà¥‡à¤¹à¤¾à¤¦à¤¿à¤¯à¥‹à¤‚ à¤”à¤° à¤‰à¤¨à¤•à¥‡ à¤—à¥�à¤²à¤¾à¤®à¥‹à¤‚ à¤•à¥‡ à¤¦à¤¿à¤¨ à¤ªà¥‚à¤°à¥‡ à¤¹à¥�à¤�",{'document_tone': {'tones': []}}
ÃŸillion *,Thoko saalo ko esi ðŸ˜¡ðŸ˜¡ðŸ˜¡ bht ho gya,{'document_tone': {'tones': []}}
