Name,Comment,tone
Hammad Naqvi,HINDUSTAN MURDABAAD MURDABAAD KHALISTAN ZINDABAAD PAKISTAN HAMESHA PAINDABAAD MODI MOOZI YAZEED SHAITAN MURDABAAD,{'document_tone': {'tones': []}}
Hammad Naqvi,PAKISTAN HAMESHA PAINDABAAD PAINDABAAD PAINDABAAD,{'document_tone': {'tones': []}}
Pærth,Sach bolo media,{'document_tone': {'tones': []}}
A Lovely Singh,Shame on police,{'document_tone': {'tones': []}}
A Lovely Singh,"Modi sabse bharash neta,,,,tiranga se khud paseena pochta hai,26 January pe bjp ka jhnda lehraa rahe hain,,,, laal kile ae tiranga kisi ne bhi nhi utara,,,,ye godi media zee news, aaj tak vale chutiya bna rahe logo ko...",{'document_tone': {'tones': []}}
precious chanel,President house main ghusna chaiye,{'document_tone': {'tones': []}}
A Lovely Singh,"Ye baki k zee news vale aur aaj tak vale chutiya channel to bol rahe the tiranga utaar diya,,,,,,this channel show the truth",{'document_tone': {'tones': []}}
Sarb Mann,There was no looting or destruction of private property if comparing with the size of the crowd. The protest was massively successful.,"{'document_tone': {'tones': [{'score': 0.609725, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.97573, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'There was no looting or destruction of private property if comparing with the size of the crowd.', 'tones': [{'score': 0.936902, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'The protest was massively successful.', 'tones': []}]}"
Nidhi Sharma,"I really respect the host and this channel.. where other channels are biased and giving wrong information, this Channel and specially the host is so professional and the only motto is to tell people what exactly happens...",{'document_tone': {'tones': []}}
D C,"Inn sikho ne Nishan Sahib ka apman kiya, Tirangey se jyada apman Nishan Sahib ka hua hai.",{'document_tone': {'tones': []}}
Facts With Wadood,Must see subscribe regarding Hindus are minority in India 👇👇👇👇,"{'document_tone': {'tones': [{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
bhairav giri,"टुकड़े गैंग, झामपंथी, खांग्रेस , आक थ पार्टी , एंडी टी वी ,   खविश खुमार फत्रकार , जैसे जयचंद आज दुखी हैं कि उनका ख्वाब अधुरा रह गया क्योंकी बी जे पी और मजबूत जो हो गई है",{'document_tone': {'tones': []}}
tripta kumar,Majority of tractor rally was peaceful and on given route but it is sad that none of indian channel gave any importance....they only focused on  small group which  ruined the entire peaceful protest....it is quite obvious that those who did voilence on 26th are planted,"{'document_tone': {'tones': [{'score': 0.83176, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
mohamadk qureshi,अगर गद्दारी और देश द्रोह का कोई तुम घा होता तो वो NDTV को मिलना चाहिए जो इस्लामी आतंकवदीओ से लेकर खलिस्तनिओ तक का हिमायती है,{'document_tone': {'tones': []}}
Haji A S Baloch,اتنی بڑی مملکت ھندوستان کی حکمران ایک پیشاپ خور گوبر خور بے تعلیم چائے کا ویٹر ہیں۔<br>کیا اس سے پہلے کے حکمران ایسے تھے؟<br>ایک بلوچ,{'document_tone': {'tones': []}}
Asghar Karim,Arnab knows everything !,"{'document_tone': {'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Jamil Ahmed,Punjab is the Land of Great Warriors,"{'document_tone': {'tones': [{'score': 0.772862, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Kurian Mathew,Imposters hijacked an election only the other day with Chinese Communists help. They  are replicating the strategy here too?,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Imposters hijacked an election only the other day with Chinese Communists help.', 'tones': []}, {'sentence_id': 1, 'text': 'They  are replicating the strategy here too?', 'tones': []}]}"
ROJGAR KENDRA,Sahid bhagat singh ne apna haq cheen liya tha..  or yaha bhi yahi hoga..  <br>Rss ke chele bilbila rahe or khalistani bol rahe hai..,"{'document_tone': {'tones': [{'score': 0.733853, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Shobhendra Patel,किसान भाइयों आप लोगो ने हमारा विश्वास तोड़ दिया। हम आपके इस काम की निन्दा करते है,{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
Ngangom Doren Singh,Proud of farmers 👍🌍❓,"{'document_tone': {'tones': [{'score': 0.732969, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Rafiq Ibrahim,The Kissan was shot. The rest has been a stunt. The Body must have a Autopy,"{'document_tone': {'tones': [{'score': 0.869578, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'The Kissan was shot.', 'tones': []}, {'sentence_id': 1, 'text': 'The rest has been a stunt.', 'tones': []}, {'sentence_id': 2, 'text': 'The Body must have a Autopy', 'tones': [{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Mahadev Sharma,"farmers just peacefully protested for this day, to make the india&#39;s image worst internationally... heads off to the farmers for making india down. same on farmers and netas helping behind this.......<br>edit: and yes where are the real farmers who can&#39;t stop their own people to do this all?","{'document_tone': {'tones': [{'score': 0.563593, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.56543, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'farmers just peacefully protested for this day, to make the india&#39;s image worst internationally... heads off to the farmers for making india down.', 'tones': [{'score': 0.658708, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'same on farmers and netas helping behind this.......<br>edit: and yes where are the real farmers who can&#39;t stop their own people to do this all?', 'tones': [{'score': 0.632066, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Dr Julmi,False information... misleading,"{'document_tone': {'tones': [{'score': 0.995622, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Dr Julmi,Fake,"{'document_tone': {'tones': [{'score': 0.68541, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.743831, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Hema Kumhar,Mera bhart mhan,{'document_tone': {'tones': []}}
Hema Kumhar,Ye kya ho rha he,{'document_tone': {'tones': []}}
Wajid Ali,Bohut dukhat ghatna hai police ke zakhmi hone ka Aakda hai desh ki media&#39;s ke paas But desh ki media&#39;s ke paas Kisaano ke zakhmi hone ka Aakda nahi 😷 Godi media&#39;s mein police firing laathi charge and police ka chupkar bridge ke upar se Deep Siddhu Ko Free Hand Operation On RF Flag Hosting That All Are The Planing For Destroy This ANDOLAN😷,{'document_tone': {'tones': []}}
G & R retail LLC,if you talk about lal khila sikh on that you guys forget back history,"{'document_tone': {'tones': [{'score': 0.616671, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
G & R retail LLC,more respose modi gov dehli police,{'document_tone': {'tones': []}}
G & R retail LLC,yes modi should cancial bill this is traler from kissan four mont go kissan sitting on road do gov care no so far,"{'document_tone': {'tones': [{'score': 0.541591, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Tanushree Mondal,Jai ho kisan ji,{'document_tone': {'tones': []}}
game pubg,I m punjab hindu but love modi,"{'document_tone': {'tones': [{'score': 0.741171, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Ujer Khan,Hmmlll<br> M..l,{'document_tone': {'tones': []}}
Ujer Khan,I.. M.  Ll,{'document_tone': {'tones': []}}
Kamruzzaman,RSS destroy,"{'document_tone': {'tones': [{'score': 0.577108, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
funky boy,shame on police you killed a inocent farmers by shuting on his head  <br>kissan ekta zindbad,"{'document_tone': {'tones': [{'score': 0.549935, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
