Name,Comment,tone
love gamer,Godi news,"{'document_tone': {'tones': [{'score': 0.5024, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Iris Chy,Siriln,{'document_tone': {'tones': []}}
Munir Iqbal,انشاء اللہ ایک دن پاکستان میں آسا ہوگا,{'document_tone': {'tones': []}}
irfan pitafi,Mashallah Pakistan zindabad,{'document_tone': {'tones': []}}
Hargun deep singh,Godi media is very hardworking for godi ji i salute you,"{'document_tone': {'tones': [{'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Nadeem Akhter,.,{'document_tone': {'tones': []}}
Nadeem Akhter,.,{'document_tone': {'tones': []}}
Jatin Shah,Godi media ki gand faad dege,{'document_tone': {'tones': []}}
Salman Abbasi,Godi media,{'document_tone': {'tones': []}}
Muhammad Nasir,Good news,"{'document_tone': {'tones': [{'score': 0.849899, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Ismail Hotel,Jai jawan 💞💕 Jai kisan,"{'document_tone': {'tones': [{'score': 0.806061, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Ismail Hotel,Jai jai jai kisan 👍🙏🙏🙏🙏🙏❤️,"{'document_tone': {'tones': [{'score': 0.758498, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Havoc,GODI MEDIA !!!!!!!!!!!!!,"{'document_tone': {'tones': [{'score': 0.535637, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Havoc,Godi media. RIP BJP,"{'document_tone': {'tones': [{'score': 0.645098, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Godi media.', 'tones': []}, {'sentence_id': 1, 'text': 'RIP BJP', 'tones': [{'score': 0.735828, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Tennis Ball,Chutiye farmers,"{'document_tone': {'tones': [{'score': 0.582078, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Ankit Raj,Farmers is  Great,"{'document_tone': {'tones': [{'score': 0.773474, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Engineering Facts,I think you love me 😘😍,"{'document_tone': {'tones': [{'score': 0.924915, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Engineering Facts,😁😁😁😁😁,"{'document_tone': {'tones': [{'score': 0.633525, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Gursimrain Saini,Support Farmers🙏,"{'document_tone': {'tones': [{'score': 0.65912, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Gursimrain Saini,Kissan Mazdoor Ekta Zindabad💪💪💪,"{'document_tone': {'tones': [{'score': 0.542277, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
ali uzair,China will support sikh camiunity,{'document_tone': {'tones': []}}
Amit Kumar,Rojgar do modi,{'document_tone': {'tones': []}}
Rukmanjot Singh,Kisan ekta zindabad,{'document_tone': {'tones': []}}
Divyansh Yadav,Jai jawan jai kishan,{'document_tone': {'tones': []}}
Divyansh Yadav,Kishan birodhi modi sarkar,{'document_tone': {'tones': []}}
Divyansh Yadav,Jai jawan jai kishan,{'document_tone': {'tones': []}}
Divyansh Yadav,Jai jawan jai kishan,{'document_tone': {'tones': []}}
Manpreet Singh,Jay किसान,{'document_tone': {'tones': []}}
عمران خان | Imran khan,Aj ka india bohot ajeeb ha my brother&#39;s and sister&#39;s jab se modi aya ha is ne india ki assi ki tassi kar ly agar india ki 24 hours pakistan se doshmani thi ab indian sikhs ya gareeb farmars kisan ke sath q ?<br>Pori duniya is aj ke india modi ki govrment ko dekh rahi ha jo koch ho raha ha galat ho raha ha we are with our kisan jai kisan sarkar de jai🙏💕,{'document_tone': {'tones': []}}
عمران خان | Imran khan,Indian government ko chahi ha apne indian kisan farmars ya sikhs brothers ki baten maan leya jay yar had hoti ya modi sarkar kabi kashmir ke musalmano pe zulom ab kisan farmers ya sikhs pe zulom kar raha ha ham india ho ya pakistan ho ham peace chah thy hn sab kelya hamare pakistan ko dekho hamare pas ik achi govrment and ik acha pm imran khan aya ha or india ko change hona chahi ha apne logon ko un ke hoqoon rights dena chahi hoga q ke ya sab hamare be bahi hn yaar is tarah na karo duniya delh rahi ha kab tak ham jahelana kartoot karty jay gy i hope sab koch will soon thek ho ga ham sab peace chah thy hn bas ..<br>big love and big respect from new naya pakistan 🇵🇰💖,"{'document_tone': {'tones': [{'score': 0.816779, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
punjab huts murree,I love seekh Bhai Puri Muslim qoum seekh Bhai aur behanon k sath khari Hui he ban ke rahega khalistan Pakistan Zindabad,{'document_tone': {'tones': []}}
Bharti Kisaan Union Ekta Dakounda,ਹੱਕ ਲੈਕੇ ਹੀ ਜਾਵਾਂਗੇ 💪 subscribe ਕਰੋ ਭੈਣੋ ਤੇ ਭਰਾਵੋ,"{'document_tone': {'tones': [{'score': 0.699674, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Pinki Jaspal,🙏,"{'document_tone': {'tones': [{'score': 0.69454, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
kamala's simple life,Stand with farmers...,{'document_tone': {'tones': []}}
Educare Coaching Centre,Jai jawan jai kissan,{'document_tone': {'tones': []}}
Arif Khan,Good 💞🇵🇰,"{'document_tone': {'tones': [{'score': 0.828497, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
SherDil,"We all have to become human beings with hearts in gold, hands in gold and feet in gold.","{'document_tone': {'tones': [{'score': 0.856878, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
bushra hina,KIA BAQEAAS REPORTING HAI,{'document_tone': {'tones': []}}
no 1,Alot of police beating old elderly 👴🏼 farmers.? Where is the dharma?,"{'document_tone': {'tones': [{'score': 0.972662, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Alot of police beating old elderly 👴🏼 farmers.?', 'tones': [{'score': 0.91961, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Where is the dharma?', 'tones': []}]}"
,,{'document_tone': {'tones': []}}
Gunasundari Ganesan,Farmers are important in our world because they only give us food,"{'document_tone': {'tones': [{'score': 0.7692, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
pubg gamer,Khalistan zindabad,{'document_tone': {'tones': []}}
Gulshan Begum,B<br>Whdn,{'document_tone': {'tones': []}}
David Armitage,Are they gone mad???,"{'document_tone': {'tones': [{'score': 0.798148, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
sung kim,Maybe you guys should worry about how shady these guys are when they go to other countries and cheat the system,"{'document_tone': {'tones': [{'score': 0.661767, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Rajeet Kumar,Bilkul sahi hai,{'document_tone': {'tones': []}}
Unknown Shooter,kuch desh virodhi log esko chala rahe hain .. atankwad ka naya chehra,{'document_tone': {'tones': []}}
Nikki Ko,Shame shame BJP Bej Janata party,"{'document_tone': {'tones': [{'score': 0.540397, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
,,{'document_tone': {'tones': []}}
FinancialRisk Government,"This shows advantage being taken of police&#39;s softness. Police is not getting violent. If police use even 10% of thier discretion and capacity, these all will be gone or sitting in hospitals. Use tear gas and shoot 4000-5000 for inciting violence. Send apache helicopters and shoot all tractors","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'This shows advantage being taken of police&#39;s softness.', 'tones': []}, {'sentence_id': 1, 'text': 'Police is not getting violent.', 'tones': []}, {'sentence_id': 2, 'text': 'If police use even 10% of thier discretion and capacity, these all will be gone or sitting in hospitals.', 'tones': [{'score': 0.527318, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 3, 'text': 'Use tear gas and shoot 4000-5000 for inciting violence.', 'tones': [{'score': 0.669367, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'Send apache helicopters and shoot all tractors', 'tones': [{'score': 0.92125, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Mr_ Baba_ Dashti,अफसो हो राह हाइ मोदी अकर की चीत हाय हाय किसान को हक न मिलेगा ते ये हाल हैत 😭😭😭🌱,"{'document_tone': {'tones': [{'score': 0.859069, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Ashutosh Tripathi,Hii,{'document_tone': {'tones': []}}
Shethhi Nanda,Godi media,{'document_tone': {'tones': []}}
Ravi Nautiyal,"Band karna hei toe sabse pehle kejariwal manish ji ka rahul ji , modi ji ka amit shah ,rakesh dekait ka karo delhi kyu band karo sabhi party kei neta ka ghar band karo",{'document_tone': {'tones': []}}
,,{'document_tone': {'tones': []}}
tinson thomas,I dont understand why they are fighting in road... Which law of indian constitution creats problem... Everyone fight in road.. But i dont understand which law creat problem,"{'document_tone': {'tones': [{'score': 0.571989, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.931994, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.890603, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I dont understand why they are fighting in road... Which law of indian constitution creats problem... Everyone fight in road..', 'tones': [{'score': 0.571717, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'But i dont understand which law creat problem', 'tones': [{'score': 0.533837, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Md sahrul Ducting Ac,Dalal media ban gya h,"{'document_tone': {'tones': [{'score': 0.520953, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.907747, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Nizam lootera,mysore bajji may mysore nahi rehta farmers protest may farmers nahi rehta,"{'document_tone': {'tones': [{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
