,message,created_time,sentiment
70,['rip'],2020-06-14T09:25:41+0000,0.0
71,['shock'],2020-06-14T09:26:30+0000,0.0
72,['shockingrip'],2020-06-14T09:26:51+0000,0.0
73,"['shock', 'newsrip']",2020-06-14T09:26:59+0000,0.0
74,"['aishwarya', 'panchatsaram', 'omgg', 'omggg']",2020-06-14T09:27:01+0000,0.0
75,"['shock', 'news']",2020-06-14T09:27:06+0000,0.0
76,"['must', 'hard', 'difficult', 'soul', 'rip', 'sushant']",2020-06-14T09:27:27+0000,-0.39583333333333337
77,"['rip', 'sarfaraz']",2020-06-14T09:27:52+0000,0.0
78,"['omg', 'thats', 'shock', 'news', 'fine', 'actor', 'rip', 'sushant']",2020-06-14T09:27:53+0000,0.4166666666666667
79,"['extremely', 'shock']",2020-06-14T09:28:10+0000,-0.125
80,"['year', 'curse', 'one', 'wrap', 'god', 'lose', 'suspicious', 'om', 'shanti']",2020-06-14T09:29:01+0000,0.0
81,"['main', 'reason', 'behind', 'suicide']",2020-06-14T09:29:39+0000,-0.11666666666666668
82,"['untold', 'story']",2020-06-14T09:29:47+0000,0.0
83,"['cowardly', 'act', 'shock', 'news', 'get', 'famous', 'one', 'need', 'come', 'decision', 'irony', 'people', 'start', 'think', 'success', 'go', 'yardstick', 'live', 'planet', 'think', 'sympathize', 'people', 'like', 'rahul', 'gandhi', 'difficult', 'helpless', 'would', 'find']",2020-06-14T09:30:06+0000,0.1090909090909091
84,"['raji', 'muthukrishnan', 'mam', 'easy', 'say', 'one', 'time', 'get', 'diffucuilt', 'come']",2020-06-14T09:30:26+0000,0.43333333333333335
85,"['shock', 'news', 'om', 'shanti']",2020-06-14T09:30:40+0000,0.0
86,['rip'],2020-06-14T09:31:18+0000,0.0
87,['rip'],2020-06-14T09:31:22+0000,0.0
88,"['could', 'another', 'suicide', 'due', 'severe', 'depression', 'exasperate', 'lockdown', 'rip']",2020-06-14T09:31:28+0000,-0.125
89,"['cant', 'believe']",2020-06-14T09:31:31+0000,0.0
90,"['safe', 'journey', 'hell', 'hip']",2020-06-14T09:32:13+0000,0.5
91,"['sad', 'rest', 'peace']",2020-06-14T09:32:25+0000,-0.5
92,"['chang', 'k', 'kipging', 'income']",2020-06-14T09:33:07+0000,0.0
93,"['ex', 'manager', 'suicide', 'dastak', 'suicide', 'hear', 'one']",2020-06-14T09:33:10+0000,0.0
94,"['riphard', 'believe']",2020-06-14T09:33:44+0000,0.0
95,"['cud', 'take', 'help', 'movie', 'associationif', 'personalmental', 'financial', 'problemsuicide', 'solution']",2020-06-14T09:33:59+0000,0.0
96,"['one', 'beloved', 'actor']",2020-06-14T09:34:08+0000,0.7
97,"['siddharth', 'awaghade', 'yes', 'exactly', 'income', 'film', 'money', 'live', 'luxury', 'lifestyle']",2020-06-14T09:34:34+0000,0.19318181818181818
98,"['big', 'question', 'whhhhhyyyyy']",2020-06-14T09:35:07+0000,0.0
99,"['shockingmay', 'soul', 'rest', 'peace']",2020-06-14T09:35:33+0000,0.0
100,"['omg', 'sad', 'may', 'soul', 'rest', 'peace']",2020-06-14T09:36:09+0000,-0.5
101,"['onam', 'mukherjee', 'mitra', 'yes', 'true', 'income', 'film', 'luxurious', 'lifestyle']",2020-06-14T09:36:22+0000,0.35
102,['rip'],2020-06-14T09:36:55+0000,0.0
103,"['mohammed', 'ali', 'khan', 'teri', 'puncture', 'shop', 'open', 'hai', 'ya', 'nahi']",2020-06-14T09:38:27+0000,0.0
104,['rip'],2020-06-14T09:38:31+0000,0.0
105,"['mohammed', 'ali', 'khan', 'ya', 'isme', 'bhi', 'modi', 'ka', 'haath', 'hain', 'vaise', 'hi', 'jaise', 'tere', 'paida', 'hone', 'main', 'baap', 'banne', 'main', 'aur', 'mamu', 'banne', 'main']",2020-06-14T09:39:12+0000,0.16666666666666666
106,"['watch', 'last', 'movie', 'chichore', 'son', 'try', 'commit', 'suicide', 'motivate', 'live', 'life', 'beautifully', 'unbelievable']",2020-06-14T09:39:54+0000,-0.03787878787878788
107,['sad'],2020-06-14T09:41:28+0000,-0.5
108,"['could', 'news', 'true', 'cant', 'understand']",2020-06-14T09:41:44+0000,0.35
109,"['suffer', 'depression', 'one', 'shoe', 'noone', 'judge', 'sad', 'rip']",2020-06-14T09:41:48+0000,-0.5
110,"['rip', 'hard', 'believe']",2020-06-14T09:42:44+0000,-0.2916666666666667
111,['sad'],2020-06-14T09:43:23+0000,-0.5
112,"['sad', 'unfortunate', 'real', 'face', 'glamour', 'world']",2020-06-14T09:43:29+0000,-0.26666666666666666
113,"['omashantishantishanti', 'om', 'sai', 'ram']",2020-06-14T09:43:39+0000,0.0
114,"['shock', 'rip']",2020-06-14T09:44:24+0000,0.0
115,"['know', 'sometimes', 'pressure', 'much', 'one', 'able', 'handle', 'situation', 'feel', 'sad', 'educate', 'could', 'do', 'anything', 'pray', 'soul']",2020-06-14T09:45:01+0000,0.06666666666666665
116,"['police', 'conclude', 'suicide', 'early', 'investigation', 'ex', 'secretary', 'take', 'life', 'day', 'ago', 'something', 'fishy', 'might', 'depression', 'one', 'shoe', 'understand', 'rip', 'good', 'actor', 'full', 'potential', 'career', 'nasty', 'year', 'turn']",2020-06-14T09:46:02+0000,0.02999999999999998
117,"['feel', 'murder']",2020-06-14T09:46:08+0000,0.0
118,"['strange', 'believe', 'infact', 'part', 'movie', 'chhihhore', 'base', 'similar', 'topic', 'avoid', 'suicide']",2020-06-14T09:46:41+0000,-0.2833333333333334
119,"['nidhi', 'kamath', 'yes', 'rite', 'even', 'also', 'think', 'take', 'kind', 'step', 'successful', 'something', 'relate', 'manager', 'demise']",2020-06-14T09:47:04+0000,0.675
120,['sad'],2020-06-14T09:47:18+0000,-0.5
121,"['absolutely', 'shock', 'police', 'investigate', 'death']",2020-06-14T09:47:28+0000,0.2
122,['murder'],2020-06-14T09:49:15+0000,0.0
123,['rip'],2020-06-14T09:50:21+0000,0.0
124,"['oh', 'god', 'cant', 'believe', 'lie', 'famous', 'actor', 'cant', 'kill', 'there', 'hide', 'mystery', 'behind', 'maybe', 'kill', 'cant', 'believe', 'die']",2020-06-14T09:51:30+0000,0.04999999999999999
125,"['god', 'know', 'wat', 'happeneddepression', 'watbut', 'guy', 'plz', 'safe', 'strong']",2020-06-14T09:51:32+0000,0.4666666666666667
126,"['easy', 'portray', 'm', 'dhoni', 'screen', 'easy', 'fighter', 'like', 'fighter', 'quitter', 'om', 'shanti']",2020-06-14T09:53:57+0000,0.43333333333333335
127,"['chang', 'k', 'kipging', 'investigation']",2020-06-14T09:54:19+0000,0.0
128,"['hye', 'mera', 'dhoni']",2020-06-14T09:55:16+0000,0.0
129,"['sad', 'news']",2020-06-14T09:56:11+0000,-0.5
130,"['pynshailang', 'lynser', 'money', 'isnt', 'reasonhe', 'already', 'lot', 'moneythese', 'celebrity', 'always', 'go', 'problem', 'mediaaffairspeople', 'troll', 'social', 'mediaanything', 'reason', 'suicide', 'money', 'isnt']",2020-06-14T09:58:06+0000,0.03333333333333333
131,"['please', 'young', 'man', 'die', 'pls', 'dont', 'make', 'comment']",2020-06-14T09:58:12+0000,0.1
132,"['nisshant', 'ngpl', 'please', 'dont', 'get', 'conjecture', 'insult', 'thing', 'whose', 'job', 'investigate', 'outer', 'success', 'luxury', 'comfort', 'doesnt', 'much', 'inner', 'joy', 'peace']",2020-06-14T09:58:37+0000,0.3666666666666667
133,"['mohammed', 'ali', 'khan', 'one', 'relate', 'lock', 'successful', 'could', 'survive', 'lock', 'till', 'death', 'even', 'doesnt', 'work']",2020-06-14T09:58:43+0000,0.75
134,"['ritwik', 'dasgupta', 'shameful', 'comment', 'try', 'type', 'om', 'shanti', 'without', 'insult', 'person', 'die']",2020-06-14T09:59:29+0000,0.0
135,['unbelievable'],2020-06-14T09:59:51+0000,-0.25
136,"['sad', 'newsunable', 'bear', 'demise']",2020-06-14T10:01:31+0000,-0.5
137,"['jithin', 'raj', 'agree']",2020-06-14T10:02:45+0000,0.0
138,"['cd', 'angle', 'celebrity', 'lady', 'manager', 'demise', 'day', 'backloss', 'finance', 'work', 'cdnt', 'reasonshe', 'well', 'offand', 'see', 'hard', 'time', 'earlier', 'daysand', 'go', 'emotional', 'termoil', 'probably']",2020-06-14T10:07:26+0000,-0.09722222222222222
139,"['dark', 'side', 'glamour', 'industry']",2020-06-14T10:09:14+0000,-0.15
140,['rip'],2020-06-14T10:10:56+0000,0.0
141,['rip'],2020-06-14T10:11:39+0000,0.0
142,"['even', 'week', 'ago', 'former', 'manager', 'commit', 'sucidenow', 'commit', 'sucidesomethings', 'fishy']",2020-06-14T10:11:51+0000,0.0
143,"['god', 'give', 'precious', 'human', 'life', 'comfort', 'return', 'ugly', 'manner', 'knowledge', 'life', 'purpose', 'sad', 'story', 'coward']",2020-06-14T10:13:28+0000,-0.175
144,"['sankalp', 'moneesh', 'murder']",2020-06-14T10:13:38+0000,0.0
145,"['black', 'side', 'cinema', 'depression', 'sad']",2020-06-14T10:16:05+0000,-0.3333333333333333
146,"['stupidity', 'know', 'bind']",2020-06-14T10:17:33+0000,-0.6
147,"['mumbai', 'much', 'population', 'build', 'life', 'dangerous', 'body', 'take', 'care', 'u']",2020-06-14T10:21:01+0000,-0.19999999999999998
148,"['manish', 'gupta', 'seriouslytumlog', 'zara', 'v', 'nai', 'hichakte', 'kuch', 'kehne', 'se', 'pehlewat', 'come', 'people', 'like', 'youno', 'humanity', 'leave']",2020-06-14T10:22:35+0000,0.0
149,"['priyesh', 'pandey', 'speculate', 'even', 'fascinate', 'manager', 'commit', 'suicide', 'day', 'ago', 'coincidence', 'something', 'sinister', 'involve', 'time', 'tell', 'maybe']",2020-06-14T10:23:56+0000,-0.5
150,"['ritwik', 'dasgupta', 'get', 'positivity', 'lifed', 'man', 'die', 'n', 'u', 'rtrying', 'b', 'professor']",2020-06-14T10:24:21+0000,0.0
151,"['mohammed', 'ali', 'khan', 'yep', 'thats', 'want', 'say', 'let', 'wait', 'detail', 'instead', 'baseless', 'speculation']",2020-06-14T10:25:28+0000,0.0
152,"['arpita', 'banerjee', 'bangali', 'didi', 'go', 'find', 'attention', 'somewhere', 'else']",2020-06-14T10:25:47+0000,0.0
153,"['rip', 'big', 'loss', 'u']",2020-06-14T10:26:19+0000,0.0
154,"['sridhar', 'dharmapadam', 'cant', 'call', 'cowardly', 'actnobody', 'know', 'wat', 'person', 'go', 'throughcud', 'hav', 'depressioncud', 'hav', 'anythingnot', 'justify', 'act', 'really', 'understand', 'unless', 'shoe']",2020-06-14T10:27:23+0000,0.2
155,"['arpita', 'sandilya', 'agree', 'although', 'insult', 'state', 'shock', 'kind', 'superb', 'talent', 'self', 'make', 'actor', 'take', 'kind', 'step', 'inspiration', 'many', 'believe', 'suicide', 'option', 'depression', 'talk', 'somebody', 'state', 'misery', 'go', 'conflict', 'mind', 'heshe', 'seclude', 'rather', 'come', 'talk', 'case', 'believe', 'never', 'relate', 'career', 'cause', 'successful', 'enough', 'still', 'ambitious', 'stronghead', 'nature', 'love', 'human']",2020-06-14T10:30:39+0000,0.4666666666666667
156,['omg'],2020-06-14T10:32:31+0000,0.0
157,"['autopsy', 'report', 'demand', 'independently', 'he', 'rich', 'young', 'act', 'one', 'believe', 'without', 'project', 'conspiracy', 'theory', 'suicide', 'person', 'conflict', 'interest', 'surround']",2020-06-14T10:36:10+0000,0.2375
158,"['shock', 'hard', 'believe', 'rip']",2020-06-14T10:38:30+0000,-0.2916666666666667
159,"['may', 'murder']",2020-06-14T10:40:13+0000,0.0
160,"['shock', 'speechless', 'brilliant', 'actor', 'sushantsinghrajput', 'show', 'face', 'problem', 'chichore', 'couldnt', 'imagine', 'pain', 'go', 'may', 'god', 'give', 'strength', 'family']",2020-06-14T10:42:35+0000,0.9
161,"['nisshant', 'ngpl', 'material', 'outside', 'hardly', 'impact', 'profund', 'inside', 'inside', 'need', 'work', 'do', 'separately', 'great', 'career', 'success', 'family', 'wealth', 'even', 'health', 'enough', 'good', 'survival', 'good', 'live', 'someone', 'everything', 'outside', 'still', 'empty', 'inside', 'need', 'revisit', 'stay', 'touch', 'yogic', 'root', 'teach', 'u', 'treat', 'life', 'within', 'u']",2020-06-14T10:43:13+0000,0.22446969696969693
162,"['shock', 'hard', 'believe', 'commit', 'suicide', 'successful', 'though', 'young', 'may', 'murder']",2020-06-14T10:44:00+0000,0.18611111111111112
163,"['one', 'help', 'come', 'depression', 'sad']",2020-06-14T10:51:36+0000,-0.5
164,"['commit', 'suicide', 'reason', 'behind']",2020-06-14T11:00:59+0000,-0.4
165,"['aum', 'shanti']",2020-06-14T11:17:41+0000,0.0
166,"['million', 'wish', 'life', 'wealth', 'want', 'happy', 'thats', 'lesson', 'cherish', 'happiness', 'shouldnt', 'desire', 'others', 'someone', 'el', 'shoe', 'never', 'know', 'go']",2020-06-14T11:19:08+0000,0.75
167,['rip'],2020-06-14T11:22:39+0000,0.0
168,"['mohammed', 'ali', 'khan', 'dear', 'ex', 'manager', 'present', 'manager', 'fiance', 'scope', 'link']",2020-06-14T11:27:01+0000,0.0
169,"['mohammed', 'ali', 'khan', 'bhaiits', 'time', 'pray']",2020-06-14T11:27:41+0000,0.0
170,"['possible', 'sushant', 'well', 'powerful', 'family', 'bihar', 'political', 'connection', 'money', 'constraint']",2020-06-14T11:40:02+0000,0.09999999999999999
171,"['big', 'fan', 'tragic', 'incident', 'happy', 'shahid', 'afridi', 'covid', 'positive', 'wow', 'good', 'news', 'one', 'idiot', 'go', 'hell']",2020-06-14T11:42:09+0000,0.03961038961038959
