,message,created_time,sentiment
76,"['jignasha', 'solanki', 'maansi', 'shetty', 'anushka', 'bhat', 'bhavisha', 'solanki', 'ummm']",2020-06-14T09:22:05+0000,0.0
77,"['m', 'dhoni', 'movie', 'ka', 'hero', 'tha']",2020-06-14T09:22:16+0000,0.0
78,"['shock', 'sad', 'news']",2020-06-14T09:22:18+0000,-0.5
79,['rip'],2020-06-14T09:22:22+0000,0.0
80,['rip'],2020-06-14T09:22:27+0000,0.0
81,['unbelievable'],2020-06-14T09:22:31+0000,-0.25
82,['rip'],2020-06-14T09:22:36+0000,0.0
83,['rip'],2020-06-14T09:22:42+0000,0.0
84,['shock'],2020-06-14T09:22:47+0000,0.0
85,"['sad', 'rip']",2020-06-14T09:22:53+0000,-0.5
86,"['whats', 'happen']",2020-06-14T09:22:55+0000,0.0
87,"['shock', 'unexpected', 'lose', 'energetic', 'actorrip']",2020-06-14T09:22:58+0000,0.3
88,['shock'],2020-06-14T09:22:59+0000,0.0
89,"['omg', 'ye', 'ho', 'kya', 'raha', 'hai', 'koi', 'itna', 'pareshan', 'bhi', 'ho', 'sakta', 'hai', 'ki', 'faansi', 'laga', 'le', 'rip']",2020-06-14T09:23:14+0000,0.0
90,"['u', 'break', 'many', 'heat', 'today', 'brother', 'cowardrip']",2020-06-14T09:23:15+0000,0.5
91,['rip'],2020-06-14T09:23:21+0000,0.0
92,"['cant', 'cruel', 'every', 'bad', 'thing', 'happen', 'year']",2020-06-14T09:23:26+0000,-0.8499999999999999
93,"['sad', 'learn', 'sad', 'news']",2020-06-14T09:23:30+0000,-0.5
94,"['omg', 'unbelievable']",2020-06-14T09:23:35+0000,-0.25
95,"['nurul', 'he', 'indian', 'actor']",2020-06-14T09:23:37+0000,0.0
96,"['omg', 'really']",2020-06-14T09:23:40+0000,0.2
97,"['star', 'chichore', 'movie', 'overcome', 'suicidal', 'tendency', 'sadly', 'real', 'life', 'tragic', 'end', 'rip', 'shouldnt', 'go', 'sushant', 'miss']",2020-06-14T09:23:44+0000,-0.275
98,['rip'],2020-06-14T09:23:49+0000,0.0
99,['rip'],2020-06-14T09:23:59+0000,0.0
100,"['sad', 'news', 'good', 'actor', 'brilliant', 'performer', 'commit', 'suicidewe', 'never', 'know', 'anyone', 'go', 'personal', 'life', 'rip']",2020-06-14T09:24:07+0000,0.275
101,['rip'],2020-06-14T09:24:09+0000,0.0
102,"['zero', 'sympathy', 'younge', 'problem', 'n', 'depression', 'knock', 'everyones', 'door', 'way', 'world', 'never', 'place', 'fr', 'weak', 'person']",2020-06-14T09:24:17+0000,-0.375
103,"['salaar', 'muhammad', 'uzair', 'rasool', 'mahota']",2020-06-14T09:24:33+0000,0.0
104,['rip'],2020-06-14T09:24:40+0000,0.0
105,['rip'],2020-06-14T09:24:47+0000,0.0
106,"['news', 'true']",2020-06-14T09:24:47+0000,0.35
107,"['rohan', 'chakrabarti']",2020-06-14T09:24:49+0000,0.0
108,['rip'],2020-06-14T09:24:50+0000,0.0
109,"['piyali', 'bhowmick', 'shock']",2020-06-14T09:24:52+0000,0.0
110,"['sohrab', 'muhammad', 'unbelievable']",2020-06-14T09:24:54+0000,-0.25
