Name,Comment,tone
S.F.I. JAI HIND,"DESH KE KISAANO KE SAATH YE KYA ZULAM HORAHA HAI. .<br>MUDI SARKAR BJP RSS MURDABAD <br>17,12,2020,","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'DESH KE KISAANO KE SAATH YE KYA ZULAM HORAHA HAI.', 'tones': []}, {'sentence_id': 1, 'text': '.<br>MUDI', 'tones': []}, {'sentence_id': 2, 'text': 'SARKAR BJP RSS MURDABAD <br>17,12,2020,', 'tones': []}]}"
azad kashmir  valog,Ksan bio support me,"{'document_tone': {'tones': [{'score': 0.549195, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Anjum Zaman,now only halistan halistan halistan halistan halistan halistan halistan halistan halistan only halistan halistan halistan halistan,"{'document_tone': {'tones': [{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Vishnu Reddy,PM need to donate money to farmers from PM care fund due to the loss and punishment the farmers went through,"{'document_tone': {'tones': [{'score': 0.840834, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Atiq Ahmad,Really appreciated NDTV,"{'document_tone': {'tones': [{'score': 0.637186, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.991736, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Atiq Ahmad,Kitna ganda country ka system hai yahan to life janwaro se hai. Ghareeb farmers k sath kyun zulm ker rhy hein ye gandi Govt. Shameless country sari dunia thoo thoo ker rhi ha. Pehly kashmir fir punjab and others farmers,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Kitna ganda country ka system hai yahan to life janwaro se hai.', 'tones': []}, {'sentence_id': 1, 'text': 'Ghareeb farmers k sath kyun zulm ker rhy hein ye gandi Govt.', 'tones': [{'score': 0.831757, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 2, 'text': 'Shameless country sari dunia thoo thoo ker rhi ha.', 'tones': [{'score': 0.512015, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'Pehly kashmir fir punjab and others farmers', 'tones': [{'score': 0.503146, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Nardosh kumar,à¤†à¤œ à¤¹à¤® à¤­à¥€ à¤¤à¥‹ à¤¦à¥‡à¤–à¥‡à¤‚ à¤­à¤¾à¤°à¤¤à¥€à¤¯ à¤²à¥‹à¤— à¤•à¤¿à¤¤à¤¨à¥‡ à¤¨à¥‰à¤²à¥‡à¤œ à¤°à¤–à¤¤à¥‡ à¤¹à¥ˆà¤‚ à¤­à¤¾à¤°à¤¤ à¤•à¥‡ à¤à¤¸à¥‡ à¤ªà¥à¤°à¤§à¤¾à¤¨à¤®à¤‚à¤¤à¥à¤°à¥€ à¤•à¤¾ à¤¨à¤¾à¤® à¤¬à¤¤à¤¾à¤à¤‚ à¤œà¤¿à¤¸à¥‡ à¤¸à¤¬à¤¸à¥‡ à¤œà¥à¤¯à¤¾à¤¦à¤¾ à¤—à¤¾à¤²à¥€ à¤–à¤¾à¤¨à¥‡ à¤•à¥‹ à¤®à¤¿à¤²à¥€ à¤¹à¥‹????ðŸ˜Ž,{'document_tone': {'tones': []}}
Hyder Marakkar,Good the government should deal like this only. Government should never accept their conditions... whatever the people of this country is with Modiji and government...,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Good the government should deal like this only.', 'tones': [{'score': 0.583178, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'Government should never accept their conditions... whatever the people of this country is with Modiji and government...', 'tones': []}]}"
vijayawada C,All BS .. could not find even a single provision which is possibly good or appreciative for farmers..,"{'document_tone': {'tones': [{'score': 0.779757, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.954099, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Samsher Khan,Ravish kumar g aap bahut Accha jankari dete ho,{'document_tone': {'tones': []}}
Info Time,It&#39;s happening in Endia with non hindus,"{'document_tone': {'tones': [{'score': 0.564496, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Manpreet Singh,only channel and person which has courage to show truth,"{'document_tone': {'tones': [{'score': 0.587075, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Palwinder Sidhu,Thanks ndtv,"{'document_tone': {'tones': [{'score': 0.582784, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
SAMIR SHAIKH,Happy birthday..Ravish Sir...,"{'document_tone': {'tones': [{'score': 0.940713, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Guddu Singh,Godi media benakab,{'document_tone': {'tones': []}}
Guddu Singh,Sachchiyay Dikhane wala Duniya ka number Van channel NDTV,{'document_tone': {'tones': []}}
Guddu Singh,NDTV ka dhanyvad,{'document_tone': {'tones': []}}
Zeeshan Malik,ØªØ­Ø±ÛŒÚ© <br>Ø®Ø§Ù„ØµØªØ§Ù† Ø´Ø±ÙˆØ¹,{'document_tone': {'tones': []}}
SANCO ENTERPRISES,Shame shame. This is against our farmers.,"{'document_tone': {'tones': [{'score': 0.759931, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shame shame.', 'tones': [{'score': 0.612856, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'This is against our farmers.', 'tones': []}]}"
Dr.Jasminder Singh,"Once in your life you need a doctor, a lawyer, a policeman, and a preacher. But every day, three times a day, you need a farmer","{'document_tone': {'tones': [{'score': 0.539956, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.901164, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Once in your life you need a doctor, a lawyer, a policeman, and a preacher.', 'tones': []}, {'sentence_id': 1, 'text': 'But every day, three times a day, you need a farmer', 'tones': [{'score': 0.664042, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
Gursin Atwal,The only real and responsible channel in india <br>Always show true things on the channel <br>Great job sir,"{'document_tone': {'tones': [{'score': 0.562684, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
SHEIKH GAWHAR,"Farmers are awesome. Farming ranks high on my list of an admired profession as farmers provide most of the food we eat! And I like to eat!<br>When I was younger I was also enjoyed visiting the farm of my family . I loved the animals, the farm land, and even the smells from farm!<br>This is the perfect time to thank a farmer.<br>If you personally know a farmer I suggest thanking them with good gift. If you visit a farmerâ€™s market, take a minute to say â€œthank youâ€ to the farmer when making a purchase.","{'document_tone': {'tones': [{'score': 0.964348, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.510004, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Farmers are awesome.', 'tones': [{'score': 0.880559, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Farming ranks high on my list of an admired profession as farmers provide most of the food we eat!', 'tones': []}, {'sentence_id': 2, 'text': 'And I like to eat!<br>When I was younger I was also enjoyed visiting the farm of my family .', 'tones': [{'score': 0.867395, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 3, 'text': 'I loved the animals, the farm land, and even the smells from farm!<br>This is the perfect time to thank a farmer.<br>If', 'tones': [{'score': 0.939866, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 4, 'text': 'you personally know a farmer I suggest thanking them with good gift.', 'tones': [{'score': 0.884105, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 5, 'text': 'If you visit a farmerâ€™s market, take a minute to say â€œthank youâ€\x9d to the farmer when making a purchase.', 'tones': [{'score': 0.612727, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Qazi Suhail,Dihtkaar ho aysi sarkaar per jo janta per zulm kara jay kisan,{'document_tone': {'tones': []}}
