Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
,,,,,Vinod Bhatt Tarkeshwar,Lal kile per jo jhanda faraya hai vah bahut hi sharmnak ghatna hai.,2021-01-27T16:22:47Z,2021-01-27T16:22:47Z
,,,,,UK016 WALE,@Our Rights yha volleyball match ni chlra ki uski glti iski glti bhai ke ghar wale khud bol diye palat kr hui or tractor uska tha bi ni kisi or ka chla rha tha mere bi bhout punjabi dost h veere bhout saal kaate h punjab m ... Hm ye ni kehre ki support ni krte sb krte h hr chz m krte h but jb clip bnti h uspe jda trust kro tmare ankho ke samne chlra h sb or tractor ki chat itni majbut ni hoti ki palat jye or nukan na aye ... Sharm hmko ari h jinse hr chz m vdo proof mangte h aj khud ke pass kuch ni,2021-01-27T17:42:25Z,2021-01-27T17:42:25Z
,,,,,Our Rights,@ UK016 WALE तो जब पता नहीं पूरी ख़बर का तो क्यूँ बोल रहा है....,2021-01-27T17:43:40Z,2021-01-27T17:43:40Z
,,,,,UK016 WALE,@Our Rights apne leader ko bole jitni bheed jma hoti h na hisaab bi rkhe ! Baad m ye na bole ye uska tha ya iska .. kaam ke naam pr hr kisi ko bula lete h bhad m wo ulti harkate krte h ...,2021-01-27T17:44:32Z,2021-01-27T17:44:32Z
,,,,,UK016 WALE,@Our Rights are chaccha ap news chordo Google pe search krlo ! Kese hui report bi aa chuki h,2021-01-27T17:45:32Z,2021-01-27T17:45:32Z
,,,,,Vinod Bhatt Tarkeshwar,Goli Koi nahin Chali. Tractor palta aur uske niche dabke mar gaya vah.,2021-01-27T18:16:20Z,2021-01-27T18:16:20Z
,,,,,Our Rights,@ UK016 WALE मुझे कह रहा है तू अपने चोर झासाराम को क्यूँ नहीं बोलता.. क़ानून वापिस ले... तो यह लोग घर जाए... यह ज्ञान बारा lecture वह भी दो थोड़ा....,2021-01-27T20:04:45Z,2021-01-27T20:04:45Z
,,,,,Our Rights,@ UK016 WALE और police सो रही थी republic डे हो और सारे policeवाले भाग जाए लाल क़िले से .... वह भई यह ऑर्डर किसे पास किया ज़रा यह भी बता दो...,2021-01-27T20:06:34Z,2021-01-27T20:06:34Z
,,,,,Vinod Bhatt Tarkeshwar,इस रैली से किसानों की इतने दिनों की मेहनत जीरो हो गई । लाल किले पर अपने धर्म का झंडा लहरा कर । रैली को कलंकित कर दिया ।,2021-01-28T01:29:29Z,2021-01-28T01:29:29Z
,,,,,Vinod Bhatt Tarkeshwar,इस रैली में पुलिस वालों की नरमी का फायदा उठाया गया है । किसान नेताओं  ने झूठ बोला की रैली शांति पूर्ण होगी ।,2021-01-28T01:34:49Z,2021-01-28T01:34:49Z
,,,,,Vinod Bhatt Tarkeshwar,@Our Rights aandolankariyo ne  police ki narmai ka pura fayda uthaya aur jam kar utpath machaya.,2021-01-29T02:02:40Z,2021-01-29T02:02:40Z
Murlidhar dairy farm,police ne goli mari thi lody sach batao godi media lodi media,2021-01-26T15:28:41Z,1,0,,,,
unknown,fake media he got shooted,2021-01-26T14:56:24Z,3,0,,,,
ANINDITA ROY CHOWDHURY,Shame on higher authorities same on police😡,2021-01-26T14:51:33Z,10,1,,,,
,,,,,Ayush Bhat,Galti uski thi maarna ah rha tha,2021-01-27T18:28:14Z,2021-01-27T18:28:14Z
IT guy,"First i thought he is out of breath, then i understood he is panic stricken as well",2021-01-26T14:34:14Z,4,0,,,,
Dalbir Singh,Modi is responsible for it,2021-01-26T13:45:41Z,0,0,,,,
Dalbir Singh,Shame on Government,2021-01-26T13:44:39Z,1,3,,,,
,,,,,Jeevesh Singh,Shame on Sikh Militants,2021-01-26T16:29:42Z,2021-01-26T16:29:42Z
,,,,,Gurjot,@Jeevesh Singh shame on you,2021-01-26T17:03:53Z,2021-01-26T17:03:53Z
,,,,,Our Rights,@ Mr Wizard shame on RSS militants,2021-01-29T02:45:01Z,2021-01-29T02:45:01Z
Webi Rajpoot,Shame on BJP,2021-01-26T13:17:54Z,7,0,,,,
Shekath,Media manipulation started against Farmers,2021-01-26T13:11:11Z,21,5,,,,
,,,,,Ajit Ray,Pakistani gang now active.,2021-01-27T12:23:38Z,2021-01-27T12:23:38Z
,,,,,Shekath,"@Ajit Ray I don&#39;t understand y always remember pak even in sleep, some people love pak soo much than our country. So some Ghodi gang always keep on remembering the unwanted country..",2021-01-27T15:46:42Z,2021-01-27T15:46:42Z
,,,,,Ajit Ray,@Shekath You are not loving our National Flag you are loving those who are disrespecting our  Flag. Your mindset is Pakistani as well as gaddar of Hindustan.,2021-01-27T16:11:29Z,2021-01-27T16:11:29Z
,,,,,Shekath,@Ajit Ray No need of ur certificate on patriotism. Our family serves country in Army my dear..,2021-01-27T17:01:43Z,2021-01-27T17:01:43Z
,,,,,adnan lqt,@Ajit Ray Modi had dirhhea the other day that must be Pakistan&#39;s fault as well. <br>Please don&#39;t bring our country into your internal matters. Sort your shit by yourself. <br>And stop abuse against the Kashmiris you inhumane people. Now the world is in a lockdown as a punishment from God because they decided to keep quiet on the kashmir lockdown way before Corona.,2021-01-30T16:59:51Z,2021-01-30T16:59:51Z
Mohit bharti,Some body saying gilo mari sir mai,2021-01-26T13:09:25Z,1,0,,,,
prasoon sachan,"केन्द्र में कांग्रेस की सरकार नहीं है जो सिक्खों को मरवा देती, खैर ... मंडी दलालों, कायर जेहादियों और उनके गुलामों के दिन पूरे हुए",2021-01-26T13:01:06Z,6,3,,,,
,,,,,Our Rights,दिन तो चौकीदार और तड़ीपार से जल्दी ही खटक होगे... साथ ही होगी ख़त्म घटिया मनुस्मृति और RSS चड्डी गैंग,2021-01-27T03:23:05Z,2021-01-27T03:23:05Z
,,,,,prasoon sachan,"@Our Rights correct, और इसके साथ साथ कायर जेहादी और उनके गुलाम भी खत्म होंगे तब 100% परफ़ेक्ट हो जाएगा, खत्म होना ही पड़ेगा यदि बाकी लोगों को जिन्दा रहना है तो",2021-01-27T13:57:35Z,2021-01-27T14:25:41Z
,,,,,Our Rights,@ prasoon sachan हाँ ज़रूर ख़त्म होगे खलिस्तनी....जहाँदी और साथ में ख़त्म होगे मनुवादी यूरेशिया के गुस्पेठिए ज़िनलोगो ने सबसे ज़दा गंद मचायाहै देश में... अब यह कॉमेंट ग़ायब मत करना... क्यूँकि यूरेशिया का नाम सुनते ही गांड चूल मचती है अन्ध्भक्त मनवादीयो के..........,2021-01-27T14:27:32Z,2021-01-27T14:27:32Z
ßillion *,Thoko saalo ko esi 😡😡😡 bht ho gya,2021-01-26T12:40:35Z,0,0,,,,
prasoon sachan,"मंडी दलालों, कायर जेहादियों तुम्हारी असलियत भारत ने देख ली, अब तुम्हारे दिन पूरे हुए",2021-01-26T12:35:13Z,0,0,,,,
Keng He,Occupy capitol,2021-01-26T12:11:39Z,1,1,,,,
,,,,,Smatchet,🤓,2021-01-28T12:56:09Z,2021-01-28T12:56:09Z
dhanrajrcc phadtare,1984 ke yad ya rahi he,2021-01-26T11:35:58Z,7,1,,,,
,,,,,Samik Dutta,Faltu communalise na kar hutiye!,2021-03-03T23:52:06Z,2021-03-03T23:52:06Z
N RAMESH,So called persons of protest. Don&#39;t take law into your hands for forcing your wishes.,2021-01-26T11:32:01Z,0,7,,,,
,,,,,sif,Bakwaas band kar baandar jiya na hoye taan khaana milna band hou ta pata chaluga tennu taan tere gharwaaliya nu ki importance aa farmers di,2021-01-26T12:09:47Z,2021-01-26T12:09:47Z
,,,,,Nakul Passi,"@sif acha khana milna bnd hojuga te assi mar jange te farmers da ghar kidda chluga, farmers koi free ch food nhi de rhe oh v ohda business hi aa",2021-01-26T12:32:06Z,2021-01-26T12:32:06Z
,,,,,sif,@Nakul Passi ghar ta hunne kidda chalu farmers da they&#39;re barely getting paid for their work,2021-01-26T12:43:03Z,2021-01-26T12:43:03Z
,,,,,Nakul Passi,"@sif how much tax a farmer gives to govt of his income, there is no tax on land, if they are not getting paid enough for their work, how their children are going to Canada day by day and how they are purchasing luxury cars or living a luxury life, come on bro, show some reality, by vandalising jio towers or closing reliance malls, dont uh think that people will get unemployed, at last im openly saying I don&#39;t support these types of farmers who don&#39;t know how to protest peacefully",2021-01-26T12:50:42Z,2021-01-26T12:50:42Z
,,,,,Fire ice gaming,@Nakul Passi you mean to say that 60 days protest is not enough to get justice,2021-01-26T14:16:11Z,2021-01-26T14:16:11Z
,,,,,Nakul Passi,"@Fire ice gaming what justice bro, farmers want to repeal those laws but govt is ready to amend them, this is the reason why the protest is going on",2021-01-26T14:28:42Z,2021-01-26T14:28:42Z
,,,,,ANINDITA ROY CHOWDHURY,@sif well.said,2021-01-26T14:52:21Z,2021-01-26T14:52:21Z
Rama Krishna,Shanthi poorvak.....🙏.... Sawadhan poorvak....👍 Jai Kisan....❤️ Jai Jawan....💕 Jai Bharat Matha ki jai....🙏❤️💕 Jai Hind 🙂lo,2021-01-26T11:26:04Z,0,0,,,,
Davids baidya,Its soon time to drive over them direct,2021-01-26T11:14:56Z,0,0,,,,
ANKUR SINGLA,"Bc jab delhi govt ne 12 baje ki permission di thi to 9 baje barriers todke kyun nikle?? Bc tamasha bana diya desh ki law and order ka . Talwar, rod guns leke kon protest karta hai?? Bc peaceful protest ke nam pe logo pe tractor chadha rahe ye gaddar",2021-01-26T11:00:41Z,7,9,,,,
,,,,,Banana,Exactly,2021-01-26T11:10:24Z,2021-01-26T11:10:24Z
,,,,,Jasdeep Singh,"ਭੈਣ ਦਿਆ ਲੌੜਿਆ permission <a href=""https://www.youtube.com/watch?v=ezel1qYXPXU&amp;t=8m30s"">8:30</a> ki thi lodu ko khud nhi pta aur hame violent bata raha hai",2021-01-26T12:05:09Z,2021-01-26T12:05:09Z
,,,,,A to Z,"@Jasdeep Singh 😂😂 sardar g rehne do yeh delhi govt wale hain inhe gaaliya sune ki adat hai aap na nikalo aur inne koi faraq ni padhega wait karma is bitch aaj farming sector main yeh saab chl raha hai yeh bhi toh koi kam karte honge inke aache dinn bhi ayenge phir hum aur jaab yeh protest karne ayenge inhe time batayenge kitna hua idiot log kaab samjhenge we are indian not delhi aur Punjab yeh goro wale kam kar rahi hai govt divide and rule kahi hindu, muslim kahi sikh aatankwadi bengal main dange students dange borader main army maar rahi hai inhe GDP giri hui hai aur inhe abhi bhi govt ki galti nahi laag rahi but jaab galti samjh ayegi inhe they will regret mark my word😇",2021-01-26T14:04:48Z,2021-01-26T14:04:48Z
,,,,,A to Z,@srg ef mene kaab iske baare main baat ki Mr intelligent mujhe patta hai iski galti hai but main just yeh keh raha hu govt bhi sahi nahi hai. eg agar tujhe bhukh nahi laagi hui toh tu khana nahi khayega but tujhe koi kahe nahi tu kha tujhe patta nahi hai par tujhe bukh laagi hui hai vese hi unhe law chahiye hi nahi abb chahiye hi nahi toh jabardasti de rahe hain ki tumhe patta nahi hai but law bhaut aacha agar aacha hai unhe chahiye hi nahi chahe aacha ho ya bura main uss bande ki baat ni kar raha in short,2021-01-26T18:45:59Z,2021-01-26T18:45:59Z
,,,,,A to Z,@srg ef ok ok 👌👌,2021-01-26T18:56:22Z,2021-01-26T18:56:22Z
,,,,,Vinod Bhatt Tarkeshwar,इन्होंने तिरंगे की बेजती करके देश को शर्मसार किया है । और पाकिस्तानी और खालिस्तानी यों को खुश किया है,2021-01-28T08:14:49Z,2021-01-28T08:14:49Z
,,,,,A to Z,"@Vinod Bhatt Tarkeshwar aacha g thanku puccha ni tha apse gand hi likhna tha toh english main likh dekta itni hindi main likh mehnat ki aapke so called Pakistani aur khalistani ko toh samjh, bhi ni ayegi aur jine samjh ayegi unhe koi interest nahi hai😒🖕",2021-01-28T08:21:18Z,2021-01-28T08:21:18Z
,,,,,Vinod Bhatt Tarkeshwar,Main kya gand likha hai vah Delhi ke log apne aap bataenge.,2021-01-28T15:59:10Z,2021-01-28T15:59:10Z
,,,,,ANKUR SINGLA,"@A to Z ye desh ab jag chuka hai , jaise ek sher 100 suwaro pe bhari hai waise 1 patriot tum jaise 100 budhijivi( slave mentality) pe bhari padega jai hind jai modi",2021-02-11T02:26:00Z,2021-02-11T02:26:00Z
Pruthvi,Shame on Punjabi Farmers <br>Pure Desh ka naam kharab kar diya😡,2021-01-26T10:58:25Z,3,0,,,,
g kaur,No one watching you darling so be cool,2021-01-26T10:48:32Z,0,1,,,,
,,,,,prabhjot Singh,Ooh i just saw your comment,2021-01-26T22:39:56Z,2021-01-26T22:39:56Z
g kaur,Bandar 🐒 channel,2021-01-26T10:48:06Z,6,0,,,,
Surrender Modi,Free Khalistan!,2021-01-26T10:10:50Z,1,3,,,,
,,,,,jatt boys,Are you sure about that,2021-01-26T12:00:11Z,2021-01-26T12:00:11Z
,,,,,Surrender Modi,@jatt boys Yes ! LONG live Khalistani fighters!,2021-01-26T12:27:45Z,2021-01-26T12:27:45Z
,,,,,Ravnoor Brar,Nobody wants Khalistan,2021-02-02T00:10:53Z,2021-02-02T00:10:53Z
Dampy mander,Support farmer 🙏,2021-01-26T09:59:24Z,3,0,,,,
Muhammed Ali p,Modi sarkar murdabad 😡 kisaan ekta Full support ❤️💪,2021-01-26T09:55:22Z,28,1,,,,
,,,,,Abhishek Saha,Lol kisan farming on road 😂😂,2021-01-26T11:01:51Z,2021-01-26T11:01:51Z
Nishant Patel28,This is supposed to be peaceful tractor rally isn&#39;t?  Not wild rally 🤬🤬,2021-01-26T09:45:18Z,1,0,,,,
Dhruv Tyagi,Goli kaise chala sakte hain...atankwadi nahi hain bhai ...hamare apne log hain. Very very shameful act by Police.,2021-01-26T09:36:33Z,21,12,,,,
,,,,,ANKUR SINGLA,"Terepe koi tractor chadaega to tu kya karega, jab protest ki coditions thi follow kyun ni ki??",2021-01-26T10:58:26Z,2021-01-26T10:58:26Z
,,,,,ALL ABOUT FACTS,@ANKUR SINGLA aage jaane ki permission kyu nhi de rhe the be hum kya fir six ki tarah dekhte rhe pehle police ne situation kraab ki hai,2021-01-26T11:11:00Z,2021-01-26T11:11:00Z
,,,,,Shriom Mandloi,@ANKUR SINGLA bhai agar chalani bhi thi toh  body pr kahi bhi chala skta tha headshot marne ki kya jarurat thi 🤯😡,2021-01-26T12:57:34Z,2021-01-26T12:57:34Z
,,,,,Mr. Pratihari,Abe wo accident se mara he CCTV camera dekh pahle,2021-01-27T02:41:40Z,2021-01-27T02:41:40Z
,,,,,Our Rights,@ ANKUR SINGLA अबे पहले तेरी police ने कहा के किसान प्रोटेस्ट कर सकते है.. तो barricade कूट नहीं खोले... और जब किसान अंदर आए तो गोली मारो.... कोई बात नहीं आज अगर यह किसानी के साथ हुआ है तो तुम लोगों के साथ भई जल्दी होगा... तब देना यह lecture....,2021-01-27T03:29:38Z,2021-01-27T03:29:38Z
,,,,,Harcharan Singh Rai,@Mr. Pratihari  goli chli a othe.... lok kmle ni jina ne dekhya te awaz suni a goli d .. aje tk bhut loka de putt gayab ne jhde police ne chak k edr odr krte... k sara kisana ne khrb kita??? Jida o putt c ohdi maa nu puch k vekho k hall a oada,2021-01-27T18:25:43Z,2021-01-27T18:25:43Z
,,,,,STARK TB,Violence krega tho marega hi na.. every action there is an equal and opposite reaction..👍,2021-01-28T09:10:03Z,2021-01-28T09:10:03Z
,,,,,Harcharan Singh Rai,@STARK TB yeh violence vala mudda fir police or gov pr bhi to lagu hota hai.every action there is an equal and opp reaction... ..fir kyu sbh ko bura lhta hai?? ?? 7 8 mhene se shant he to the kisan ... kabhi khalistani bolte ho to kabhi atankwadi.... tab bhi to yeh chup he the na...ab agar kisi mein kisi ke uksane ki vjah se koi glti ho bhi gyi to kyu sbh ko bura lg rha hai??? Te ik gl hor hn punjabi ch sunlo eh jhda bills ne pass hoye ehna te bhi same ahi gl lagu hundi a...  every action there is an equal and opp reaction...,2021-01-28T16:11:43Z,2021-01-28T16:11:43Z
,,,,,STARK TB,@Harcharan Singh Rai main samajta hoon halat ko pr bass umid krta hoon sab kuch jald tik hojayega...jai jawan jai kisan❤️,2021-01-28T16:54:16Z,2021-01-28T16:54:16Z
