Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
Ramnat Kumar,Jab police ne kuch nahi kiya tab ye bol raha hai intelligence failure agar police ne kuch kiya hota tab bhi yeh kuch na kuch bhaukta hi isi agent gidi media ka commander,2021-08-07T17:35:00Z,0,0,,,,
Gursewak Khangura,Kisan Mazdoor Ekta jindabad 🚜🌾🌾🌾🌾,2021-07-22T02:35:23Z,0,0,,,,
AWARE hindustan,Kishan nhi aatenki,2021-05-14T06:14:21Z,0,0,,,,
Ajay Soni,Bahut hi gira hua aadmi hai,2021-04-24T02:45:49Z,0,0,,,,
Aanchal,This makes me think if it is Farmers protest or Anti India protest.. Farmers beating our policemen? Shame!,2021-04-19T21:00:26Z,0,0,,,,
SARVJOT SINGH,Sold by modi<br>Destroy by Punjab <br>Story of red fort😂,2021-03-20T11:08:46Z,0,0,,,,
Jitendra Yadav,Ravish tumhe to achha laga hoga,2021-02-17T15:59:44Z,0,0,,,,
Jagtar Jatt,Police loko ko lala kila Ki tarf bhaj rahi thi,2021-02-15T11:19:24Z,0,0,,,,
Jagtar Jatt,Kisan majdoor ekta jindabaad modi Kisan birody.,2021-02-15T11:18:27Z,0,0,,,,
Lakshay Atma,Mene ravish pandey ko har baari ek hi technique use karte hue dekha hai.b<br>Agar koi left jaye to wo right kyu nhi gaya aur agar wahi vyakti right jaye to wo left kyu nhi gaya. <br>Dhanya to wo hai jo bade interest se iski gandagi sunn kar ise gyani samajhe hai,2021-02-15T02:23:48Z,0,0,,,,
jay krishna,Yaar or kitna dogla bano he sharm aata hai ki tum bihari ho <br>Itna doglapan <br>Asal mein tum sabse bade godi anchor ho<br>Plz modi se nafrat hai tumko ye manta hun but apne national flag se nafrat hai ye nhi malum tha<br>Sharm kro sharm karo ravish<br>Ramen magsese prize mil gya na or kya chahiye,2021-02-11T19:39:20Z,0,0,,,,
sunder negi,NDTV no. 1,2021-02-11T16:48:47Z,0,0,,,,
Ashok Singh,"Sharm aani chahiye Ravish aur inke jaise logon ko, subah-sham jb bhi mauka milta Modi aur Govt ko galiya dene ho aur fir kehte ho Modi Hitler aur Fascist hai.<br>Ravish Kumar agar Modi ji ki jagah yaha Hitler to chodo yaha Papu bhi hota na to tum salakho k pichhe hota.<br>Ravish Kumar shame on you.",2021-02-10T19:59:59Z,0,0,,,,
Indian voice,"Jnu मे देश विरोधी नारे किसने लगाऐ ? छात्र नही,  छात्र ऐसा क्यो करेंगे <br> 26 जनवरी तिरंगे का अपमान और हिंसा ?<br>किसान नहीं,  किसान ऐसा क्यो करेंगे <br>कांग्रेस भी ऐसा क्यो करेंगी , बीजेपी खुद ये सब करवाती  है और आरोप विपक्ष पर या जनता पर लगाती हैं <br>और पत्रकार जनता को गलत ही दिखाता है <br>क्योंकि ये बिक गए हैं",2021-02-09T10:33:49Z,1,0,,,,
Rishabh Gupta,Anti-Modi banne ke chakkar me Ravish Kumar Anti-Bharat Gang ko support kar rhe h. Log aapko Neutral Journalist smjhte the but aapka agenda hmesha Govt. Ki buraai krna hai...Shame On You,2021-02-08T16:47:31Z,0,0,,,,
Ankit Chauhan,पुलिस वाले भी इंसान है।<br>सक्तिमान नही भर्ती किये गए है।<br>कभी एक द8न फ़र्ज़ी वर्दी पहने कर देंगे नियंत्रण में जाना गां**से पसीना आ जायेगा रविश चाचा।<br>डेढ़ इंच की जुबान है।कुछ भी बक दो।<br><br>26 जनवरी को लाल किले के अलावा पूरी दिल्ली में पुलिस रहती है।<br>अभी जब दिल्ली पुलिस इनके चुटताड़ लाल करंगे तो चाचा तुम बवासीर के मरीज बन जाओगे।,2021-02-08T14:44:00Z,0,0,,,,
Nandan Choudhary,"Tum to rehne hi do, tumse na ho payega.",2021-02-07T10:42:05Z,0,0,,,,
Divyam Joshi,Because this type of cruelty was done for the first time,2021-02-06T18:03:44Z,0,0,,,,
Jayant Srivastava,Sahi hai Ravish Ji ...... LAL QUILA ko nuksan hua usme ...sari galti Police ki .....???? clapping for you ..... and our super innocent Kisan....,2021-02-04T14:56:44Z,0,0,,,,
Sunil Thakur,"saab ek taraf aap kahte ho ki kisano ko police ne kyo nhi roka , or dusri taraf kahte ho ki gajipur border par barikating kyo h why dubbal stand🤔🤔🤔",2021-02-04T10:25:56Z,0,0,,,,
rock boy,Chamcha dala,2021-02-04T06:44:17Z,0,0,,,,
abhay singh,Tumko sirf sarkar. Ki Kami najar ati hai,2021-02-03T14:56:57Z,0,0,,,,
Positive Confusion,RNDTV walon ne hi to chadhaya tha - Jhooth bole failane aur dalali khaane me to maahir hai<br><br>DALLAS,2021-02-02T18:04:01Z,0,0,,,,
Adarsh Mishra,Chutiya,2021-02-01T16:00:36Z,0,0,,,,
Satish Sharma,"Bullshit! I used to believe ravish was neutral, but boy was I wrong....smh",2021-02-01T14:41:46Z,0,0,,,,
Gautam Bharti,Police kuch kare to kharab naa kare to v kharab ... Wah re ndtv...... Kuch nahi hona tera.....,2021-01-31T16:12:16Z,0,0,,,,
SUMIT SARKAR,Yeh kamsekam kisaan nhi ho sakte. Dogla giri chodo chamchagiri chodo. Tum darbari patrakarita chodo.,2021-01-31T15:28:08Z,0,0,,,,
SUMIT SARKAR,Kisiko pata nhi tha ki kisaan aise danga karenge. Ravish tum ek baar bhi yeh nhi kaha ki yeh khalistani atanki hamla h. Tum sirf chamchagiri karo,2021-01-31T15:26:29Z,0,0,,,,
just_joking,👍👍,2021-01-31T09:05:42Z,0,0,,,,
Kailash Kumar,Tujhe to sab Pata tha.... Kab tak logo ko bewakoof banayega gulaam...,2021-01-31T06:07:26Z,1,0,,,,
Arvind Maurya,Rविष <br>हरामखोर,2021-01-31T04:28:30Z,0,0,,,,
Shahin Rana,Jay Kisan,2021-01-31T02:21:28Z,0,0,,,,
deep mail,If these laws are going to make so damn unimagibaly great profit to farmers that despite of 6 months and a crore ppl pleading to repeal it and a 100 ppl losing their lives fighting against the media defamation.. govt still decides not to repeal it .  Why not the same govt continue to buy in FCI with MSP and sell to private buyers with the same extra ordinary profit it is claiming about ? Why force private farmers to get into it and not go for a win win that will keep both parties happy .. unless the agenda is anonymous ????????,2021-01-31T00:33:10Z,0,0,,,,
naren pandey,Mr ravish it&#39;s good to light up other faces of the fact which most of the media doesn&#39;t share and telecast but <br>It&#39;s a shame that in your entire primetime u haven&#39;t commented and guided the viewers <br>Regarding the anti national offence done on 26 jan  taking out our national flag and putting their religious flag <br>Shame on u as u are still not sympathizing for the police who got hurt for doing their duty <br>Shame on u as u are translating mobs <br>With sword as kissans,2021-01-30T19:15:17Z,0,0,,,,
rmk,"Dear youtube, just look at the hypocrisy of this ravish guy in this video. He thinks intelligence operation is so easy that they should have prior knowledge of everything. In that case, how did all the terror attacks happen all over the world? And then, he was the one literally threatening that if police uses any force against farmers, consequences will be very bad and here he&#39;s saying that police should have used force to prevent farmers from going to the red fort.",2021-01-30T17:37:59Z,0,0,,,,
Nirmalendu Datta,Galat news kio dete ho,2021-01-30T16:22:07Z,0,0,,,,
manoj tiwari,Pappu media,2021-01-30T11:55:02Z,0,0,,,,
Shravan Kumar,Pakistani lalkila par aise aye to police kya karti hai tumhe pata bhi nahi hoga,2021-01-30T04:43:56Z,0,0,,,,
SUSHIL SINGH,किसानों के आंदोलन के नाम पर विपक्षी पार्टियां और आतंकवादी संगठन अपना-अपना फायदा उठा रहे हैं,2021-01-30T02:40:48Z,0,0,,,,
CRICKET NEWS,Ravish Kumar murdabaad . Aap bar bar Delhi police par hi q question Kar rahe hai . Action lete hinsa bhadkti hjaro marte,2021-01-29T20:43:28Z,0,0,,,,
AMARNATH KESHARI,लम्पट महाराज😜,2021-01-29T19:20:58Z,0,0,,,,
Asif Ahmed,This kisan bill is <b>fully planned conspiracy</b> to return the <b>Bengal famine(1769 ad-1772 ad)</b> in which <b>1 crore</b> bangali people <b>died(due to hunger)</b> due to <b>forced contract farming by Britishers.</b>,2021-01-29T17:49:51Z,0,0,,,,
Digvijay Sandhu,Pls correct @deep sidhu,2021-01-29T16:21:53Z,0,0,,,,
Afifa Haseeb,Isme age restricted Kya ho gya be....suvaron,2021-01-29T16:15:43Z,0,0,,,,
Nakul Josi,Chutiya ndtv,2021-01-29T14:03:37Z,1,0,,,,
Nakul Josi,Is Desh Ka apman Kiya To Chhodenge Nahin Ek bhi khalistani ko,2021-01-29T14:02:40Z,1,0,,,,
Brij Mohan Bisht,इनको आपके चैनल का समर्थन था इन दंगाइयो को जूता मारो व जेल में डालो,2021-01-29T13:54:11Z,0,0,,,,
Santipriya Mishra,Bhadbe Rabi&#39;s kumar,2021-01-29T12:26:09Z,0,0,,,,
Kshitiz Jawla,Hum tiket ke sath h,2021-01-29T12:21:30Z,1,0,,,,
mohanfna,<i>Nahin.... Kyonki chor har samay puliss sey ek kadam aage rahta hai</i> 😊,2021-01-29T11:13:31Z,0,0,,,,
Prayag education,To kya police goli chalati,2021-01-29T10:26:27Z,0,0,,,,
kaku singh,"sir i m in peaceful protest at tikri...when we return from peaceful protest in between, police said why r u returning ur people reached at fort u should also go.",2021-01-29T10:04:25Z,0,0,,,,
Mr Shriyash,Sale dogal,2021-01-29T08:56:19Z,0,0,,,,
ASR world,😂😂 police vale :- bc mare tho bure  na mare tho bure,2021-01-29T08:56:10Z,0,0,,,,
ASR world,Aapna km unhone kudh hi krb kr liya,2021-01-29T08:42:57Z,0,0,,,,
Izaz Ahmed,Great journalist,2021-01-29T08:14:31Z,0,0,,,,
S. K. M,Chutiya rubbish,2021-01-29T05:45:55Z,1,0,,,,
vishal naidu,"रविश हमेश दूसरो को whatsapp यूनिवर्सिटी बोलते रहते हैं लेकिन हाल ही में उन्होंने भी पियूष गोयल के ट्विटर post को क्रॉप करके वही काम किया जो whatsapp यूनिवर्सिटी वाले करते हैं, हालांकि बाद में उन्होंने पब्लिक्ली माफ़ी मांग ली थी लेकिन इस एक घटना से उनकी इंटीग्रिटी पर ही क्वेश्चन मार्क लग गया है, ऊपर से हार्वर्ड यूनिवर्सिटी काण्ड तो अपने आप में एक मिसाल है इस बात की कि सारी दुनिया को मूर्ख और सिर्फ अपने आप को ग्यानी समझने का परिणाम क्या होता है !!",2021-01-29T04:58:19Z,1,0,,,,
Mr Gàmer,Jo hua vo galat hua vaha religious flag nhi ferana tha bahut dukh hua 😔😔😔😔😔h yyrr ki ye kam or koi nhi kisano n kiya h 😞😞😞...,2021-01-29T04:42:26Z,0,0,,,,
Ajay Kumar,"किसान बिल किसानों को बहुत फयदा होगा, यह बात हमलोग समझा नहीं पाऐ अपने किसानों को, दुर्भाग्य है कि देश के विरोध हावी हो गया!",2021-01-29T03:29:07Z,0,0,,,,
Singingbaaz_Shayarbaaj Aditya,Share ka option kyo nahi ??,2021-01-29T02:56:15Z,0,0,,,,
pushpinder singh,Danga hota nahi karaya jata hai,2021-01-28T23:44:35Z,0,0,,,,
Divyans Raj,18 month se news dekh raha hu lekin aaj pehli baar 80 percentage real mila thanku so much sir jee...,2021-01-28T21:13:50Z,1,0,,,,
Prithviraj Singh Dhillon,Keep up the good work,2021-01-28T20:55:19Z,0,0,,,,
Prithviraj Singh Dhillon,We support your unbiased news Ravish....... you are a star man....,2021-01-28T20:55:13Z,0,0,,,,
subhash kesarwani,Puri Puri ki feku media Jo dikhana Chahiye dikhata Nahi. Jab andolan dharmnirpeksha hai to pertucular dharma Ka jhanda q lahraya gaya. Police ise easily control Kar sakti hai but kya firing karte to yeh log police ko baksh dete. Aap shukra manao ki police me shaanti Ka parichaya diya aur sanyam se kaam liya Nahi to ek bhi Goli chalate to tum Jaise log hi Bolte human right Ka violation hai. kitne police wale Ghatal hue. Sala totally bikau media hai,2021-01-28T19:13:21Z,0,0,,,,
