,Reply,Published,sentiment
185,"['ashish', 'sharma', 'fair', 'case', 'tomorrow', 'u', 'get', 'arrest', 'falsely', 'n', 'people', 'say', 'know', 'wether', 'u', 'r', 'innocent']",2021-07-06T08:44:15Z,0.3182
186,"['michael', 'brite', 'court', 'always', 'examine', 'evidence', 'bail', 'remember', 'uapa', 'bail', 'grant', 'delhi', 'case']",2021-07-06T08:51:13Z,0.3612
253,"['cute', 'baccha', 'u', 'cow', 'tend']",2021-07-06T08:56:54Z,0.4588
171,"['sofia', 'auddy', 'andh', 'bhakto', 'ki', 'koi', 'kami', 'nahi', 'hai', 'bmera', 'bharat']",2021-07-06T08:58:30Z,0.0
197,"['ur', 'antinational', 'hindu', 'support', 'antinational']",2021-07-06T09:02:08Z,0.4019
156,"['dudewhy', 'involve', 'motherthis', 'judicial', 'murder']",2021-07-06T09:14:52Z,-0.6908
157,"['alive', 'one', 'speak', 'death', 'express', 'outragehypocrites', 'thy', 'name', 'indian']",2021-07-06T09:16:33Z,-0.3182
114,"['india', 'wealthy', 'n', 'politically', 'connect', 'powerful']",2021-07-06T09:17:38Z,0.6486
165,"['judicial', 'murder']",2021-07-06T09:17:56Z,-0.6908
126,"['court', 'sleepingthe', 'judiciary', 'power', 'investigate', 'agency']",2021-07-06T09:19:19Z,0.0
145,"['michael', 'brite', 'yes', 'sympathy', 'people', 'kill', 'innocent', 'people']",2021-07-06T09:24:34Z,0.2263
122,"['sirhe', 'also', 'fight', 'languish', 'jail', 'without', 'trialshame', 'judiciary']",2021-07-06T09:36:00Z,-0.3818
187,"['ashish', 'sharma', 'yeahafter', 'many', 'plea']",2021-07-06T09:36:28Z,0.0
188,"['michael', 'brite', 'atleast', 'get', 'bail', 'uapa']",2021-07-06T09:40:34Z,0.0
146,"['cute', 'baccha', 'tell', 'kill', 'innocent', 'people', 'kill', 'one', 'missionary', 'n', 'two', 'son', 'year', 'orissawho', 'kill', 'priest', 'pull', 'liver', 'n', 'lung', 'n', 'put', 'cross', 'road', 'kill', 'priest', 'n', 'cut']",2021-07-06T09:42:38Z,-0.9552
189,"['ashish', 'sharma', 'big', 'deal', 'leave', 'free', 'first', 'bail', 'even', 'pregnant', 'woman', 'imprison']",2021-07-06T09:44:41Z,0.4767
