,Reply,sentiment
29,"['fool', 'admit', 'hospital', 'last', 'month', 'jail']",-0.05
30,"['dipesh', 'kumar', 'roll', 'aba', 'gobar', 'admit', 'jail', 'apply', 'bail', 'n', 'reject', 'honorable', 'court']",-0.1
31,"['alvanor', 'elf', 'trust', 'stupid', 'comment']",-0.7999999999999999
32,"['gain', 'trp']",0.0
33,"['alvanor', 'elf', 'missionary', 'work', 'government', 'real', 'hero', 'stop', 'r', 'send', 'jail', 'help', 'u', 'much', 'covid', 'wave', 'one', 'help', 'u', 'government', 'also', 'missionary', 'help', 'jharkh']",0.10000000000000002
34,"['adarsh', 'missionary', 'matter', 'wt', 'motive', 'pure', 'evil', 'govt', 'matter', 'responsibility', 'govt', 'reflection', 'society', 'take', 'responsibility', 'become', 'see']",-0.39285714285714285
35,"['foreign', 'fund', 'white', 'guy', 'associate', 'stan', 'yr', 'india', 'promote', 'one', 'side', 'story', 'victim', 'card', 'fashion']",-0.06666666666666667
36,"['dipesh', 'kumar', 'roll', 'lately']",-0.3
37,"['year', 'old', 'die', 'due', 'corona', 'issue']",-0.012499999999999997
38,"['shamsuddin', 'hanthiyar', 'need', 'bail']",0.0
39,"['adarsh', 'christian', 'help', 'never', 'free']",-0.1
40,"['learn', 'truth', 'first', 'gaddhar', 'kill', 'thousand', 'innocent', 'people']",0.375
41,"['shri', 'peter', 'narayan', 'know', 'fact', 'first', 'reply', 'reply', 'sadful']",0.25
42,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",0.0
43,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",0.0
44,"['yeah', 'give', 'people', 'like', 'stan', 'swamy', 'access', 'tribal', 'area', 'convert', 'cryptos', 'create', 'conspiracy', 'destroy', 'nation']",-0.2
45,"['akshay', 'g', 'okay', 'go', 'educate', 'poor', 'tribals', 'open', 'school', 'orphanage', 'like', 'christian', 'untouchable']",0.024999999999999994
46,"['relly', 'k', 'definitely', 'open', 'school', 'orphanage', 'convert', 'give', 'exchangei', 'jesus', 'soldier', 'show', 'fake', 'charity', 'conversion', 'fraudsters', 'destroy', 'bharat', 'name', 'conversion', 'fu']",-0.2333333333333333
47,"['akshay', 'g', 'lol', 'ignorant', 'school', 'open', 'force', 'conversion', 'many', 'hindu', 'muslim', 'friend', 'catholic', 'school', 'studiedthere', 'many', 'indian', 'army', 'le', 'patrioticaltho']",0.36
48,"['yes', 'agree']",0.0
49,"['planprayers', 'responsiblemay', 'realise', 'do', 'old', 'man', 'burden', 'heavy', 'doubt']",-0.05
50,"['true', 'sir']",0.35
51,"['r', 'save', 'must', 'convert']",0.0
52,"['oh', 'shut', 'pleaseat', 'least', 'today', 'sake']",-0.3
53,"['mean', 'police', 'maharastra', 'help', 'lynch', 'palghar', 'sadhu', 'decent']",-0.07291666666666667
54,"['srinath', 'shrothrium', 'regular', 'viewer', 'republic', 'time']",0.0
55,"['police', 'maharastra', 'help', 'lynch', 'palghar', 'sadhu']",0.0
56,"['people', 'change', 'sad']",-0.5
57,"['mr', 'ignorance', 'peak', 'without', 'delve', 'reality']",0.0
58,"['community', 'take', 'care', 'innocent', 'adivasis', 'dalits', 'instead', 'trample', 'need', 'community', 'step', 'help']",0.5
59,"['leave', 'paradiseasap']",0.0
60,['lol'],0.8
61,"['father', 'swami', 'name', 'tell', 'lot', 'thing', 'chance', 'twist', 'man', 'trust', 'govt', 'missionary', 'ulterior', 'motif']",0.0
62,"['alvanor', 'elf', 'u', 'seem', 'twist', 'judge', 'others', 'cheap', 'u']",0.4
63,"['guy', 'start', 'take', 'stand', 'terrorist', 'kitna', 'girroge']",0.0
64,"['btw', 'responsibility', 'prison', 'department', 'take', 'care', 'himwhich', 'come', 'state', 'govtmva', 'govt']",0.0
65,"['sindhoor', 'rai', 'dont', 'want', 'bring', 'little', 'creature', 'central', 'agency', 'like', 'nia', 'compromise', 'even', 'bother', 'state', 'machinery', 'ofcourse', 'blame', 'think', 'lowly', 'creature', 'even', 'bring', 'bl']",-0.0625
66,"['social', 'activist', 'work', 'upliftment', 'downtrodden', 'consider', 'terrorist', 'call', 'largest', 'democracy', 'mockery', 'democracy']",0.03333333333333333
67,"['sindhoor', 'rai', 'cud', 'hv', 'send', 'nia', 'bollywood', 'mafiaswhy', 'theywere', 'kind', 'racket', 'exist', 'old', 'man', 'threat', 'disgust']",0.35
68,"['live', 'life', 'fund', 'naxals', 'convert', 'poor', 'tribals', 'vote', 'government', 'destroy', 'people', 'like', 'devil', 'swamy', 'stand', 'every', 'soldier', 'murder', 'naxalites', 'order', 'money', 'missionary', 'mafia', 'run', 'people', 'like', 'stan', 'swamy']",-0.15454545454545457
69,"['akshay', 'g', 'say', 'regard', 'bomaby', 'high', 'court', 'quothearing', 'posthumously', 'appeal', 'file', 'bylate', 'jesuit', 'priest', 'stan', 'swamyin', 'bhimakoregaonelgaar', 'parishad', 'case', 'monday', 'bombay', 'high', 'court', 'remark', 'tribal', 'right', 'activi']",0.2019047619047619
70,"['ajay', 'choudhary', 'lol', 'entire', 'naxal', 'lobby', 'best', 'save', 'jesus', 'soldier', 'nothing', 'convert', 'poor', 'tribals', 'xtianity', 'come', 'choudhary', 'shamelessly', 'foolishly', 'defend', 'devil']",0.35
71,"['akshay', 'g', 'guess', 'didnt', 'get', 'view', 'mumbai', 'high', 'court', 'say', 'presume', 'better', 'people', 'institutionsunless', 'way', 'smarter', 'save', 'sanity', 'country']",0.33
72,['amenn'],0.0
73,"['covid', 'come', 'punishment', 'whole', 'world', 'reject', 'gospel', 'jesus', 'persecution', 'follower', 'doubt']",0.2
74,"['lol', 'justice', 'define', 'naxalites', 'yeh']",0.8
75,"['sanatani', 'first', 'consider', 'age', 'n', 'influence', 'state', 'feel', 'weak']",-0.0625
76,"['bravohow', 'low', 'culture', 'come']",0.0
77,"['bigot', 'timeline', 'come', 'support', 'maoist', 'thug']",0.0
78,"['lord', 'say', 'sheep', 'meek', 'accept', 'faithi', 'sure', 'true', 'follower', 'lord']",0.425
79,"['meek', 'whose', 'history', 'full', 'ethnic', 'cleanse', 'genocide', 'lol']",0.575
80,"['wiseman', 'say', 'screw', 'kid', 'become', 'bishop']",0.0
81,"['sanatani', 'first', 'weaked', 'creature', 'heart', 'trouble']",0.024999999999999994
82,"['bona', 'rodrigues', 'come', 'another', 'true', 'christian', 'belief', 'hindu', 'creature', 'pagan', 'get', 'hell', 'cult', 'sick', 'teach']",-0.12142857142857144
83,"['bona', 'rodrigues', 'whats', 'weaked', 'creature', 'miss', 'thats', 'happen', 'convert', 'piece', 'bread', 'bag', 'rice', 'alleluia', 'praise', 'laude']",0.0
84,"['bona', 'rodrigues', 'say', 'quotborn', 'sinnerquot']",0.0
