,Reply,sentiment
57,"['mr', 'ignorance', 'peak', 'without', 'delve', 'reality']",-0.3612
58,"['community', 'take', 'care', 'innocent', 'adivasis', 'dalits', 'instead', 'trample', 'need', 'community', 'step', 'help']",0.8074
59,"['leave', 'paradiseasap']",-0.0516
60,['lol'],0.4215
61,"['father', 'swami', 'name', 'tell', 'lot', 'thing', 'chance', 'twist', 'man', 'trust', 'govt', 'missionary', 'ulterior', 'motif']",0.6486
62,"['alvanor', 'elf', 'u', 'seem', 'twist', 'judge', 'others', 'cheap', 'u']",0.0
63,"['guy', 'start', 'take', 'stand', 'terrorist', 'kitna', 'girroge']",-0.6908
64,"['btw', 'responsibility', 'prison', 'department', 'take', 'care', 'himwhich', 'come', 'state', 'govtmva', 'govt']",-0.0258
65,"['sindhoor', 'rai', 'dont', 'want', 'bring', 'little', 'creature', 'central', 'agency', 'like', 'nia', 'compromise', 'even', 'bother', 'state', 'machinery', 'ofcourse', 'blame', 'think', 'lowly', 'creature', 'even', 'bring', 'bl']",-0.0572
66,"['social', 'activist', 'work', 'upliftment', 'downtrodden', 'consider', 'terrorist', 'call', 'largest', 'democracy', 'mockery', 'democracy']",-0.7906
67,"['sindhoor', 'rai', 'cud', 'hv', 'send', 'nia', 'bollywood', 'mafiaswhy', 'theywere', 'kind', 'racket', 'exist', 'old', 'man', 'threat', 'disgust']",-0.5994
68,"['live', 'life', 'fund', 'naxals', 'convert', 'poor', 'tribals', 'vote', 'government', 'destroy', 'people', 'like', 'devil', 'swamy', 'stand', 'every', 'soldier', 'murder', 'naxalites', 'order', 'money', 'missionary', 'mafia', 'run', 'people', 'like', 'stan', 'swamy']",-0.9136
69,"['akshay', 'g', 'say', 'regard', 'bomaby', 'high', 'court', 'quothearing', 'posthumously', 'appeal', 'file', 'bylate', 'jesuit', 'priest', 'stan', 'swamyin', 'bhimakoregaonelgaar', 'parishad', 'case', 'monday', 'bombay', 'high', 'court', 'remark', 'tribal', 'right', 'activi']",0.0
70,"['ajay', 'choudhary', 'lol', 'entire', 'naxal', 'lobby', 'best', 'save', 'jesus', 'soldier', 'nothing', 'convert', 'poor', 'tribals', 'xtianity', 'come', 'choudhary', 'shamelessly', 'foolishly', 'defend', 'devil']",0.503
71,"['akshay', 'g', 'guess', 'didnt', 'get', 'view', 'mumbai', 'high', 'court', 'say', 'presume', 'better', 'people', 'institutionsunless', 'way', 'smarter', 'save', 'sanity', 'country']",0.8442
72,['amenn'],0.0
73,"['covid', 'come', 'punishment', 'whole', 'world', 'reject', 'gospel', 'jesus', 'persecution', 'follower', 'doubt']",-0.8126
74,"['lol', 'justice', 'define', 'naxalites', 'yeh']",0.7351
75,"['sanatani', 'first', 'consider', 'age', 'n', 'influence', 'state', 'feel', 'weak']",-0.4404
76,"['bravohow', 'low', 'culture', 'come']",-0.2732
77,"['bigot', 'timeline', 'come', 'support', 'maoist', 'thug']",0.4019
78,"['lord', 'say', 'sheep', 'meek', 'accept', 'faithi', 'sure', 'true', 'follower', 'lord']",0.7717
79,"['meek', 'whose', 'history', 'full', 'ethnic', 'cleanse', 'genocide', 'lol']",0.4215
80,"['wiseman', 'say', 'screw', 'kid', 'become', 'bishop']",-0.1027
81,"['sanatani', 'first', 'weaked', 'creature', 'heart', 'trouble']",-0.4019
82,"['bona', 'rodrigues', 'come', 'another', 'true', 'christian', 'belief', 'hindu', 'creature', 'pagan', 'get', 'hell', 'cult', 'sick', 'teach']",-0.7269
83,"['bona', 'rodrigues', 'whats', 'weaked', 'creature', 'miss', 'thats', 'happen', 'convert', 'piece', 'bread', 'bag', 'rice', 'alleluia', 'praise', 'laude']",0.4588
84,"['bona', 'rodrigues', 'say', 'quotborn', 'sinnerquot']",0.0
85,"['sanatani', 'first', 'quotmaoist', 'thug', 'quotcan', 'list', 'charge', 'prove', 'quotthug', 'quot', 'court', 'without', 'curse', 'abuse', 'anyone']",0.7366
86,"['wise', 'people', 'say', 'bjp', 'people', 'r', 'die', 'cancer']",-0.7351
87,"['jai', 'prakash', 'believe', 'screw', 'pm', 'become', 'clown']",-0.1027
88,"['sanatani', 'first', 'say', 'guy', 'vote', 'religious', 'extremist']",0.0
89,"['shomik', 'basuray', 'lol', 'thug', 'shout', 'slogan', 'court', 'afzal', 'guru', 'give', 'sentence', 'thug']",0.4767
90,"['sanatani', 'first', 'perhaps', 'comprehension', 'issuescould', 'please', 'address', 'question', 'ask']",0.3182
91,"['shomik', 'basuray', 'address', 'maybe', 'go', 'search', 'chargesheet', 'activity', 'also', 'look', 'youtube', 'video', 'socalled', 'human', 'right', 'activist', 'jihadis', 'maoist', 'nothing', 'secretive']",0.0
92,"['lata', 'raymond', 'kind', 'wisdom', 'quotborn', 'sinnersquot', 'utterly', 'disgust']",0.3832
93,"['lata', 'raymond', 'least', 'dont', 'lick', 'random', 'dvd', 'cure', 'cancer', 'rice', 'bag', 'shame', 'seem']",-0.8176
94,"['trust', 'govt', 'missionary', 'ulterior', 'motif']",0.5106
95,"['medium', 'waste', 'time', 'mischief', 'missionary']",-0.6486
