Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
U R ALL WYZ,Solidarity Punjab from South Africa !,2020-12-04T17:14:31Z,3,0,,,,
gurwinder singh jhinjer,I am a son of a farmer in Punjab. Ilove my India like all the farmers. These news channel will not say anything wrong about govrenment. If you wanna see rality you can watch NDTV India or you see Dhruv Rathi s latest video. Please dont judge farmers protest according to these fake news. Please,2020-12-02T03:30:10Z,7,3,,,,
,,,,,Vidit Naithani,bhai vo left propaganda  hai aur ye right reality hamesha beech mein kahi hoti hai,2020-12-08T05:34:28Z,2020-12-08T05:34:28Z
,,,,,gurwinder singh jhinjer,@Vidit Naithani ha y ye alag issue hai lekin is protest me koi v khalistan nhi chahta. I dont support khalistan,2020-12-08T05:58:07Z,2020-12-08T05:58:07Z
,,,,,how to,It&#39;s ok agar farmer ko new laws Chahiye ya modified chahiye par <br>Till free highway kahan se aa gya beech mein,2020-12-26T17:45:51Z,2020-12-26T17:47:37Z
MSD Company,Then why you people voted  For Modi??<br>A question by Tamilan,2020-12-01T12:06:33Z,10,6,,,,
,,,,,how to,Many people are misleaded by poltican and other people <br>Now they are demanding release of criminal <br> 58 out of 62  farmer union agrees with farmer law made by Government of India,2020-12-26T17:50:16Z,2020-12-26T17:50:16Z
,,,,,MSD Company,@how to why?? Others are mad???,2020-12-26T18:03:40Z,2020-12-26T18:03:40Z
,,,,,vicky badwal,We punjabis never vote for modi nd never will,2020-12-30T22:23:23Z,2020-12-30T22:23:23Z
,,,,,MSD Company,@vicky badwal then how he became as PM ?,2020-12-31T05:21:44Z,2020-12-31T05:21:44Z
,,,,,vicky badwal,@MSD Companybcos  hindi belt voted for modi,2020-12-31T06:07:53Z,2020-12-31T06:07:53Z
,,,,,Amrit Dhillon,Agar punjab ke log modi ko vote nhi kraige to kya modi pm nhi ban sakta are aur bhi states hai  aur punjab mai congress ki govt. Hai bjp nhi,2021-01-12T15:12:50Z,2021-01-12T15:12:50Z
