,snippet.textOriginal,sentiment
53,"['srinath', 'radhakrishnan', 'anyway', 'sad', 'bollywood', 'lose', 'jewel', 'year']",-0.5
54,"['shivam', 'kumar', 'ohh', 'shut', 'certainly', 'time', 'discus', 'silly', 'conspiracy', 'theory', 'death', 'open', 'serious', 'mental', 'depression', 'could']",-0.1438095238095238
55,"['jafferiqbalbagwan', 'bagwan', 'suicide', 'depression', 'kick', 'suicide', 'suicide', 'god', 'know']",0.0
56,"['u', 'say', 'depression', 'may', 'many', 'reason']",0.5
57,"['akt', 'crat', 'yes', 'bro', 'understand']",0.0
58,"['akt', 'crat']",0.0
59,"['someone', 'depression', 'wont', 'think', 'right', 'wrong', 'decision']",-0.10714285714285715
60,"['yes', 'bro']",0.0
61,"['die', 'reason', 'behind']",-0.4
62,"['wo', 'film', 'ka', 'dialogue', 'tha', 'wo', 'actor', 'ke', 'vichar', 'nahi', 'actor', 'film', 'mein', 'vohi', 'bol', 'sakta', 'hai', 'jo', 'uska', 'director', 'kahe', 'apne', 'personal', 'think', 'wo', 'film', 'mein', 'nahi', 'impose', 'kar', 'sakta', 'hai', 'dont', 'know', 'actually', 'mr', 'shushants', 'view', 'suicide']",0.0
63,"['ya', 'right']",0.2857142857142857
64,"['sankarabharathi', 'srinivasan', 'google', 'itshe', 'jump', 'floor']",0.0
65,"['sankarabharathi', 'srinivasan', 'yes']",0.0
66,"['news', 'manager', 'death']",0.0
67,"['certify', 'good', 'people', 'group', 'lady', 'secretary', 'disha', 'salian', 'suicide', 'day', 'back', 'good', 'soul', 'girl', 'manager', 'truth', 'death', 'hide', 'guy', 'guilt', 'unable', 'live', 'hide', 'truth', 'hence', 'safe', 'decision', 'day', 'value', 'girl', 'film', 'industry', 'use', 'royally', 'guy', 'marriage', 'arrange', 'come', 'nov', 'month', 'dad', 'bro', 'si', 'uncle', 'politician', 'relative', 'lolfucking', 'family', 'caste', 'subcaste', 'money', 'marriage']",0.21948051948051944
68,"['shushanth', 'love', 'tamilian', 'tamilnadu']",0.5
69,['grammar'],0.0
70,['dear'],0.0
71,['loan'],0.0
72,['loan'],0.0
73,"['yes', 'get', 'kill']",0.0
74,"['pratik', 'smith', 'people', 'mean', 'celebrity']",-0.3125
75,"['abdulsamad', 'shaikh', 'yes', 'indian', 'entertainment', 'industry', 'fuck', 'shady']",-0.325
76,"['may', 'right', 'one', 'week', 'exmanger', 'also', 'commit', 'suicide', 'connection', 'two']",0.2857142857142857
77,"['kill', 'pretty', 'sure']",0.375
78,"['read', 'comment', 'similar', 'isnt', 'medium', 'talk', 'dont', 'know', 'think', 'u', 'may', 'point']",0.0
79,"['karthik', 'siddhun', 'bhai', 'koi', 'bola', 'ki', 'life', 'worthy', 'aap', 'comment', 'section', 'mai', 'kyun', 'badak', 'rahe', 'ho', 'aur', 'aapke', 'previous', 'reply', 'mai', 'bahut', 'saare', 'assumption', 'hai', 'aapko', 'koi', 'hatred', 'hai', 'kya', 'sushant', 'bhai', 'pe', 'mean', 'aap', 'dhono', 'ko', 'personally', 'jaante', 'nahi', 'ho', 'kuch', 'bhi', 'ho', 'sakta', 'hai', 'lekin', 'aapko', 'sushant', 'hi', 'kyun', 'likhna', 'hai', 'unke', 'side', 'se', 'bhi', 'assumption', 'likh', 'dho', 'phir']",-0.036458333333333336
80,"['disha', 'salian', 'wonderful', 'middle', 'class', 'soul', 'lady', 'secretary', 'commit', 'suicide', 'day', 'back', 'worth', 'life', 'worth']",0.32
81,"['december', 'earlier', 'first', 'bad', 'news', 'communal', 'govt', 'full', 'criminal', 'cadre', 'come', 'power', 'rather', 'bring', 'power', 'irrational', 'brainwash']",-0.09999999999999998
