Name,Comment,tone
Ketan Bhargava,Wow a Maoist who had had the charges of over throwing democracy even HC refused his bail is now a marytr for the people. This is India where the army chief is called as &quot;Sadak ka Gunda&quot; and a Maoist is portrayed as &quot;Activist&quot;.,"{'document_tone': {'tones': [{'score': 0.647781, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Wow a Maoist who had had the charges of over throwing democracy even HC refused his bail is now a marytr for the people.', 'tones': []}, {'sentence_id': 1, 'text': 'This is India where the army chief is called as &quot;Sadak ka Gunda&quot; and a Maoist is portrayed as &quot;Activist&quot;.', 'tones': []}]}"
,,{'document_tone': {'tones': []}}
RP Lall,"May his blessed soul rest in peace.The day of Judgment is very near wen every one will face it in front of Jesus Christ, nothing will be hidden.","{'document_tone': {'tones': [{'score': 0.514072, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Jmj Selvin,Salute NDTV,{'document_tone': {'tones': []}}
Charlin Muthappan,"Stop NIA,","{'document_tone': {'tones': [{'score': 0.560519, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Sandeep Chavan,😄,"{'document_tone': {'tones': [{'score': 0.832238, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Neville Dsouza,BJpee and their bhakts .. can&#39;t expect humanity from them .. pure vultures..,"{'document_tone': {'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Asha Lopes,Rest in peace fr stan Swamy you are in with your father who loves you so much  that you may not suffer any more in hands of wicked  government  you will be a saint one day,"{'document_tone': {'tones': [{'score': 0.581494, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Asha Lopes,Shame on this Government misusing the power,"{'document_tone': {'tones': [{'score': 0.668239, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
STARs Adivashi js,NDTV  को धन्यावाद जो कि हमेशा सच्चाई को दिखाती है आज मैं सिर्फ NDTV  ही देखता हूँ क्योंकि आप सच्चाई दिखाते हो,{'document_tone': {'tones': []}}
Alom Roy,Father Stan Swamy .... Red Salute... Long live revolution ..🙏,"{'document_tone': {'tones': [{'score': 0.709389, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Salman Khan,NIA ya Police pe kya kanun lagna chahiye jab police NIA kisi ko jail daal deta hai 10-15 shak ke naam pe aur pata nai kya kya naam pe and fir uska 10-15 saal barbaad.. Wo kon bharke dega kon handle karega aise police walo ko ya NIA ko ya aise Government ko jo jaan buj kar logo ko target karti hai.. Kabi politics ke liye kabi election ko divert karne ke liye..,{'document_tone': {'tones': []}}
Salman Khan,"Koi Muslim BJP government ke khilaf bole ya protest kare then they are called Terrorist, jihadi and pakistani.. Any Christian speak against BJP Government then they are called moist funded by foreign and bla bla and if Dalit speaks about against BJP Government then they are urban naxal tukde tukde gang.. Wow.. And BJP doodh ki dhuli h.. BJP is the worst nothing else.. Wo chai wale ko kon marega chutye ko.. Jo RSS ke karan and Muslim se nafrat ke karan PM ban gaya hai..","{'document_tone': {'tones': [{'score': 0.576661, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Koi Muslim BJP government ke khilaf bole ya protest kare then they are called Terrorist, jihadi and pakistani.. Any Christian speak against BJP Government then they are called moist funded by foreign and bla bla and if Dalit speaks about against BJP Government then they are urban naxal tukde tukde gang.. Wow..', 'tones': []}, {'sentence_id': 1, 'text': 'And BJP doodh ki dhuli h.. BJP is the worst nothing else.. Wo chai wale ko kon marega chutye ko.. Jo RSS ke karan and Muslim se nafrat ke karan PM ban gaya hai..', 'tones': []}]}"
Salman Khan,Why soo much power to central and NIA .. NIA lapdop of Modi and Amit Shah..,{'document_tone': {'tones': []}}
Md Sameeullah,Very Very shame on Indian government,"{'document_tone': {'tones': [{'score': 0.673111, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
Md Sameeullah,Shame on BJP government,{'document_tone': {'tones': []}}
Vikram Aditya,यही तो है आधुनिक भारत का रामराज जिस में दलितों आदिवासियों ओबीसी और मन माइनॉरिटी  के लोगों का शोषण होगा,{'document_tone': {'tones': []}}
Devendra Patel,Bahut badhiya 👏🏻👏🏻👏🏻,{'document_tone': {'tones': []}}
Brijesh Madhdheshya,Father stan swami gajab seculer naam hai,{'document_tone': {'tones': []}}
Selvaraj Selladurai,Get rid of Modi and save this nation.,"{'document_tone': {'tones': [{'score': 0.972852, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Fanindra Sharma,Badhai ho,{'document_tone': {'tones': []}}
Anju Minz,Fr.may u live in the heart of adiwasi people.,"{'document_tone': {'tones': [{'score': 0.556417, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
Nisha Verma,Iswer nyay kare,{'document_tone': {'tones': []}}
Rohit Kumar,That&#39; was all the planning of government to remove the Stan swamy through this case. This is a murder acted by government.,"{'document_tone': {'tones': [{'score': 0.930277, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'That&#39; was all the planning of government to remove the Stan swamy through this case.', 'tones': [{'score': 0.746197, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'This is a murder acted by government.', 'tones': []}]}"
Jawanaram Parmar,"जब तक जजों की नियुक्ति संवैधानिक रूप से नही होगी , प्रतिनिधित्व के अनुसार नही होगी तब तक ऐसे ही होता रहेगा।",{'document_tone': {'tones': []}}
Sukhdeen Markam,Baba ne sahi kaha hai ..ye savidhan agar sahi hatho me rahega to surakchit hai dunia ka best hai .but galat haatho me gaya to desh jal jaayega,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Baba ne sahi kaha hai ..ye savidhan agar sahi hatho me rahega to surakchit hai dunia ka best hai .but', 'tones': []}, {'sentence_id': 1, 'text': 'galat haatho me gaya to desh jal jaayega', 'tones': []}]}"
Arya YOUGANTAK,This killing if it is killing then this killing is awesome...,"{'document_tone': {'tones': [{'score': 0.788547, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
puneet walia,Manipulation in its purest form,"{'document_tone': {'tones': [{'score': 0.578624, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Arvind Mishra,84 saal ka istemaal....sjayad 22 baar...kavita srivastav...ha ha ha....pulitzar award kyon mila...dekho India,{'document_tone': {'tones': []}}
my suloi,RIP FR STAN SWAMY,"{'document_tone': {'tones': [{'score': 0.695573, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Uma Shanker Ram,Shame to you rabbis the great. Traitor indeed.,"{'document_tone': {'tones': [{'score': 0.551044, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.986725, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shame to you rabbis the great.', 'tones': [{'score': 0.616744, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'Traitor indeed.', 'tones': [{'score': 0.996934, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
Rajesh Shaw,Bb,{'document_tone': {'tones': []}}
diana choeyang,"Desh ko blast karnewale to mazey se tamasha dekh raha hai!!! Bakto ki kirpa hai desh ko bech raha hai, jaise ma beheno ko b!!!","{'document_tone': {'tones': [{'score': 0.505615, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Sam Dhariwal,"एक निर्दोष संत की मृत्य इस बात का चिन्ह है कि विनाश अब दूर नहीं है I एक भारतीय होने के नाते हमे चाहिये कि हम पूरे राष्ट्र को प्रायश्चित करना चाहिए I <br><br>Ravish जी  आपका धन्यवाद ,<br>ईश्वर आपकी दुष्टों से रक्षा करे और आपको सत्य को जानने और प्रकट करने में सहायता करे I",{'document_tone': {'tones': []}}
RAUL CONRAD,If the government of India runs scared of a 84 year old physically sick man then I can only say hey Ram.  Save these people.,"{'document_tone': {'tones': [{'score': 0.509556, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.900364, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'If the government of India runs scared of a 84 year old physically sick man then I can only say hey Ram.', 'tones': [{'score': 0.574962, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Save these people.', 'tones': [{'score': 0.955445, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
vikaslakrasj,जब तक सूरज चाँद रहेगा मोदी बाबा शान्त रहेगा। lol😊,"{'document_tone': {'tones': [{'score': 0.873327, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Raise Passi,God bless the adivasi,"{'document_tone': {'tones': [{'score': 0.922322, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Akash Momin,❤❤❤👍,"{'document_tone': {'tones': [{'score': 0.853929, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Dhananjay Singh,Sir abhi samaj yesa hogya hai ki koi sach sunna hi nhi chahta log hindu muslim<br>Mandir masjid ki ladai me khus hai,{'document_tone': {'tones': []}}
VIVEK GAUTAM,"अदालतें, चुनाव आयोग, सारे आयोग आर एस एस और बीजेपी अम्बानी अडानी ने खरीद लिया है",{'document_tone': {'tones': []}}
Bigyan Sahoo,In dosio ko treatment kia phasi turant dena chahiye,{'document_tone': {'tones': []}}
