Name,Comment,tone
Madhura Patil,All crocodile tears. If you cared so much why were you quiet during Palghar Sadhu. Only conversion money speaks.,"{'document_tone': {'tones': [{'score': 0.528965, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.937689, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'All crocodile tears.', 'tones': [{'score': 0.749076, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.989586, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, {'sentence_id': 1, 'text': 'If you cared so much why were you quiet during Palghar Sadhu.', 'tones': []}, {'sentence_id': 2, 'text': 'Only conversion money speaks.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}]}"
shri peter narayan,Sirdesai must ask - why this foreigner is involved with 84 yrs for 15-20 years? What was he promoting - financing what ? Why he should be in India with foreign funding Maoist/ communist/ naxalite/ conversion / divisive politics. One sided story doesnot make a neutral channel .,"{'document_tone': {'tones': [{'score': 0.634748, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Sirdesai must ask - why this foreigner is involved with 84 yrs for 15-20 years?', 'tones': []}, {'sentence_id': 1, 'text': 'What was he promoting - financing what ?', 'tones': []}, {'sentence_id': 2, 'text': 'Why he should be in India with foreign funding Maoist/ communist/ naxalite/ conversion / divisive politics.', 'tones': []}, {'sentence_id': 3, 'text': 'One sided story doesnot make a neutral channel .', 'tones': []}]}"
Jagadeesh Reddy,I always thought I am living a great country where the democratic values are upheld...,"{'document_tone': {'tones': [{'score': 0.560341, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Jessy Lukose,Why are you speaking now you had no voice when he was alive,"{'document_tone': {'tones': [{'score': 0.633448, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Vivek Pavale,Abe ye Esai tribal activist kaisa? Tribal se Eska kya samband? Deshke logonko chutya banana band karo.,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Abe ye Esai tribal activist kaisa?', 'tones': []}, {'sentence_id': 1, 'text': 'Tribal se Eska kya samband?', 'tones': []}, {'sentence_id': 2, 'text': 'Deshke logonko chutya banana band karo.', 'tones': []}]}"
noel mascarenhas,RIP father.<br>Thank you for all you did for the poor of our country.<br><br>May more humans like you be born.,"{'document_tone': {'tones': [{'score': 0.647781, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'RIP father.<br>Thank', 'tones': [{'score': 0.552663, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'you for all you did for the poor of our country.<br><br>May', 'tones': []}, {'sentence_id': 2, 'text': 'more humans like you be born.', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Sebastian Sayoo,We support fr swamy,{'document_tone': {'tones': []}}
L F,"We should work towards beatification of late Father Stan Swamy so that finally Sainthood may be bestowed on him, as &quot;Saint of Tribals &amp; Against Government Atrocities &#39;!","{'document_tone': {'tones': [{'score': 0.591609, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
kundan choudhary,God will punish BJP politicians,"{'document_tone': {'tones': [{'score': 0.527775, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
PK K,"I don’t know the background of this case, but it’s shame on the government who accused this old man on terrorism charges and prisoned him without giving basic madical requirement. Shame on MODI!","{'document_tone': {'tones': [{'score': 0.802429, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'I don’t know the background of this case, but it’s shame on the government who accused this old man on terrorism charges and prisoned him without giving basic madical requirement.', 'tones': [{'score': 0.656175, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Shame on MODI!', 'tones': [{'score': 0.544871, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
Bichitra Marak,"Those who judge wrongly,God is there to judge them.",{'document_tone': {'tones': []}}
Bichitra Marak,"Fr Stand , he was kind hearted parson, his soul will rich to heaven. May God grand eternel peace Amen.","{'document_tone': {'tones': [{'score': 0.877583, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.981002, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Fr Stand , he was kind hearted parson, his soul will rich to heaven.', 'tones': [{'score': 0.715699, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'May God grand eternel peace Amen.', 'tones': [{'score': 0.872554, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
A HOPE TO WIN,You Media people are not standing for the justice that is why ft Stan Swamy is assassinated,{'document_tone': {'tones': []}}
Patrick Francis,"Rajdeep, your question of whether this is a state sponsored MURDER, it is Absolutely cause Narendra Modi doesnt like critics and opposers to his idiotic policies.","{'document_tone': {'tones': [{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.893044, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Joy M G,"What happened to our country?<br>What happened to our judiciary?<br>The country&#39;s rulers,police , civil authorities all have failed .Why ?<br>God save this Nation .","{'document_tone': {'tones': [{'score': 0.88533, 'tone_id': 'confident', 'tone_name': 'Confident'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'What happened to our country?<br>What', 'tones': []}, {'sentence_id': 1, 'text': 'happened to our judiciary?<br>The', 'tones': []}, {'sentence_id': 2, 'text': 'country&#39;s rulers,police , civil authorities all have failed .Why ?<br>God save this Nation .', 'tones': [{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]}]}"
,,{'document_tone': {'tones': []}}
M J Loval,"A hero to some, but a doctor diagnosed him as  TRAITOR ; how inhuman and immmature","{'document_tone': {'tones': [{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}}"
alwin dsouza,Thanks to NDTV for covering up this issue. Although the damages has been done already. No other channel is even interested,"{'document_tone': {'tones': [{'score': 0.893364, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.843513, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thanks to NDTV for covering up this issue.', 'tones': [{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'Although the damages has been done already.', 'tones': [{'score': 0.651063, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 2, 'text': 'No other channel is even interested', 'tones': [{'score': 0.613471, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Dr. Vivekananda T S,"Congrats Mr. Rajdeep, well come back to democracy. Good presentation at least after death of Human Rights, Democracy &amp; Mr. Stan Swamy!! Thanks.","{'document_tone': {'tones': [{'score': 0.816678, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Congrats Mr. Rajdeep, well come back to democracy.', 'tones': [{'score': 0.852466, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, {'sentence_id': 1, 'text': 'Good presentation at least after death of Human Rights, Democracy &amp; Mr. Stan Swamy!! Thanks.', 'tones': []}]}"
Franco C,"No use of speaking Now, all Christians and many other people know that this was a murder by this government and injustice done to this Holy priest. <br><br>Salute to Father Stan,  may his soul rest in peace.","{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'No use of speaking Now, all Christians and many other people know that this was a murder by this government and injustice done to this Holy priest.', 'tones': []}, {'sentence_id': 1, 'text': '<br><br>Salute to Father Stan,  may his soul rest in peace.', 'tones': [{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}]}"
Human Beings R Thinking Beings,"Mind Begs the Question:<br>Hitler = Govts can be Sinister &amp; Terrorists<br>Power - can Corrupt<br>Must be more watchful of - People,Govt?",{'document_tone': {'tones': []}}
Human Beings R Thinking Beings,Mind Begs the Question:<br>A Govt - building Concentration Camps<br>A Parliament - approving Totalitarian Laws<br>What conditions need met<br>To establish a PM/Govt is Fascist/Nazi?,{'document_tone': {'tones': []}}
ANTHONY FRANCIS,"BJP is playing big game in India, court is working for BJP",{'document_tone': {'tones': []}}
Stephen G,Gandhi. 2 died,"{'document_tone': {'tones': [{'score': 0.847914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Stephen G,Gandhi. 2 died,"{'document_tone': {'tones': [{'score': 0.847914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Nirmala Satyachari,Our country people provide biriany to people who have been killed so many people but not providing single sipper to good human being ( stan Swamy). कितने विरोधाभास है,"{'document_tone': {'tones': []}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Our country people provide biriany to people who have been killed so many people but not providing single sipper to good human being ( stan Swamy).', 'tones': []}, {'sentence_id': 1, 'text': 'कितने विरोधाभास है', 'tones': []}]}"
Jubel Dcruz,"As long as Narendra Modi is the PM of the country, Christians are not safe.","{'document_tone': {'tones': [{'score': 0.947344, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}}"
Wilfred Lobo,"It&#39;s inviting a curse, they will pay the price",{'document_tone': {'tones': []}}
SANCO ENTERPRISES,"Don&#39;t telecast after death, he was murdered like other UPA prisoners","{'document_tone': {'tones': [{'score': 0.691766, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Diamond Talk,Rest in peace father,"{'document_tone': {'tones': [{'score': 0.845283, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}}"
Jubel Dcruz,Shame on the Indian judiciary for killing an innocent man. The people responsible for Fr. Stan Swamy&#39;s death will burn in hell and will be surrounded by demons. They will cry but nobody will hear them. Such will be their punishment.,"{'document_tone': {'tones': [{'score': 0.651914, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Shame on the Indian judiciary for killing an innocent man.', 'tones': [{'score': 0.55825, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 1, 'text': 'The people responsible for Fr.', 'tones': []}, {'sentence_id': 2, 'text': 'Stan Swamy&#39;s death will burn in hell and will be surrounded by demons.', 'tones': []}, {'sentence_id': 3, 'text': 'They will cry but nobody will hear them.', 'tones': [{'score': 0.979501, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}, {'sentence_id': 4, 'text': 'Such will be their punishment.', 'tones': [{'score': 0.931034, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.931034, 'tone_id': 'fear', 'tone_name': 'Fear'}]}]}"
Simon Abraham,Nomadic treatment to Fr stan swamy 🐒🐒🐕🐖👋!!!’,"{'document_tone': {'tones': [{'score': 0.515501, 'tone_id': 'joy', 'tone_name': 'Joy'}]}}"
Marcello Mawlot,Racism and communalism in this country its still exist,{'document_tone': {'tones': []}}
