,Comment,sentiment
24,"['bjpee', 'bhakts', 'expect', 'humanity', 'pure', 'vulture']",0.21428571428571427
25,"['rest', 'peace', 'fr', 'stan', 'swamy', 'father', 'love', 'much', 'may', 'suffer', 'hand', 'wicked', 'government', 'saint', 'one', 'day']",0.35
26,"['shame', 'government', 'misuse', 'power']",0.0
27,"['ndtv', 'ndtv']",0.0
28,"['father', 'stan', 'swamy', 'red', 'salute', 'long', 'live', 'revolution']",0.028787878787878782
29,"['nia', 'ya', 'police', 'pe', 'kya', 'kanun', 'lagna', 'chahiye', 'jab', 'police', 'nia', 'kisi', 'ko', 'jail', 'daal', 'deta', 'hai', 'shak', 'ke', 'naam', 'pe', 'aur', 'pata', 'nai', 'kya', 'kya', 'naam', 'pe', 'fir', 'uska', 'saal', 'barbaad', 'wo', 'kon', 'bharke', 'dega', 'kon', 'handle', 'karega', 'aise', 'police', 'walo', 'ko', 'ya', 'nia', 'ko', 'ya', 'aise', 'government', 'ko', 'jo', 'jaan', 'buj', 'kar', 'logo', 'ko', 'target', 'karti', 'hai', 'kabi', 'politics', 'ke', 'liye', 'kabi', 'election', 'ko', 'divert', 'karne', 'ke', 'liye']",-0.1
30,"['koi', 'muslim', 'bjp', 'government', 'ke', 'khilaf', 'bole', 'ya', 'protest', 'kare', 'call', 'terrorist', 'jihadi', 'pakistani', 'christian', 'speak', 'bjp', 'government', 'call', 'moist', 'fund', 'foreign', 'bla', 'bla', 'dalit', 'speak', 'bjp', 'government', 'urban', 'naxal', 'tukde', 'tukde', 'gang', 'wow', 'bjp', 'doodh', 'ki', 'dhuli', 'h', 'bjp', 'worst', 'nothing', 'else', 'wo', 'chai', 'wale', 'ko', 'kon', 'marega', 'chutye', 'ko', 'jo', 'r', 'ke', 'karan', 'muslim', 'se', 'nafrat', 'ke', 'karan', 'pm', 'ban', 'gaya', 'hai']",-0.205
31,"['soo', 'much', 'power', 'central', 'nia', 'nia', 'lapdop', 'modi', 'amit', 'shah']",0.1
32,"['shame', 'indian', 'government']",0.0
33,"['shame', 'bjp', 'government']",0.0
34,"['bahut', 'badhiya']",0.0
35,"['father', 'stan', 'swami', 'gajab', 'seculer', 'naam', 'hai']",0.0
36,"['get', 'rid', 'modi', 'save', 'nation']",0.0
37,"['badhai', 'ho']",0.0
38,"['frmay', 'u', 'live', 'heart', 'adiwasi', 'people']",0.13636363636363635
39,"['iswer', 'nyay', 'kare']",0.0
40,"['plan', 'government', 'remove', 'stan', 'swamy', 'case', 'murder', 'act', 'government']",0.0
41,"['baba', 'ne', 'sahi', 'kaha', 'hai', 'ye', 'savidhan', 'agar', 'sahi', 'hatho', 'rahega', 'surakchit', 'hai', 'dunia', 'ka', 'best', 'hai', 'galat', 'haatho', 'gaya', 'desh', 'jal', 'jaayega']",1.0
42,"['kill', 'kill', 'kill', 'awesome']",1.0
43,"['manipulation', 'purest', 'form']",0.0
44,"['saal', 'ka', 'istemaalsjayad', 'baarkavita', 'srivastavha', 'ha', 'hapulitzar', 'award', 'kyon', 'miladekho', 'india']",0.0
45,"['rip', 'fr', 'stan', 'swamy']",0.0
46,"['shame', 'rabbi', 'great', 'traitor', 'indeed']",0.8
47,['bb'],0.0
48,"['desh', 'ko', 'blast', 'karnewale', 'mazey', 'se', 'tamasha', 'dekh', 'raha', 'hai', 'bakto', 'ki', 'kirpa', 'hai', 'desh', 'ko', 'bech', 'raha', 'hai', 'jaise', 'beheno', 'ko', 'b']",0.0
49,['ravish'],0.0
50,"['government', 'india', 'run', 'scar', 'year', 'old', 'physically', 'sick', 'man', 'say', 'hey', 'ram', 'save', 'people']",-0.30714285714285716
51,['lol'],0.8
52,"['god', 'bless', 'adivasi']",0.0
53,"['sir', 'abhi', 'samaj', 'yesa', 'hogya', 'hai', 'ki', 'koi', 'sach', 'sunna', 'hi', 'nhi', 'chahta', 'log', 'hindu', 'muslimmandir', 'masjid', 'ki', 'ladai', 'khus', 'hai']",0.0
54,"['dosio', 'ko', 'treatment', 'kia', 'phasi', 'turant', 'dena', 'chahiye']",0.0
55,"['people', 'call', 'swami', 'hindu', 'name', 'sami', 'work', 'convert', 'poor', 'hindu', 'aadivasi', 'religion', 'fund', 'inter', 'national', 'lobies', 'work', 'hindu', 'religion', 'symethise', 'hindu', 'people', 'agenda', 'show', 'swami', 'hindu', 'gut', 'give', 'real', 'name', 'sami', 'tell', 'people', 'convert', 'thoda', 'da', 'hindu', 'religion']",-0.1
56,"['pragya', 'thakur', 'get', 'bail', 'bt', 'sten', 'swamy', 'could', 'notso', 'sad', 'democracy', 'demolish', 'finish', 'doom', 'india', 'since', 'long', 'atma', 'mar', 'chuki', 'ham', 'sabki']",-0.275
57,"['inko', 'goli', 'marna', 'chyai', 'inka', 'bhasan', 'sunogay', 'aapka', 'khun', 'khol', 'jayai', 'ga', 'yai', 'log', 'dalit', 'ko', 'uskata', 'thai', 'tai', 'log', 'naxalwadi', 'ko', 'badhwa', 'dai', 'raha', 'tha']",0.0
58,"['kya', 'kahu', 'aaj', 'kal', 'trend', 'kisi', 'ko', 'b', 'uapa', 'laga', 'k', 'ander', 'krne', 'ka', 'kadi', 'ninda', 'krne', 'ka', 'jaach', 'krne', 'ka', 'b', 'yahi', 'bacha', 'corrupt', 'politician', 'ko', 'b', 'jail', 'daalne', 'ki', 'takat', 'kya', 'democracy', 'sharm', 'aati', 'khud', 'pe', 'desh', 'pe']",-0.3
59,"['fr', 'swamy', 'ki', 'hi', 'nahi', 'hamare', 'nyayik', 'vyavastha', 'kiwi', 'nirman', 'hatya', 'hai']",0.0
60,"['terrorist', 'organisation', 'r', 'se', 'kya', 'ummid', 'kar', 'sakten']",0.0
61,"['thank', 'mention', 'bashir', 'ahmad', 'baba', 'nissar']",0.0
62,"['shame', 'modi', 'govt']",0.0
63,"['deserve', 'state', 'funeral', 'international', 'community', 'request', 'interfere', 'murder', 'conduct', 'esteem', 'government', 'india']",0.0
64,"['thank', 'modiji', 'another', 'head', 'crown', 'kill', 'vote', 'getthank', 'grow', 'bjp']",0.0
