,Reply,sentiment
51,"['forest', 'rise', 'provide', 'proof', 'accuse', 'sadhvi', 'pragya', 'terrorist', 'without', 'give', 'proof', 'give', 'fact', 'congress', 'able', 'file', 'chargesheet', 'even', 'keep', 'jail', 'year']",0.2
52,"['tj', 'p', 'provide', 'link', 'publish', 'medium', 'friend', 'evidence', 'show', 'say', 'thing', 'thin', 'airif', 'take', 'whatever', 'type', 'fact', 'need', 'proof', 'either', 'associate', 'nia', 'pmo', 'supreme', 'co']",-0.4
53,"['forest', 'rise', 'congress', 'able', 'file', 'chargesheet', 'year']",0.5
54,"['tj', 'p', 'make', 'think', 'link', 'congress', 'middle', 'class', 'work', 'person', 'read', 'news', 'online', 'research', 'even', 'get', 'whatsapp', 'forward', 'pmo']",0.0
55,"['forest', 'rise', 'osama', 'bin', 'lade', 'abu', 'bakr', 'al', 'baghdadi', 'jihadi', 'john', 'ajmal', 'kasab', 'afzal', 'guru', 'hafiz', 'say', 'masood', 'azhar', 'riyaz', 'naikoo', 'adil', 'ahmed', 'dar', 'dawood', 'ibrahim', 'zakir', 'naik', 'every', 'quotpeace', 'loverquot', 'come', 'one', 'religion']",0.0
56,"['tj', 'p', 'go', 'topic', 'many', 'hitler', 'stallon', 'hear', 'kkk', 'america', 'christian', 'except', 'think', 'stallonwhat', 'happen', 'pragya', 'thakur', 'topic']",0.25
57,"['forest', 'rise', 'accord', 'global', 'survey', 'peaceful', 'activity', 'do', 'muslim', 'follow', 'communist', 'follow', 'christian', 'pragya', 'never', 'prove', 'guilty', 'bark', 'want', 'change', 'reality']",-0.0625
58,"['tj', 'p', 'good', 'know', 'find', 'talk', 'bark', 'understand', 'frustration', 'might', 'feel', 'cause', 'proof', 'provide', 'pragya', 'innocence', 'provide', 'medium', 'detail', 'case', 'regard', 'terrorism', 'yes']",0.7
59,"['forest', 'rise', 'bjp', 'spokesperson', 'provide', 'proof', 'sadhvi', 'innocence', 'fact', 'congress', 'able', 'prove', 'guilty', 'decade', 'fail', 'provide', 'chargesheet', 'prof', 'innocent', 'accuse', 'indi']",0.0
60,"['tj', 'p', 'ask', 'provide', 'proof', 'comment', 'claim', 'get', 'clean', 'chit', 'scroll', 'poor', 'memory', 'make', 'statement', 'proof', 'whatsapp', 'group', 'mig']",-0.016666666666666663
61,"['tj', 'p', 'globalize', 'terrorism', 'get', 'stan', 'swamy', 'pragya', 'thakur', 'non', 'muslim', 'get', 'topic', 'ever', 'debate', 'life', 'anytime', 'least', 'school']",-0.3
62,"['forest', 'rise', 'say', 'congress', 'able', 'prove', 'guilty', 'many', 'year', 'prof', 'innocent', 'proof', 'need', 'never', 'say', 'stan', 'swamy', 'muslim', 'point', 'fact', 'ndtv', 'viewer', 'always', 'take', 'side']",0.25
63,"['tj', 'p', 'sorry', 'mate', 'place', 'pragya', 'thakur', 'bail', 'give', 'clean', 'chit', 'whole', 'gaga', 'aboutso', 'debate', 'bad', 'sarcasm', 'wellsarcasm', 'intelligent', 'people', 'ne']",0.033333333333333395
64,"['forest', 'rise', 'case', 'even', 'rahul', 'gandhi', 'sonia', 'gandhi', 'sashi', 'tharoor', 'also', 'bail', 'sadhvi', 'pragya', 'mp', 'people', 'believe', 'innocent', 'defeat', 'long', 'time', 'congress', 'cm', 'digvijay', 'singh', 'win', 'seat', 'prof']",0.4166666666666667
65,"['tj', 'p', 'know', 'anit', 'shah', 'topic', 'charge', 'pragya', 'thakur', 'get', 'clean', 'chit', 'anything', 'care', 'mean', 'clean', 'name', 'many', 'politician', 'b']",0.23020833333333335
66,"['forest', 'rise', 'argue', 'good', 'guy', 'friendalways', 'use', 'saypla', 'pla', 'plapla']",0.7
67,"['andhbhakts', 'explain', 'false', 'whatsapp', 'university', 'gyan']",-0.4000000000000001
68,"['rice', 'bag']",0.0
