,Comment,sentiment
55,"['people', 'call', 'swami', 'hindu', 'name', 'sami', 'work', 'convert', 'poor', 'hindu', 'aadivasi', 'religion', 'fund', 'inter', 'national', 'lobies', 'work', 'hindu', 'religion', 'symethise', 'hindu', 'people', 'agenda', 'show', 'swami', 'hindu', 'gut', 'give', 'real', 'name', 'sami', 'tell', 'people', 'convert', 'thoda', 'da', 'hindu', 'religion']",-0.4767
56,"['pragya', 'thakur', 'get', 'bail', 'bt', 'sten', 'swamy', 'could', 'notso', 'sad', 'democracy', 'demolish', 'finish', 'doom', 'india', 'since', 'long', 'atma', 'mar', 'chuki', 'ham', 'sabki']",-0.7003
57,"['inko', 'goli', 'marna', 'chyai', 'inka', 'bhasan', 'sunogay', 'aapka', 'khun', 'khol', 'jayai', 'ga', 'yai', 'log', 'dalit', 'ko', 'uskata', 'thai', 'tai', 'log', 'naxalwadi', 'ko', 'badhwa', 'dai', 'raha', 'tha']",0.0
58,"['kya', 'kahu', 'aaj', 'kal', 'trend', 'kisi', 'ko', 'b', 'uapa', 'laga', 'k', 'ander', 'krne', 'ka', 'kadi', 'ninda', 'krne', 'ka', 'jaach', 'krne', 'ka', 'b', 'yahi', 'bacha', 'corrupt', 'politician', 'ko', 'b', 'jail', 'daalne', 'ki', 'takat', 'kya', 'democracy', 'sharm', 'aati', 'khud', 'pe', 'desh', 'pe']",0.0
59,"['fr', 'swamy', 'ki', 'hi', 'nahi', 'hamare', 'nyayik', 'vyavastha', 'kiwi', 'nirman', 'hatya', 'hai']",0.0
60,"['terrorist', 'organisation', 'r', 'se', 'kya', 'ummid', 'kar', 'sakten']",-0.6908
61,"['thank', 'mention', 'bashir', 'ahmad', 'baba', 'nissar']",0.3612
62,"['shame', 'modi', 'govt']",-0.4767
63,"['deserve', 'state', 'funeral', 'international', 'community', 'request', 'interfere', 'murder', 'conduct', 'esteem', 'government', 'india']",-0.802
64,"['thank', 'modiji', 'another', 'head', 'crown', 'kill', 'vote', 'getthank', 'grow', 'bjp']",-0.4939
65,"['sad', 'pathetic', 'tale', 'father', 'swamy', 'credit', 'go', 'creator', 'niaprobably', 'create', 'bjp', 'mainly', 'suppress', 'christian', 'father', 'priest', 'represent', 'faith', 'bjp', 'r', 'nia', 'imminent', 'downfall']",-0.0772
66,"['thank', 'remind', 'u', 'need', 'police', 'judicial', 'reform', 'need', 'adivasi', 'tribal', 'woman', 'priority', 'need', 'scrap', 'black', 'draconian', 'law', 'deny', 'bail', 'give', 'abusive', 'power', 'government', 'need', 'police', 'government', 'official', 'abuse', 'power', 'hold', 'account', 'start', 'nia', 'officer', 'put', 'case', 'poor', 'evidence', 'even', 'frame', 'charge', 'deny', 'bail']",-0.93
67,"['dk', 'biswal', 'ndtv', 'totaly', 'give', 'vadkau', 'bhasan']",0.0
68,"['sorry', 'father', 'god', 'mercy', 'u']",0.5106
69,"['jai', 'ho', 'yogi', 'ji', 'mahilaon', 'ko', 'diya', 'tohfa', 'ab', 'adhik', 'bachcha', 'paida', 'karne', 'ki', 'machine', 'band']",0.0
70,"['father', 'swamy', 'ko', 'naman']",0.0
71,"['danga', 'badkane', 'wala', 'tha', 'maharashtra', 'maratha', 'aur', 'mahar', 'ke']",0.0
72,"['bjp', 'criminal', 'fascist', 'government']",-0.7906
73,"['chup', 'ravishwa', 'abe', 'wo', 'saal', 'k', 'andar', 'ranchi', 'se', 'lekar', 'raukelajamsed', 'pur', 'tak', 'lagbhag', 'sare', 'adibashio', 'ka', 'dharmantaran', 'karta', 'rahaki', 'ghanta', 'seva', 'kia']",-0.6369
74,"['ravish', 'prove', 'swine', 'black', 'spot', 'name', 'journalist', 'sell', 'life', 'respect', 'money', 'brandi', 'man', 'shape']",0.4767
75,"['ghariyali', 'aansu', 'bahane', 'wale', 'kamine', 'ever', 'tell', 'man', 'culprit', 'anti', 'national', 'act', 'old', 'shaitan', 'involve', 'conversion', 'hindu', 'minority', 'neither', 'father', 'journalist', 'urban', 'naxalscountry', 'know', 'well']",-0.0516
76,"['yah', 'ek', 'nyayik', 'marder']",0.0
77,"['ye', 'desh', 'raja', 'maharaja', 'ka', 'yaha', 'loktantra', 'kaha', 'sarkar', 'loktantr', 'ke', 'nam', 'pe', 'logo', 'ko', 'gumarah', 'kar', 'rahe', 'desh', 'nyay', 'pana', 'aur', 'god', 'se', 'milna', 'barabar']",0.2732
78,"['jitne', 'log', 'inki', 'marne', 'k', 'baad', 'tweet', 'kar', 'rhe', 'hain', 'ye', 'sale', 'dalle', 'mile', 'huye', 'hain', 'sali', 'line', 'likh', 'k', 'kya', 'mje', 'le', 'rhe', 'ho', 'inke', 'pa', 'itni', 'power', 'hone', 'k', 'bad', 'bhi', 'unko', 'nhi', 'support', 'kiya', 'bad', 'politician']",-0.6486
79,"['mere', 'pyare', 'desh', 'incredible', 'india', 'digital', 'india', 'ka', 'law', 'deserve', 'karta', 'hai']",0.0
80,"['hai', 'desh', 'ka', 'law', 'ghatiya', 'sala', 'ek', 'normal', 'si', 'fir', 'krane', 'jao', 'kuch', 'wardi', 'wale', 'gunde', 'ek', 'fir', 'k', 'liye', 'tang', 'karte', 'hain', 'baki', 'ki', 'kya', 'hi', 'umeed', 'ki', 'ja', 'skti', 'hai']",0.0
81,"['mai', 'samjhta', 'hu', 'ki', 'unki', 'kismat', 'itni', 'kharab', 'hai', 'jinka', 'janam', 'desh', 'ho', 'rha', 'ab', 'hoga', 'unlucky']",0.0
82,"['jo', 'inke', 'sath', 'hua', 'hisab', 'se', 'mai', 'desh', 'k', 'law', 'k', 'equal', 'hai', 'kyuki', 'logo', 'ko', 'tang', 'karne', 'k', 'law', 'bane', 'hain']",0.0
83,"['desh', 'itne', 'attack', 'hote', 'hain', 'ye', 'desh', 'kese', 'entry', 'kar', 'jate', 'hain', 'kahi', 'weak', 'point', 'hai', 'na', 'yani', 'ki', 'ye', 'dalle', 'bike', 'huye', 'hain', 'border', 'se', 'leke', 'party', 'tak']",-0.5106
84,"['jo', 'log', 'desh', 'ki', 'aur', 'government', 'ki', 'maar', 'k', 'chale', 'jate', 'hain', 'unka', 'ye', 'kuch', 'nhi', 'kar', 'pate', 'lekin', 'uapa', 'ka', 'mi', 'use', 'ho', 'rha', 'hai', 'chinta', 'na', 'karo', 'desh', 'ki', 'aur', 'maari', 'jayegi', 'kyuki', 'border', 'se', 'leke', 'centre', 'tak', 'kai', 'dalal', 'bike', 'huye', 'hain']",0.0
85,"['aatmaaoko', 'shaanti', 'de', 'uparvaale', 'jivit', 'devaadhidev', 'prabhu', 'yeshu', 'masih', 'satgurudev']",0.0
86,"['rip', 'fr', 'stan', 'swamy']",0.0
