,Reply,Published,sentiment
631,"['terrorist', 'logo', 'ko', 'maarte', 'hai', 'na', 'politician', 'ko', 'nhi']",2021-07-05T21:53:55Z,-0.6908
996,"['rahim', 'say', 'kyu', 'gandu', 'logo', 'ko', 'reply', 'krte', 'ho', 'yeh', 'sale', 'free', 'jo', 'bacha', 'hua', 'cell', 'hai', 'uski', 'last', 'saasein', 'lee', 'rhe', 'hai', 'inka', 'kasoor', 'nai', 'hai', 'inke', 'papa', 'bjp', 'wale', 'yehi', 'kuch', 'palle', 'hai', 'inke', 'toh', 'yehi', 'gandh', 'bollenge', 'kyu', 'apni', 'zuban', 'gandhi', 'krte', 'ho', 'inn', 'fudduon']",2021-07-05T22:00:02Z,0.5106
617,"['jj', 'jj']",2021-07-05T22:01:19Z,0.4588
618,['kk'],2021-07-05T22:01:21Z,0.3612
447,"['ashwin', 'rustagi', 'define', 'r', 'budy', 'try', 'overthrow', 'democracy']",2021-07-05T22:05:29Z,0.0
448,"['ashwin', 'rustagi', 'bhima', 'koregaon', 'sayad', 'vaise', 'bhi', 'pragya', 'singh', 'takur', 'accuse', 'h', 'jo', 'ajad', 'ghum', 'rahi', 'h']",2021-07-05T22:06:40Z,-0.2023
547,['true'],2021-07-05T22:08:15Z,0.4215
561,"['kiran', 'k', 'true']",2021-07-05T22:09:35Z,0.4215
562,['true'],2021-07-05T22:09:39Z,0.4215
461,['true'],2021-07-05T22:09:57Z,0.4215
1090,"['yes', 'hm', 'saal', 'peeche', 'chale', 'gaye', 'haifir', 'se', 'gulam', 'ho', 'gaye', 'hai']",2021-07-05T22:12:25Z,0.4019
502,"['ab', 'logo', 'ko', 'road', 'pe', 'aana', 'chahiye', 'hm', 'fir', 'se', 'gulam', 'ho', 'gaye', 'haibht', 'galat', 'ho', 'rha', 'haiaaj', 'koe', 'aur', 'haikl', 'koe', 'aur', 'hogafir', 'hm', 'b', 'ho', 'sakte', 'hai']",2021-07-05T22:14:31Z,0.0
1057,"['gg', 'g', 'hindu', 'want', 'show', 'minority', 'quottheir', 'placequot', 'delusional', 'show', 'power', 'elect', 'govt', 'neither', 'economic', 'brain', 'democratic', 'heart']",2021-07-05T22:15:14Z,0.3612
351,"['jb', 'tak', 'log', 'road', 'pe', 'nae', 'aayenge', 'oppose', 'nae', 'krnege', 'kuch', 'nae', 'hoga', 'aaj', 'stan', 'swamy', 'haikl', 'hmme', 'se', 'koe', 'aur', 'hogahm', 'fir', 'se', 'gulam', 'ho', 'chuke', 'hai']",2021-07-05T22:15:31Z,0.0
329,"['i', 'desh', 'main', 'sbk', 'andr', 'insaaniyat', 'mar', 'chuki', 'haijb', 'sb', 'azadi', 'ki', 'ladayi', 'bhul', 'gayefir', 'se', 'gualmi', 'ki', 'taraf', 'aa', 'gaye', 'fir', 'b', 'log', 'aram', 'se', 'soo', 'rhe', 'haimodi', 'ki', 'tanashahi', 'ko', 'support', 'kr', 'rhe', 'haiya', 'chup', 'haito', 'kya', 'hoga', 'kuch', 'nae', 'hoga']",2021-07-05T22:17:13Z,0.4019
449,"['secular', 'pig', 'laugh', 'hindu', 'sadhu', 'kill', 'convert', 'palghar']",2021-07-05T22:23:22Z,-0.2732
563,"['secular', 'pig', 'laugh', 'hindu', 'sadhu', 'kill', 'convert', 'palghar']",2021-07-05T22:23:55Z,-0.2732
513,"['yes', 'want', 'secular', 'pig', 'naxals']",2021-07-05T22:24:14Z,0.4588
542,"['tejashree', 'sir', 'comment', 'fan', 'ravish', 'kumar', 'honest', 'journalism']",2021-07-05T22:25:21Z,0.6808
450,"['gandu', 'muhammad', 'chal', 'na', 'communal', 'tere', 'bjp', 'wale', 'n', 'hi', 'afwa', 'failaya', 'tha', 'woh', 'gao', 'bhi', 'bjp', 'power', 'h']",2021-07-05T22:27:29Z,0.0
959,"['tejashree', 'andh', 'bhakt', 'ji', 'aap', 'please', 'republic', 'tv', 'ke', 'saamne', 'remote', 'thaam', 'kar', 'baithiye', 'yahan', 'comment', 'section', 'mein', 'aapki', 'pratibha', 'khil', 'nahi', 'rahi', 'hai']",2021-07-05T22:28:18Z,0.3182
471,"['get', 'parkinson', 'arrest']",2021-07-05T22:28:25Z,-0.34
451,"['gandu', 'muhammad', 'gore', 'k', 'chamcho']",2021-07-05T22:28:32Z,0.0
1081,"['syed', 'sarwar', 'hussain', 'connect', 'kasab', 'stan', 'case', 'kasab', 'come', 'kill', 'hindu', 'name', 'quran', 'stan', 'case', 'fully', 'different']",2021-07-05T22:30:36Z,-0.6908
444,"['sourav', 'kumar', 'ji', 'aap', 'logon', 'ke', 'andar', 'itni', 'nafrat', 'kisne', 'paida', 'ki', 'dukh', 'hota', 'hai', 'hatasha', 'hoti', 'hai', 'ek', 'generation', 'ko', 'whatsapp', 'university', 'ne', 'kya', 'bana', 'diya']",2021-07-05T22:34:41Z,0.0
452,"['vishal', 'patkar', 'hijde', 'secular']",2021-07-05T23:07:39Z,0.0
453,"['ashwin', 'rustagi', 'dear', 'sir', 'please', 'go', 'percentage', 'punishment', 'total', 'case', 'find', 'truth']",2021-07-05T23:21:20Z,0.4588
454,"['gandu', 'muhammad', 'please', 'go', 'detail', 'mob', 'lynch', 'incident']",2021-07-05T23:24:39Z,0.3182
455,"['ashwin', 'rustagi', 'government', 'evidence', 'convict', 'court', 'year', 'old', 'deny', 'bail', 'recently', 'couple', 'people', 'spend', 'year', 'uapa', 'release', 'innocent', 'get', 'fact', 'right', 'gentleman']",2021-07-05T23:43:47Z,0.0
456,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:34:46Z,0.0
514,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:35:00Z,0.0
1077,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:35:08Z,0.0
632,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:35:37Z,0.0
564,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:35:56Z,0.0
548,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:36:04Z,0.0
997,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:36:11Z,0.0
1091,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:36:31Z,0.0
539,"['hindu', 'rastra', 'modi', 'mumkin', 'jai', 'modi', 'jai', 'bjp']",2021-07-06T00:36:38Z,0.0
